Dte.,Barri,Total,"Físics
Motrius","Físics
No Motrius","Malaltia
Mental",Intel·lectual,Visuals,Auditius,"No
consta"
1,"1. el Raval",4.081,1.144,1.210,967,283,303,166,8
1,"2. el Barri Gòtic",1.420,419,436,311,84,104,66,0
1,"3. la Barceloneta",1.510,479,432,303,117,103,75,1
1,"4. Sant Pere, Santa Caterina i la Ribera",1.774,543,479,360,155,151,81,5
2,"5. el Fort Pienc",2.296,856,517,450,154,179,139,1
2,"6. la Sagrada Família",4.214,1.514,968,917,250,330,231,4
2,"7. la Dreta de l'Eixample",3.343,1.217,706,751,195,292,177,5
2,"8. l'Antiga Esquerra de l'Eixample",3.208,1.172,742,656,163,290,181,4
2,"9. la Nova Esquerra de l'Eixample",4.851,1.728,1.116,1.039,270,417,278,3
2,"10. Sant Antoni",3.348,1.229,772,648,196,322,179,2
3,"11. el Poble Sec - AEI Parc Montjuïc",3.504,1.157,907,699,249,283,206,3
3,"12. la Marina del Prat Vermell - AEI Zona Franca",214,84,47,39,31,9,4,0
3,"13. la Marina de Port",3.482,1.281,916,661,225,203,196,0
3,"14. la Font de la Guatlla",1.182,375,234,215,209,92,57,0
3,"15. Hostafrancs",1.375,507,298,327,75,95,70,3
3,"16. la Bordeta",1.682,616,420,328,99,119,99,1
3,"17. Sants - Badal",2.003,729,462,392,110,178,131,1
3,"18. Sants",3.357,1.204,828,641,262,249,171,2
4,"19. les Corts",3.507,1.266,859,756,188,254,180,4
4,"20. la Maternitat i Sant Ramon",2.011,752,514,389,102,155,98,1
4,"21. Pedralbes",733,287,173,150,53,43,27,0
5,"22. Vallvidrera, el Tibidabo i les Planes",259,64,75,48,40,20,12,0
5,"23. Sarrià",1.410,515,315,298,118,109,55,0
5,"24. les Tres Torres",787,318,156,153,51,53,55,1
5,"25. Sant Gervasi - la Bonanova",1.648,564,406,359,131,110,77,1
5,"26. Sant Gervasi - Galvany",2.748,1.025,648,526,171,220,156,2
5,"27. el Putxet i el Farró",1.782,606,423,392,115,148,95,3
6,"28. Vallcarca i els Penitents",1.188,437,270,259,75,74,73,0
6,"29. el Coll",665,242,146,172,39,40,26,0
6,"30. la Salut",1.176,401,249,250,140,72,63,1
6,"31. la Vila de Gràcia",3.832,1.297,874,896,277,309,177,2
6,"32. el Camp d'en Grassot i Gràcia Nova",2.697,980,614,538,194,207,164,0
7,"33. el Baix Guinardó",2.039,771,470,403,107,188,99,1
7,"34. Can Baró",761,274,149,181,54,61,41,1
7,"35. el Guinardó",2.868,1.015,699,596,190,216,150,2
7,"36. la Font d'en Fargues",726,278,175,142,53,42,36,0
7,"37. el Carmel",3.142,1.153,777,615,235,191,167,4
7,"38. la Teixonera",1.046,369,269,195,76,69,68,0
7,"39. Sant Genís dels Agudells",646,228,166,120,39,50,43,0
7,"40. Montbau",606,213,146,123,48,50,26,0
7,"41. la Vall d'Hebron",458,149,122,101,30,32,24,0
7,"42. la Clota",42,14,13,8,5,1,1,0
7,"43. Horta",2.373,852,591,473,161,178,115,3
8,"44. Vilapicina i la Torre Llobeta",2.322,803,573,437,173,192,144,0
8,"45. Porta",2.478,932,594,472,163,174,141,2
8,"46. el Turó de la Peira",1.561,607,379,274,89,126,85,1
8,"47. Can Peguera",341,104,81,86,36,22,12,0
8,"48. la Guineueta",1.841,666,452,370,136,126,91,0
8,"49. Canyelles",909,347,215,188,52,59,47,1
8,"50. les Roquetes",1.655,554,430,342,136,106,86,1
8,"51. Verdun",1.323,429,344,261,101,118,67,3
8,"52. la Prosperitat",2.523,901,671,478,136,207,129,1
8,"53. la Trinitat Nova",894,311,222,176,76,67,42,0
8,"54. Torre Baró",385,134,87,77,54,21,12,0
8,"55. Ciutat Meridiana",1.126,386,278,208,95,93,64,2
8,"56. Vallbona",201,60,50,59,19,6,7,0
9,"57. la Trinitat Vella",855,303,196,174,96,50,35,1
9,"58. Baró de Viver",348,103,74,89,34,30,18,0
9,"59. el Bon Pastor",1.196,379,289,272,118,89,48,1
9,"60. Sant Andreu",4.934,1.881,1.185,912,295,370,286,5
9,"61. la Sagrera",2.533,906,598,506,175,212,136,0
9,"62. el Congrés i els Indians",1.349,491,293,281,107,107,68,2
9,"63. Navas",1.881,761,409,344,111,144,111,1
10,"64. el Camp de l'Arpa del Clot",3.200,1.126,739,666,207,267,195,0
10,"65. el Clot",2.051,721,496,387,163,168,114,2
10,"66. el Parc i la Llacuna del Poblenou",1.332,428,308,323,100,90,81,2
10,"67. la Vila Olímpica del Poblenou",443,175,95,78,40,32,22,1
10,"68. el Poblenou",2.415,890,588,446,186,180,123,2
10,"69. Diagonal Mar i el Front Marítim del Poblenou",756,264,191,139,63,52,45,2
10,"70. el Besòs i el Maresme",2.180,712,523,446,196,171,129,3
10,"71. Provençals del Poblenou",1.625,580,440,283,124,105,91,2
10,"72. Sant Martí de Provençals",2.623,905,673,552,158,190,141,4
10,"73. la Verneda i la Pau",3.133,1.106,778,569,224,244,206,6
,"No consta",223,80,63,35,15,18,12,0
