"Dte.","Barris","TOTAL LOCALS
HABITATGE","   Fins a
 30 m2  ","31-
60 m2","61-
90 m2","91-
120 m2","121-
150 m2","151-
210 m2","211-
250 m2","Més de 
250 m2","NC m2"
5,"25. Sant Gervasi - la Bonanova",12704,484,1801,2752,2485,2146,2420,349,267,0
5,"26. Sant Gervasi - Galvany",25477,699,3005,5375,5845,3583,4575,1175,1219,1
5,"27. el Putxet i el Farró",16304,553,3604,5373,3937,1733,845,162,97,0
6,"28. Vallcarca i els Penitents",9027,375,2266,4131,1529,401,282,28,15,0
6,"29. el Coll",3947,170,1348,1996,342,65,22,3,1,0
6,"30. la Salut",6992,409,1562,2876,1667,347,107,11,13,0
6,"31. la Vila de Gràcia",31497,1691,10529,13236,3960,1123,721,136,101,0
6,"32. el Camp d'en Grassot i Gràcia Nova",18448,434,4386,9753,2921,753,151,23,27,0
7,"33. el Baix Guinardó",12488,235,3376,6681,1844,299,49,1,3,0
7,"34. Can Baró",4808,244,1672,2225,588,66,8,3,2,0
7,"35. el Guinardó",18749,724,5825,9502,2250,327,93,11,17,0
7,"36. la Font d'en Fargues",5296,392,1624,2203,740,243,80,4,10,0
7,"37. el Carmel",15472,703,7303,6766,616,63,16,1,4,0
7,"38. la Teixonera",5849,258,2615,2549,381,43,2,1,0,0
7,"39. Sant Genís dels Agudells",3561,91,607,2691,128,22,13,4,5,0
7,"40. Montbau",2576,113,946,1440,73,3,0,0,1,0
7,"41. la Vall d'Hebron",3808,1183,849,1417,129,199,22,5,2,2
7,"42. la Clota",422,41,143,179,52,4,3,0,0,0
7,"43. Horta",13620,762,4466,6738,1362,208,60,10,14,0
8,"44. Vilapicina i la Torre Llobeta",12219,328,3316,7217,1249,91,13,3,2,0
8,"45. Porta",11484,175,4403,5996,822,68,12,2,6,0
8,"46. el Turó de la Peira",6969,114,2952,3659,233,4,3,0,4,0
8,"47. Can Peguera",1051,39,776,228,3,4,1,0,0,0
8,"48. la Guineueta",6802,7,1246,4765,782,0,1,1,0,0
8,"49. Canyelles",2921,7,38,2317,559,0,0,0,0,0
8,"50. les Roquetes",7044,330,3738,2641,306,19,9,0,1,0
8,"51. Verdun",5984,160,3378,2191,229,21,3,0,2,0
8,"52. la Prosperitat",12555,358,6217,5247,630,69,24,3,7,0
8,"53. la Trinitat Nova",3554,26,1787,1600,139,0,1,1,0,0
8,"54. Torre Baró",1770,246,631,673,177,23,18,1,0,1
8,"55. Ciutat Meridiana",3866,1,2694,1165,6,0,0,0,0,0
8,"56. Vallbona",850,158,212,382,88,7,3,0,0,0
9,"57. la Trinitat Vella",4339,346,2081,1561,332,12,5,2,0,0
9,"58. Baró de Viver",1112,45,170,813,83,1,0,0,0,0
9,"59. el Bon Pastor",5358,207,1882,2669,573,22,4,0,1,0
9,"60. Sant Andreu",28959,1429,8221,14914,3880,436,69,7,3,0
9,"61. la Sagrera",13489,129,3436,8007,1795,99,17,4,2,0
9,"62. el Congrés i els Indians",7006,160,1810,4244,700,65,23,1,3,0
9,"63. Navas",10270,99,1917,6646,1523,72,12,0,1,0
10,"64. el Camp de l'Arpa del Clot",20001,500,6128,10549,2478,217,94,11,24,0
10,"65. el Clot",12438,370,2771,7024,1847,371,36,3,16,0
10,"66. el Parc i la Llacuna del Poblenou",7252,208,1438,4354,1097,93,39,4,19,0
10,"67. la Vila Olímpica del Poblenou",4653,109,1008,1257,1175,923,167,2,12,0
10,"68. el Poblenou",16655,529,5171,7320,3094,422,87,8,24,0
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6304,98,801,3645,1299,340,76,13,18,14
10,"70. el Besòs i el Maresme",9613,309,3585,5480,226,8,4,0,1,0
10,"71. Provençals del Poblenou",9173,118,1335,6307,1351,33,20,2,7,0
10,"72. Sant Martí de Provençals",11715,72,1785,7828,1912,97,16,1,4,0
10,"73. la Verneda i la Pau",12776,54,2866,8716,1086,29,15,4,6,0
