ANY,CONCEPTE,CODI_OPERACIÓ,TIPUS_OPERACIÓ,,"NOM ",AJUNTAMENT_INDIVIDUAL,AGREGAT_NO_CONSOLIDAT,ELIMINACIO_TRANSFERENCIES_INTERNES,TOTAL_CONSOLIDAT,
2008,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",721.140,721.140,0,721.140,
2008,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",76.888,76.888,0,76.888,
2008,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",276.162,332.205,-153,332.052,
2008,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1.040.068,1.462.621,-393.146,1.069.475,
2008,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",39.204,44.624,0,44.624,
2008,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",30.000,40.444,0,40.444,
2008,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",19.261,43.714,-14.198,29.516,
2008,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,6.182,0,6.182,
2008,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",150.000,150.000,0,150.000,
2008,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",332.538,553.538,0,553.538,
2008,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",466.401,619.110,0,619.110,
2008,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",45.429,45.502,0,45.502,
2008,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",748.808,842.307,-393.299,449.008,
2008,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",542.748,580.227,0,580.227,
2008,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",49.054,63.286,-14.198,49.088,
2008,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",10.000,16.103,0,16.103,
2008,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",157.745,157.745,0,157.745,
2009,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",756.851,756.851,0,756.851,
2009,INGRESSOS,"A ","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",67.113,67.113,0,67.113,
2009,INGRESSOS,"A ","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",304.546,362.553,-118,362.435,
2009,INGRESSOS,"A ","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1.084.159,1.554.375,-425.912,1.128.463,
2009,INGRESSOS,"A ","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",55.719,67.331,0,67.331,
2009,INGRESSOS,"B ","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",25.000,29.377,0,29.377,
2009,INGRESSOS,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",34.670,73.520,-15.583,57.937,
2009,INGRESSOS,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,3.518,0,3.518,
2009,INGRESSOS,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",110.000,110.000,0,110.000,
2009,DESPESES,"A ","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",351.579,587.814,0,587.814,
2009,DESPESES,"A ","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",513.789,690.340,0,690.340,
2009,DESPESES,"A ","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41.811,41.869,0,41.869,
2009,DESPESES,"A ","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",797.046,901.937,-426.030,475.907,
2009,DESPESES,"B ","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",567.133,616.416,-412,616.004,
2009,DESPESES,"B ","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",48.700,63.224,-15.171,48.053,
2009,DESPESES,C,"OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8.000,13.008,0,13.008,
2009,DESPESES,C,"OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",110.000,110.031,0,110.031,
2010,INGRESSOS,"A ","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",780.018,780.018,0,780.018,
