"Dte.","Barris","TOTAL LOCALS HABITATGE","Nacionalitat espanyola","Nacionalitat Estrangera","Persona jurídica","No procedeix"
"BARCELONA",,825755,673951,20425,112538,18841
1,"1. el Raval",23444,14715,1691,6354,684
1,"2. el Barri Gòtic",10505,6237,765,3285,218
1,"3. la Barceloneta",9233,6761,611,1689,172
1,"4. Sant Pere, Santa Caterina i la Ribera",14655,9377,1109,3907,262
2,"5. el Fort Pienc",15665,11841,433,2935,456
2,"6. la Sagrada Família",27528,22701,587,3527,713
2,"7. la Dreta de l'Eixample",27085,18257,901,7257,670
2,"8. l'Antiga Esquerra de l'Eixample",24411,18205,644,4895,667
2,"9. la Nova Esquerra de l'Eixample",30208,25050,611,3838,709
2,"10. Sant Antoni",20281,16157,535,2927,662
3,"11. el Poble Sec - Parc Montjuïc",19216,15239,1074,2468,435
3,"12. la Marina del Prat Vermell - Zona Franca",798,463,7,306,22
3,"13. la Marina de Port",13277,11381,325,1401,170
3,"14. la Font de la Guatlla",5065,4406,121,441,97
3,"15. Hostafrancs",8206,6746,210,1056,194
3,"16. la Bordeta",8530,7690,113,521,206
3,"17. Sants - Badal",11751,10406,193,887,265
3,"18. Sants",21170,18040,350,2314,466
4,"19. les Corts",23087,19726,314,2482,565
4,"20. la Maternitat i Sant Ramon",11683,10180,117,1113,273
4,"21. Pedralbes",6064,4356,265,1303,140
5,"22. Vallvidrera, el Tibidabo i les Planes",3491,2873,173,379,66
5,"23. Sarrià",12776,10356,307,1803,310
5,"24. les Tres Torres",7054,5435,185,1300,134
5,"25. Sant Gervasi - la Bonanova",12718,9514,249,2674,281
5,"26. Sant Gervasi - Galvany",25506,19460,513,4989,544
5,"27. el Putxet i el Farró",16393,12894,317,2723,459
6,"28. Vallcarca i els Penitents",9018,7428,188,1216,186
6,"29. el Coll",3949,3369,92,413,75
6,"30. la Salut",6995,5957,149,751,138
6,"31. la Vila de Gràcia",31476,24824,843,4511,1298
6,"32. el Camp d'en Grassot i Gràcia Nova",18567,15669,296,2120,482
7,"33. el Baix Guinardó",12507,10927,179,1169,232
7,"34. Can Baró",4805,4264,99,296,146
7,"35. el Guinardó",18774,16320,235,1713,506
7,"36. la Font d'en Fargues",5297,4910,41,248,98
7,"37. el Carmel",15494,13873,196,956,469
7,"38. la Teixonera",5899,5249,76,466,108
7,"39. Sant Genís dels Agudells",3560,2868,36,598,58
7,"40. Montbau",2577,2454,34,69,20
7,"41. la Vall d'Hebron",3968,3097,22,804,45
7,"42. la Clota",430,317,0,100,13
7,"43. Horta",13627,12396,88,893,250
8,"44. Vilapicina i la Torre Llobeta",12227,11217,122,610,278
8,"45. Porta",11518,9973,95,1210,240
8,"46. el Turó de la Peira",6969,5413,133,1336,87
8,"47. Can Peguera",1051,212,1,838,0
8,"48. la Guineueta",6801,5880,27,782,112
8,"49. Canyelles",2921,2753,14,67,87
8,"50. les Roquetes",7050,6251,164,466,169
8,"51. Verdun",5985,5372,95,416,102
8,"52. la Prosperitat",12679,11545,149,696,289
8,"53. la Trinitat Nova",3561,2877,83,579,22
8,"54. Torre Baró",1774,1101,14,569,90
8,"55. Ciutat Meridiana",3957,3270,175,430,82
8,"56. Vallbona",850,579,12,245,14
9,"57. la Trinitat Vella",4338,3556,175,501,106
9,"58. Baró de Viver",1112,832,17,256,7
9,"59. el Bon Pastor",5358,4273,114,910,61
9,"60. Sant Andreu",28976,25762,201,2601,412
9,"61. la Sagrera",13483,10716,131,2413,223
9,"62. el Congrés i els Indians",7011,6268,69,544,130
9,"63. Navas",10270,9046,138,846,240
10,"64. el Camp de l'Arpa del Clot",20029,16947,351,2163,568
10,"65. el Clot",12436,10647,194,1327,268
10,"66. el Parc i la Llacuna del Poblenou",7278,5884,244,1006,144
10,"67. la Vila Olímpica del Poblenou",4654,3878,185,558,33
10,"68. el Poblenou",16695,13434,737,2202,322
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6380,4795,460,1073,52
10,"70. el Besòs i el Maresme",9693,8254,489,808,142
10,"71. Provençals del Poblenou",9179,7895,179,958,147
10,"72. Sant Martí de Provençals",11718,10885,176,469,188
10,"73. la Verneda i la Pau",13059,12048,187,562,262
