"Altes per omissió per nacionalitat espanyola o estrangera",,,,,
"Any 2016",,,,,
,"Dte.","Barris","TOTAL","Espanyola","Estrangera"
,"BARCELONA",,15238,5646,9592
,1,"1. el Raval",1415,268,1147
,1,"2. el Barri Gòtic",452,112,340
,1,"3. la Barceloneta",221,69,152
,1,"4. Sant Pere, Santa Caterina i la Ribera",372,98,274
,2,"5. el Fort Pienc",394,115,279
,2,"6. la Sagrada Família",423,148,275
,2,"7. la Dreta de l'Eixample",362,131,231
,2,"8. l'Antiga Esquerra de l'Eixample",330,117,213
,2,"9. la Nova Esquerra de l'Eixample",475,166,309
,2,"10. Sant Antoni",401,113,288
,3,"11. el Poble Sec - AEI Parc Montjuïc",671,162,509
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",12,11,1
,3,"13. la Marina de Port",266,108,158
,3,"14. la Font de la Guatlla",98,30,68
,3,"15. Hostafrancs",149,40,109
,3,"16. la Bordeta",120,34,86
,3,"17. Sants - Badal",221,73,148
,3,"18. Sants",445,191,254
,4,"19. les Corts",263,128,135
,4,"20. la Maternitat i Sant Ramon",124,59,65
,4,"21. Pedralbes",72,32,40
,5,"22. Vallvidrera, el Tibidabo i les Planes",27,14,13
,5,"23. Sarrià",169,88,81
,5,"24. les Tres Torres",85,57,28
,5,"25. Sant Gervasi - la Bonanova",182,115,67
,5,"26. Sant Gervasi - Galvany",278,175,103
,5,"27. el Putxet i el Farró",186,93,93
,6,"28. Vallcarca i els Penitents",95,51,44
,6,"29. el Coll",55,27,28
,6,"30. la Salut",71,43,28
,6,"31. la Vila de Gràcia",424,162,262
,6,"32. el Camp d'en Grassot i Gràcia Nova",224,98,126
,7,"33. el Baix Guinardó",169,80,89
,7,"34. Can Baró",75,27,48
,7,"35. el Guinardó",289,125,164
,7,"36. la Font d'en Fargues",60,39,21
,7,"37. el Carmel",287,132,155
,7,"38. la Teixonera",97,32,65
,7,"39. Sant Genís dels Agudells",51,20,31
,7,"40. Montbau",35,16,19
,7,"41. la Vall d'Hebron",32,14,18
,7,"42. la Clota",2,1,1
,7,"43. Horta",210,107,103
,8,"44. Vilapicina i la Torre Llobeta",193,78,115
,8,"45. Porta",247,99,148
,8,"46. el Turó de la Peira",217,84,133
,8,"47. Can Peguera",14,11,3
,8,"48. la Guineueta",81,38,43
,8,"49. Canyelles",21,10,11
,8,"50. les Roquetes",193,83,110
,8,"51. Verdun",139,50,89
,8,"52. la Prosperitat",232,85,147
,8,"53. la Trinitat Nova",76,29,47
,8,"54. Torre Baró",24,11,13
,8,"55. Ciutat Meridiana",224,84,140
,8,"56. Vallbona",29,19,10
,9,"57. la Trinitat Vella",172,40,132
,9,"58. Baró de Viver",20,8,12
,9,"59. el Bon Pastor",136,74,62
,9,"60. Sant Andreu",238,137,101
,9,"61. la Sagrera",231,106,125
,9,"62. el Congrés i els Indians",107,42,65
,9,"63. Navas",189,70,119
,10,"64. el Camp de l'Arpa del Clot",295,110,185
,10,"65. el Clot",192,98,94
,10,"66. el Parc i la Llacuna del Poblenou",130,40,90
,10,"67. la Vila Olímpica del Poblenou",53,19,34
,10,"68. el Poblenou",262,100,162
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",120,48,72
,10,"70. el Besòs i el Maresme",498,151,347
,10,"71. Provençals del Poblenou",148,63,85
,10,"72. Sant Martí de Provençals",168,67,101
,10,"73. la Verneda i la Pau",199,71,128
,,"No consta",1,0,1
