Dte,Barris,Total,AbansDeMilNouCents,DeMilNouCentsAMilNouCentsVint,DeMilNouCentsVintAMilNouCentsQuaranta,DeMilNouCentsQuarantaUAMilNouCentsCinquanta,DeMilNouCentsCinquantaAMilNouCentsSeixanta,DeMilNouCentsSeixantaUAMilNouCentsSetanta,DeMilNouCentsSetantaAMilNouCentsVuitanta,DeMilNouCentsVuitantaUAMilNouCentsNouranta,DeMilNouCentsNourantaADosMilU,DosMilDos,DosMilTres,DosMilQuatre,DosMilCinc,DosMilSis,DosMilSet,DosMilVuit,DosMilNou,DosMilDeu,DosMilOnze,NC
BARCELONA,,684.078,42.226,42.970,56.608,37.558,75.496,158.832,151.543,37.443,35.679,3.384,3.533,4.269,3.609,3.270,2.801,2.491,2.215,2.464,1.283,16.403
1,"1. el Raval",17.752,7.067,3.889,2.132,594,387,851,488,429,1.023,..,..,..,..,..,..,..,..,..,..,..
1,"2. el Barri Gòtic",8.209,5.952,1.234,313,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1,"3. la Barceloneta",8.164,1.044,1.959,2.174,1.148,367,379,236,528,..,..,..,..,..,..,..,..,..,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,6.740,1.047,923,..,127,407,..,..,231,..,..,..,..,..,..,..,..,..,..,..
2,"5. el Fort Pienc",13.166,735,874,1.728,815,882,2.407,3.996,700,388,..,..,..,135,..,..,..,..,..,..,105
2,"6. la Sagrada Família",23.509,447,1.210,4.000,2.539,3.630,3.985,3.330,1.944,1.104,..,..,..,..,..,..,..,..,..,..,884
2,"7. la Dreta de l'Eixample",18.660,3.358,3.889,3.764,1.077,1.059,1.299,2.092,953,424,..,..,..,..,..,236,..,..,..,..,267
2,"8. l'Antiga Esquerra de l'Eixample",17.932,2.278,3.372,2.927,1.426,1.127,2.969,2.555,595,..,..,..,..,..,..,..,..,..,..,..,377
2,"9. la Nova Esquerra de l'Eixample",27.115,722,2.187,4.770,2.231,2.395,3.907,7.433,882,617,..,..,249,..,..,..,..,204,155,..,734
2,"10. Sant Antoni",17.554,3.798,3.271,1.781,1.355,1.153,2.879,1.926,395,307,..,..,..,..,..,..,..,..,..,..,458
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,1.281,2.935,4.364,1.746,1.234,1.846,2.179,310,382,..,..,..,..,..,..,..,..,..,..,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,..,..,..,..,..,..,..,..,172,..,..,..,..,..,..,..,..,..,..,..
3,"13. la Marina de Port",11.998,..,..,..,202,1.039,2.446,3.472,1.943,1.635,..,208,..,..,139,119,..,121,..,..,122
3,"14. la Font de la Guatlla",4.532,..,152,589,210,275,498,1.714,244,285,..,..,..,..,..,..,..,..,..,..,271
3,"15. Hostafrancs",6.820,352,1.518,769,399,221,918,1.416,509,294,..,..,..,..,..,..,..,..,..,..,205
3,"16. la Bordeta",8.220,247,223,499,605,908,2.233,1.766,490,276,..,174,..,..,..,211,..,..,..,..,193
3,"17. Sants - Badal",10.195,..,300,934,470,1.829,3.167,2.661,287,297,..,..,..,..,..,..,..,..,..,..,..
3,"18. Sants",19.229,1.242,2.013,2.783,1.249,1.985,3.425,3.855,695,959,..,..,..,..,..,..,..,..,..,..,769
4,"19. les Corts",19.488,..,490,1.066,1.281,1.450,4.967,6.171,1.765,766,132,..,205,..,..,..,..,..,203,..,641
4,"20. la Maternitat i Sant Ramon",9.720,..,..,253,202,622,2.374,4.482,963,323,..,..,..,..,..,..,..,..,..,..,272
4,"21. Pedralbes",4.007,..,..,..,188,372,641,2.080,481,..,..,..,..,..,..,..,..,..,..,..,..
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,..,..,102,118,..,126,151,110,153,..,..,..,..,..,..,..,..,..,..,..
5,"23. Sarrià",9.428,429,385,529,442,1.273,1.997,2.329,933,484,..,..,..,..,140,..,..,..,..,..,..
5,"24. les Tres Torres",5.687,..,115,158,277,366,1.792,1.701,358,432,..,..,..,..,..,..,..,..,..,..,..
5,"25. Sant Gervasi - la Bonanova",9.715,..,..,315,1.333,2.226,2.389,2.355,433,480,..,..,..,..,..,..,..,..,..,..,..
5,"26. Sant Gervasi - Galvany",18.387,..,557,1.750,2.516,2.979,5.182,3.645,627,197,..,..,..,..,..,..,..,..,..,..,507
5,"27. el Putxet i el Farró",12.765,..,184,548,1.351,1.542,3.114,4.100,1.380,..,..,..,..,..,..,..,..,..,..,..,142
6,"28. Vallcarca i els Penitents",7.349,..,..,473,441,836,1.547,1.928,1.014,456,..,..,..,..,202,..,..,..,..,..,..
6,"29. el Coll",3.387,..,..,..,155,664,583,1.104,350,210,..,..,..,..,..,..,..,..,..,..,..
6,"30. la Salut",5.274,..,118,171,407,658,749,2.056,721,192,..,..,..,..,..,..,..,..,..,..,120
6,"31. la Vila de Gràcia",23.468,2.647,4.340,4.965,2.416,1.655,2.081,2.911,1.007,446,..,..,..,..,..,..,..,..,..,..,345
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,145,505,2.103,1.843,1.048,2.283,4.499,1.308,900,..,..,..,..,..,..,..,..,..,..,480
7,"33. el Baix Guinardó",11.792,..,..,595,836,2.636,3.484,2.864,641,210,..,..,..,..,..,..,..,..,..,..,336
7,"34. Can Baró",3.832,..,..,181,295,880,985,979,254,..,..,..,..,..,..,..,..,..,..,..,..
7,"35. el Guinardó",16.007,..,157,426,974,3.886,5.833,2.678,690,535,140,276,124,..,..,..,..,..,..,..,..
7,"36. la Font d'en Fargues",3.849,..,..,315,306,868,966,837,375,..,..,..,..,..,..,..,..,..,..,..,..
7,"37. el Carmel",12.620,..,..,336,243,1.697,6.202,2.825,382,238,..,..,..,..,..,..,..,..,..,..,..
7,"38. la Teixonera",4.989,..,..,..,..,634,1.702,1.353,261,649,..,..,..,..,..,..,..,..,..,..,..
7,"39. Sant Genís dels Agudells",2.816,..,..,..,..,408,970,945,229,124,..,..,..,..,..,..,..,..,..,..,..
7,"40. Montbau",2.128,..,..,..,..,192,1.598,153,..,..,..,..,..,..,..,..,..,..,..,..,..
7,"41. la Vall d'Hebron",2.167,..,..,..,..,..,645,704,326,416,..,..,..,..,..,..,..,..,..,..,..
7,"42. la Clota",197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
7,"43. Horta",11.154,132,168,316,609,2.377,2.992,2.969,551,784,..,..,..,..,..,..,..,..,..,..,141
8,"44. Vilapicina i la Torre Llobeta",11.095,..,..,335,424,1.753,4.848,2.140,357,218,..,..,172,207,232,..,..,..,..,..,165
8,"45. Porta",11.072,..,..,..,..,1.232,5.608,1.765,371,474,..,..,235,..,182,..,..,..,178,..,599
8,"46. el Turó de la Peira",6.321,..,..,..,218,2.253,2.263,601,114,750,..,..,..,..,..,..,..,..,..,..,..
8,"47. Can Peguera",987,..,221,290,..,..,..,..,..,178,..,..,..,..,..,..,..,..,..,..,198
8,"48. la Guineueta",6.898,..,..,..,..,..,3.701,2.477,..,..,..,..,..,..,..,..,..,..,..,..,681
8,"49. Canyelles",2.619,..,..,..,..,..,..,2.619,..,..,..,..,..,..,..,..,..,..,..,..,..
8,"50. les Roquetes",5.312,..,..,..,..,1.099,2.462,1.311,192,..,..,..,..,..,..,..,..,..,..,..,..
8,"51. Verdun",5.780,..,..,..,..,1.688,2.742,541,..,276,..,..,162,..,..,..,..,..,..,..,..
8,"52. la Prosperitat",11.005,..,..,..,134,504,5.874,3.192,365,421,..,..,..,..,..,..,..,..,..,..,254
8,"53. la Trinitat Nova",2.522,..,..,..,..,1.729,370,..,..,..,..,168,..,..,..,..,..,..,..,..,..
8,"54. Torre Baró",517,..,..,..,..,166,125,..,..,..,..,..,..,..,..,..,..,..,..,..,..
8,"55. Ciutat Meridiana",3.730,..,..,..,..,..,2.585,998,..,..,..,..,..,..,..,..,..,..,..,..,..
8,"56. Vallbona",428,..,..,..,..,..,..,..,..,..,..,..,119,..,..,..,..,..,..,..,..
9,"57. la Trinitat Vella",3.092,..,..,..,..,257,1.456,651,236,361,..,..,..,..,..,..,..,..,..,..,..
9,"58. Baró de Viver",890,..,..,..,..,..,..,..,210,408,..,..,..,..,..,..,..,..,..,..,..
9,"59. el Bon Pastor",4.336,..,..,498,..,503,925,796,124,..,469,..,372,..,..,..,..,..,..,..,..
9,"60. Sant Andreu",24.576,594,534,1.094,532,1.434,5.748,8.187,1.744,1.694,188,147,482,..,..,237,148,..,111,..,1.257
9,"61. la Sagrera",12.167,..,216,148,152,491,4.386,4.032,800,513,..,..,144,149,267,170,..,221,..,..,281
9,"62. el Congrés i els Indians",5.963,..,..,..,139,2.572,2.210,754,116,..,..,..,..,..,..,..,..,..,..,..,..
9,"63. Navas",10.659,..,..,228,784,2.526,2.128,2.466,312,403,..,129,..,..,..,..,..,..,155,..,1.325
10,"64. el Camp de l'Arpa del Clot",16.993,827,1.868,1.491,702,1.292,3.383,4.859,1.177,580,..,..,129,..,..,..,..,..,..,..,421
10,"65. el Clot",11.700,447,494,872,142,945,1.484,3.690,1.065,1.359,..,..,136,..,168,..,..,..,..,..,458
10,"66. el Parc i la Llacuna del Poblenou",6.202,..,158,399,150,672,1.166,1.964,189,195,..,..,..,177,..,..,225,..,..,302,330
10,"67. la Vila Olímpica del Poblenou",3.746,..,..,..,..,..,289,..,189,2.259,..,311,..,..,..,..,..,..,..,..,..
10,"68. el Poblenou",13.723,1.041,1.618,1.109,862,1.223,1.071,1.578,737,2.298,477,417,371,174,181,..,..,..,105,..,230
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,..,..,..,..,..,433,494,..,3.786,..,..,..,227,..,149,..,153,..,..,120
10,"70. el Besòs i el Maresme",7.611,..,..,..,..,1.854,3.773,1.328,..,..,..,..,..,..,..,..,..,..,..,..,..
10,"71. Provençals del Poblenou",8.343,..,195,415,162,440,1.091,2.509,1.437,719,..,359,..,199,..,..,276,..,..,..,165
10,"72. Sant Martí de Provençals",11.322,..,..,..,..,2.251,5.144,2.290,545,623,..,..,..,..,..,..,..,..,..,..,392
10,"73. la Verneda i la Pau",11.683,..,..,..,..,254,4.546,4.846,783,744,..,..,..,..,..,..,..,..,..,..,358
