"Emigrants per lloc de destinació",,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,
,"Dte.","Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
,5,"23. Sarrià",723,17,9,0,41,14,0,2,2,418,9,0,5,55,1,4,8,1,0,2,135
,5,"24. les Tres Torres",423,20,3,1,24,4,0,1,2,204,9,0,4,50,0,0,5,0,0,0,96
,5,"25. Sant Gervasi - la Bonanova",673,9,5,5,18,15,3,2,1,375,13,0,5,57,1,5,22,2,0,0,135
,5,"26. Sant Gervasi - Galvany",1230,42,9,5,57,12,2,8,2,663,44,0,7,122,3,3,10,0,0,0,241
,5,"27. el Putxet i el Farró",908,26,13,4,30,16,0,3,4,561,29,2,14,60,1,2,10,0,0,0,133
,6,"28. Vallcarca i els Penitents",439,23,5,0,23,6,0,2,0,273,13,0,3,23,3,0,9,2,0,0,54
,6,"29. el Coll",248,9,4,2,4,2,0,5,2,160,2,0,3,14,1,1,2,0,0,0,37
,6,"30. la Salut",337,7,3,1,11,8,5,5,1,219,12,2,1,14,0,1,3,0,0,0,44
,6,"31. la Vila de Gràcia",1615,54,23,11,89,21,1,8,6,947,56,8,36,95,5,5,24,1,0,0,225
,6,"32. el Camp d'en Grassot i Gràcia Nova",896,28,5,7,38,22,0,14,4,542,46,0,17,46,0,1,8,2,0,0,116
,7,"33. el Baix Guinardó",714,21,17,5,21,9,1,3,12,470,18,0,9,36,7,3,8,1,0,0,73
,7,"34. Can Baró",247,7,1,1,2,3,0,3,7,175,3,3,11,11,0,1,3,0,0,0,16
,7,"35. el Guinardó",1026,37,21,2,34,12,1,12,9,665,23,1,18,43,3,5,11,4,0,1,124
,7,"36. la Font d'en Fargues",217,0,2,0,4,5,0,2,1,163,5,0,4,3,0,1,2,2,0,0,23
,7,"37. el Carmel",879,46,8,1,20,9,3,4,8,629,22,8,9,29,6,6,8,2,0,0,61
,7,"38. la Teixonera",324,11,5,0,6,6,0,7,6,228,14,0,5,15,0,0,3,0,0,0,18
,7,"39. Sant Genís dels Agudells",166,4,2,0,9,3,0,1,1,122,2,0,4,4,0,0,5,0,0,0,9
,7,"40. Montbau",124,7,2,0,5,5,0,1,0,80,5,0,1,3,0,0,0,0,1,0,14
,7,"41. la Vall d'Hebron",113,1,8,0,2,0,0,8,0,77,2,0,2,8,0,0,0,0,0,0,5
,7,"42. la Clota",8,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0
,7,"43. Horta",600,22,3,2,18,10,0,11,8,414,19,2,4,24,0,3,2,2,1,0,55
,8,"44. Vilapicina i la Torre Llobeta",648,10,8,2,4,6,0,5,5,482,18,1,22,21,1,0,2,1,0,0,60
,8,"45. Porta",660,28,16,1,6,10,0,9,4,463,17,1,11,20,1,2,8,4,7,2,50
,8,"46. el Turó de la Peira",450,8,12,2,6,7,0,7,2,323,13,0,4,12,2,0,11,1,0,0,40
,8,"47. Can Peguera",54,2,0,0,1,6,0,0,0,39,0,0,0,0,2,0,0,0,0,1,3
,8,"48. la Guineueta",258,7,2,1,6,6,0,3,4,172,4,0,4,9,2,0,2,0,0,0,36
,8,"49. Canyelles",162,16,1,1,5,1,0,2,5,101,10,1,3,2,0,2,4,0,0,0,8
,8,"50. les Roquetes",524,11,4,1,14,3,0,3,5,377,14,5,9,13,4,1,4,1,0,0,55
,8,"51. Verdun",392,8,7,1,2,2,0,1,4,286,13,2,12,18,6,1,2,1,1,0,25
,8,"52. la Prosperitat",730,24,11,3,19,4,0,8,2,513,17,2,21,23,11,3,2,3,0,0,64
,8,"53. la Trinitat Nova",250,7,2,0,4,10,1,2,2,187,4,2,0,5,2,1,1,1,0,0,19
,8,"54. Torre Baró",77,10,0,0,2,2,0,1,0,49,3,0,1,2,1,0,1,0,0,0,5
,8,"55. Ciutat Meridiana",392,19,4,1,1,2,1,5,4,299,8,1,1,6,3,0,6,0,0,0,31
,8,"56. Vallbona",51,0,1,0,0,0,0,1,1,44,1,0,1,0,0,0,0,0,0,0,2
,9,"57. la Trinitat Vella",397,10,8,1,8,4,0,1,3,288,11,0,4,9,1,0,3,1,2,4,39
,9,"58. Baró de Viver",90,7,3,0,0,0,1,0,0,72,2,0,0,1,0,0,0,0,0,0,4
,9,"59. el Bon Pastor",439,25,5,1,1,4,0,1,0,360,6,0,3,8,3,0,1,0,0,0,21
,9,"60. Sant Andreu",1369,33,17,6,41,19,5,20,8,979,28,4,18,48,5,3,12,0,2,0,121
,9,"61. la Sagrera",746,15,13,8,20,6,2,13,3,488,24,1,9,46,8,1,7,1,0,0,81
,9,"62. el Congrés i els Indians",371,15,6,1,10,5,0,0,2,225,19,0,8,16,1,3,3,2,3,3,49
,9,"63. Navas",659,34,14,2,12,6,0,6,5,437,16,1,14,35,0,1,3,2,1,1,69
,10,"64. el Camp de l'Arpa del Clot",1269,38,18,5,32,13,4,21,13,828,41,4,23,65,2,3,22,1,0,0,136
,10,"65. el Clot",752,28,7,5,20,6,0,22,5,510,27,1,8,33,6,0,6,1,0,0,67
,10,"66. el Parc i la Llacuna del Poblenou",462,16,11,0,12,10,2,9,2,284,11,2,8,27,1,0,6,0,0,0,61
,10,"67. la Vila Olímpica del Poblenou",220,14,8,0,6,0,4,2,1,123,3,2,2,11,4,1,5,0,0,0,34
,10,"68. el Poblenou",956,23,10,3,20,18,2,8,3,656,32,2,12,42,5,4,15,1,0,0,100
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",385,18,6,0,17,1,3,4,1,243,9,0,1,24,2,0,5,0,0,0,51
,10,"70. el Besòs i el Maresme",1082,41,18,0,21,8,0,4,6,844,32,2,4,26,8,2,12,6,0,0,48
,10,"71. Provençals del Poblenou",633,28,8,0,12,5,1,1,4,444,20,1,13,47,3,4,2,0,0,1,39
,10,"72. Sant Martí de Provençals",763,31,14,0,10,14,0,6,3,532,22,5,11,25,5,4,10,2,0,1,68
,10,"73. la Verneda i la Pau",780,35,16,3,16,6,6,6,10,553,17,5,14,27,4,1,5,0,0,0,56
,,"No consta",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
