"Dte.","Barris","TOTAL","< 25 anys","25-29 anys","30-34 anys","35-39 anys","40-44 anys","45-49 anys","50-54 anys","55-59 anys","60-64 anys","65-69 anys","70-74 anys","75-79 anys","80-84 anys","85-89 anys","90-94 anys","95-99 anys","100 anys
i més"
"BARCELONA",,203074,3172,9916,15279,16435,15454,13222,13192,13009,13830,15390,16162,14705,18238,15452,7719,1662,237
1,"1. el Raval",5948,194,489,665,674,536,454,422,351,324,349,350,302,371,271,160,34,2
1,"2. el Barri Gòtic",2586,117,257,325,291,221,170,181,166,179,147,129,95,105,103,80,11,9
1,"3. la Barceloneta",2733,91,237,343,299,247,176,141,147,151,154,147,145,205,153,75,20,2
1,"4. Sant Pere, Santa Caterina i la Ribera",4083,118,348,527,511,421,312,273,243,209,236,207,172,217,175,93,13,8
2,"5. el Fort Pienc",4014,64,217,320,373,255,230,259,254,294,311,306,296,344,312,133,43,3
2,"6. la Sagrada Família",7153,112,396,541,552,472,417,478,474,497,518,543,488,667,589,339,61,9
2,"7. la Dreta de l'Eixample",6342,156,376,527,530,495,409,404,407,473,494,480,398,457,418,226,80,12
2,"8. l'Antiga Esquerra de l'Eixample",6497,143,430,609,541,412,411,421,449,438,495,473,393,488,436,266,76,16
2,"9. la Nova Esquerra de l'Eixample",8080,114,454,628,615,589,464,498,478,603,688,668,575,672,593,350,74,17
2,"10. Sant Antoni",5657,72,227,457,539,410,372,368,328,350,379,453,411,491,467,260,65,8
3,"11. el Poble Sec - AEI Parc Montjuïc",5342,55,284,477,573,487,399,378,341,324,318,352,328,461,338,189,32,6
3,"12. la Marina del Prat Vermell - AEI Zona Franca",163,2,7,10,10,14,15,13,10,18,13,12,8,10,14,6,1,0
3,"13. la Marina de Port",3152,25,102,162,214,238,229,229,225,253,223,257,271,347,262,92,21,2
3,"14. la Font de la Guatlla",1384,16,63,100,119,104,97,101,80,106,104,123,98,120,89,54,8,2
3,"15. Hostafrancs",2108,32,124,217,175,180,157,141,164,141,149,149,128,147,120,62,19,3
3,"16. la Bordeta",2152,21,103,160,153,153,119,142,150,175,222,160,163,192,164,62,12,1
3,"17. Sants - Badal",3000,56,170,244,234,223,180,200,204,196,221,228,205,270,241,105,19,4
3,"18. Sants",5685,89,321,489,497,452,341,378,377,376,368,423,347,493,473,214,40,7
4,"19. les Corts",5807,95,290,416,413,355,290,364,364,427,500,560,464,529,456,237,41,6
4,"20. la Maternitat i Sant Ramon",2742,50,140,185,179,154,157,142,147,193,275,282,215,240,231,124,23,5
4,"21. Pedralbes",1077,23,49,60,53,53,59,49,56,74,115,102,91,112,104,66,11,0
5,"22. Vallvidrera, el Tibidabo i les Planes",367,5,16,25,20,27,31,42,41,40,32,28,26,17,8,7,2,0
5,"23. Sarrià",2495,36,113,145,187,178,165,152,188,197,193,211,178,214,188,119,25,6
5,"24. les Tres Torres",1336,28,52,70,71,68,69,97,104,89,113,130,121,137,106,56,21,4
5,"25. Sant Gervasi - la Bonanova",2633,62,121,158,163,190,148,155,156,195,224,248,195,229,215,130,36,8
5,"26. Sant Gervasi - Galvany",5845,109,253,390,377,343,330,372,385,384,454,532,458,532,516,311,81,18
5,"27. el Putxet i el Farró",4119,59,228,339,326,335,246,283,250,297,375,349,276,290,265,156,37,8
6,"28. Vallcarca i els Penitents",2018,26,90,136,164,146,145,158,115,131,173,190,153,160,146,64,16,5
6,"29. el Coll",953,15,45,56,84,90,66,83,82,64,70,78,80,64,50,23,3,0
6,"30. la Salut",1689,30,98,115,132,114,85,85,90,117,161,158,144,152,115,72,20,1
6,"31. la Vila de Gràcia",8637,172,623,1011,949,770,558,552,524,496,513,511,451,582,539,306,68,12
6,"32. el Camp d'en Grassot i Gràcia Nova",4869,66,235,371,434,333,315,272,310,374,362,381,397,407,363,194,50,5
7,"33. el Baix Guinardó",3411,24,166,232,244,251,192,205,234,250,263,287,253,370,293,124,23,0
7,"34. Can Baró",1190,10,53,81,96,97,85,94,79,69,75,97,91,123,79,48,12,1
7,"35. el Guinardó",4806,68,231,315,324,350,348,329,332,321,364,369,362,453,408,185,44,3
7,"36. la Font d'en Fargues",900,7,26,54,57,74,69,58,60,75,88,85,85,64,61,33,4,0
7,"37. el Carmel",3496,45,153,188,232,294,243,225,202,264,268,305,323,357,265,113,19,0
7,"38. la Teixonera",1319,22,39,89,100,107,114,94,94,84,86,123,109,112,92,44,10,0
7,"39. Sant Genís dels Agudells",834,9,25,49,43,52,50,71,40,50,68,64,94,92,92,28,6,1
7,"40. Montbau",711,5,26,25,28,44,49,54,43,29,27,47,71,124,96,36,7,0
7,"41. la Vall d'Hebron",646,2,13,27,30,44,31,38,47,45,58,78,75,76,62,18,2,0
7,"42. la Clota",87,3,5,9,18,8,7,4,8,2,4,1,6,6,2,4,0,0
7,"43. Horta",3047,21,98,154,190,215,231,202,215,181,251,275,308,339,235,106,24,2
8,"44. Vilapicina i la Torre Llobeta",3031,30,75,151,174,214,172,190,213,182,246,274,278,372,290,129,38,3
8,"45. Porta",3048,26,84,139,232,238,190,175,183,185,228,260,292,382,280,131,19,4
8,"46. el Turó de la Peira",1968,26,41,71,96,106,115,120,142,120,115,111,144,302,325,126,8,0
8,"47. Can Peguera",295,1,14,16,25,24,21,22,17,24,17,19,28,41,15,11,0,0
8,"48. la Guineueta",1668,14,41,49,84,81,99,93,85,100,145,182,172,246,183,83,10,1
8,"49. Canyelles",698,4,16,25,36,32,34,28,48,70,86,97,73,75,53,20,1,0
8,"50. les Roquetes",1522,22,54,98,124,124,111,99,100,113,105,140,109,156,116,40,10,1
8,"51. Verdun",1589,20,46,72,125,129,115,110,90,106,133,132,152,158,129,58,14,0
