Mes,Capitol,"Text Capitol",Article,"Text Article",Concepte,"Text Concepte",Subconcepte,"Text Subconcepte",Orgànic,"Text Orgànic",Àrees,"Text Àrees",Política,"Text Política","Grup de programes","Text Grup de programes",Programes,"Text Programes",Subprogrames,"Text Subprogrames","PREV. INICIAL","MODIF. PREVISIÓ",PREV.DEFINITIVA,"DRETS RECONEGUTS","DRETS ANUL./CANC.","DRETS LIQUIDATS","RECAPTAT LIQUIDAT"
Gener,1,"IMPOSTOS DIRECTES",10,"IMPOST SOBRE LA RENTA",100,IRPF,10000,"Cessió IRPF",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","51.244.290,00",0,"51.244.290,00","4.270.357,18",0,"4.270.357,18",0
Gener,1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",113,"SOBRE BENS IMMOBLES DE NATURALESA URBANA",11301,"IBI de naturalesa urbana",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","615.314.010,00",0,"615.314.010,00","876.366,26","31.430,20","844.936,06","391.661,17"
Gener,1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",114,"SOBRE BENS IMMOBLES DE CARACT. ESPECIALS",11401,"IBI de característiques especials",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","8.097.000,00",0,"8.097.000,00",0,0,0,0
Gener,1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",115,"SOBRE VEHICLES DE TRACCIO MECANICA",11500,"Impost sobre vehicles tracció mecànica",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","58.620.000,00",0,"58.620.000,00","243.843,37","739,77","243.103,60","235.164,38"
Gener,1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",116,"SOBRE INCREM. VALOR TERRENYS NATURALESA",11600,"I. s/ increm. valor terrenys nat. urbana",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","120.814.000,00",0,"120.814.000,00","18.527.208,84","527.343,57","17.999.865,27","17.540.149,58"
Gener,1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13000,"Impost activitats econòmiques (IAE)",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","80.629.000,00",0,"80.629.000,00","1.432.521,83","1.618,73","1.430.903,10","107.025,66"
Gener,1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13001,"Impost activitats profesionals i artisti",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos",10,0,10,"670,8",0,"670,8","670,8"
Gener,1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13004,"Quotes nacionals i provincials IAE",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","9.049.000,00",0,"9.049.000,00",0,0,0,0
Gener,1,"IMPOSTOS DIRECTES",18,"DIRECTES EXTINGITS",180,"DIRECTES EXTINGITS",18000,"Directes extingits",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos",10,0,10,0,0,0,0
Gener,2,"IMPOSTOS INDIRECTES",21,"IMPOST SOBRE EL VALOR AFEGIT",210,IVA,21000,"Cessió IVA",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","30.529.420,00",0,"30.529.420,00","2.540.912,71",0,"2.540.912,71",0
Gener,2,"IMPOSTOS INDIRECTES",22,"SOBRE CONSUMS ESPECÍFICS",220,"IMPOSTOS ESPECIALS",22000,"Cessió IE alcohol i derivats",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","385.330,00",0,"385.330,00","32.070,38",0,"32.070,38",0
Gener,2,"IMPOSTOS INDIRECTES",22,"SOBRE CONSUMS ESPECÍFICS",220,"IMPOSTOS ESPECIALS",22001,"Cessió IE cervesa",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","132.690,00",0,"132.690,00","11.043,44",0,"11.043,44",0
Gener,2,"IMPOSTOS INDIRECTES",22,"SOBRE CONSUMS ESPECÍFICS",220,"IMPOSTOS ESPECIALS",22003,"Cessió IE tabac",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","3.257.390,00",0,"3.257.390,00","271.449,26",0,"271.449,26",0
Gener,2,"IMPOSTOS INDIRECTES",22,"SOBRE CONSUMS ESPECÍFICS",220,"IMPOSTOS ESPECIALS",22004,"Cessió IE hidrocarburs",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","4.669.180,00",0,"4.669.180,00","388.608,20",0,"388.608,20",0
Gener,2,"IMPOSTOS INDIRECTES",22,"SOBRE CONSUMS ESPECÍFICS",220,"IMPOSTOS ESPECIALS",22006,"Cessió IE de productes intermedis",703,"0703 Serveis Centrals",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos m",93219,"Serveis d’ingressos","8.780,00",0,"8.780,00","730,7",0,"730,7",0
