"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K015","Transports i serveis relacionats","Autobusos nocturns",428551693,4583384078,428459779,4583183134,"2.144207","41.397004","NITBUS -N7--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns",429170217,4585957066,429078298,4585756098,"2.151304","41.420233","BUS -92-87-V17--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns",429238997,4586513608,429147078,4586312634,"2.152062","41.425251","BUS -19--",7,38,"Horta-Guinardó","la Teixonera",,
"K014","Transports i serveis relacionats","Autobusos diürns",429372996,4583242997,429281074,4583042054,"2.154047","41.395806","BUS -27-32-V15--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns",429400773,"4582251.59",429308851,4582050656,"2.154495","41.386879","BUS -37-59-V11--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",428629327,4583999247,428537412,4583798297,"2.145063","41.402552","BUS -V15--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns",428655254,4582059575,428563339,4581858643,"2.145602","41.385084","BUS -41--",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",428763473,4584344538,428671557,4584143585,"2.146627","41.405673","BUS -H6--",5,27,"Sarrià-Sant Gervasi","el Putxet i el Farró",,
"K014","Transports i serveis relacionats","Autobusos diürns",428791068,4585039461,428699152,4584838501,"2.146875","41.411935","BUS -87--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns",428173996,4580515023,428082085,4580314105,"2.14003","41.37113","BUS -91--",3,16,"Sants-Montjuïc","la Bordeta",,
"K014","Transports i serveis relacionats","Autobusos diürns",432639524,4589215227,432547574,4589014227,"2.192452","41.449876","BUS -11-40--",9,57,"Sant Andreu","la Trinitat Vella",,
"K014","Transports i serveis relacionats","Autobusos diürns",429077002,4583067134,428985083,4582866192,"2.150528","41.394196","BUS -6-7-33-34-H8--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430571699,"4584237.3",430479767,4584036347,"2.168271","41.404866","NITBUS -N4--",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns",432220692,4581202246,432128744,4581001321,"2.188337","41.377671","BUS -39-V15--",1,3,"Ciutat Vella","la Barceloneta",,
"K014","Transports i serveis relacionats","Autobusos diürns","431945.92",4581752133,431853974,4581551203,"2.18499","41.382601","BUS -39-45-59-D20-V15-V13--",1,4,"Ciutat Vella","Sant Pere. Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns",433601008,"4586154.44",433509048,4585953468,"2.204298","41.422389","BUS -33-36-B24--",10,73,"Sant Martí","la Verneda i la Pau",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430924224,4582471359,430832288,4582270422,"2.17269","41.388991","NITBUS -N4-N8--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",430820,4584847535,430728066,4584646576,"2.171171","41.410384","BUS -V21--",7,33,"Horta-Guinardó","el Baix Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns",430286001,4582168918,430194071,4581967984,"2.165092","41.386212","BUS -24-41-55-59-67-68-H16-V13--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","431764.2",4582450612,431672256,4582249675,"2.182738","41.388876","BUS -40-42-B25-B20-H16--",1,4,"Ciutat Vella","Sant Pere. Santa Caterina i la Ribera",,
"K015","Transports i serveis relacionats","Autobusos nocturns",431124651,4584337962,431032714,4584137008,"2.174874","41.40582","NITBUS -N0-N1--",2,6,"Eixample","la Sagrada Família",,
"K014","Transports i serveis relacionats","Autobusos diürns",428832233,4587607106,428740318,4587406122,"2.147065","41.435064","BUS -27-60-76-B19-H4--",7,40,"Horta-Guinardó","Montbau",,
"K015","Transports i serveis relacionats","Autobusos nocturns",430601994,4582320434,430510061,4582119499,"2.168853","41.387604","NITBUS -N1-N2-N3-N6-N8--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",429776983,4585360634,429685058,4585159671,"2.158633","41.414914","BUS -24-92--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns","429626.33",4585461825,429534407,4585260861,"2.156819","41.415812","BUS -24-92--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns",430373292,4584251889,430281361,4584050936,"2.165896","41.40498","BUS -20-45-47-H8--",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns",431987715,4582627933,431895769,4582426995,"2.185391","41.390492","BUS -H16-H14--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
