Dte,Barris,Total,DestinatPrincipalmentOExclusivaAHabitatges,DestinatAAltresFinalitats
BARCELONA,,70.717,69.830,887
1,"1. el Raval",1.851,1.823,28
1,"2. el Barri Gòtic",1.106,1.029,77
1,"3. la Barceloneta",1.160,1.152,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.492,1.458,34
2,"5. el Fort Pienc",611,608,..
2,"6. la Sagrada Família",1.533,1.493,40
2,"7. la Dreta de l'Eixample",1.896,1.832,64
2,"8. l'Antiga Esquerra de l'Eixample",1.518,1.485,33
2,"9. la Nova Esquerra de l'Eixample",1.283,1.252,31
2,"10. Sant Antoni",1.135,1.110,25
3,"11. el Poble Sec - AEI Parc Montjuïc",1.583,1.573,10
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",110,105,..
3,"13. la Marina de Port",514,513,..
3,"14. la Font de la Guatlla",348,348,..
3,"15. Hostafrancs",727,723,..
3,"16. la Bordeta",493,485,..
3,"17. Sants - Badal",944,926,18
3,"18. Sants",2.287,2.243,44
4,"19. les Corts",1.256,1.245,11
4,"20. la Maternitat i Sant Ramon",598,592,..
4,"21. Pedralbes",622,619,..
5,"22. Vallvidrera, el Tibidabo i les Planes",1.105,1.101,..
5,"23. Sarrià",2.034,2.020,14
5,"24. les Tres Torres",631,627,..
5,"25. Sant Gervasi - la Bonanova",1.310,1.298,12
5,"26. Sant Gervasi - Galvany",1.836,1.748,88
5,"27. el Putxet i el Farró",1.490,1.458,32
6,"28. Vallcarca i els Penitents",1.285,1.271,14
6,"29. el Coll",574,571,..
6,"30. la Salut",545,543,..
6,"31. la Vila de Gràcia",3.934,3.860,74
6,"32. el Camp d'en Grassot i Gràcia Nova",1.181,1.168,13
7,"33. el Baix Guinardó",740,736,..
7,"34. Can Baró",674,672,..
7,"35. el Guinardó",2.064,2.056,..
7,"36. la Font d'en Fargues",1.019,1.014,..
7,"37. el Carmel",1.791,1.787,..
7,"38. la Teixonera",759,758,..
7,"39. Sant Genís dels Agudells",333,333,..
7,"40. Montbau",274,269,..
7,"41. la Vall d'Hebron",93,90,..
7,"42. la Clota",140,139,..
7,"43. Horta",2.106,2.097,..
8,"44. Vilapicina i la Torre Llobeta",1.086,1.083,..
8,"45. Porta",817,814,..
8,"46. el Turó de la Peira",363,360,..
8,"47. Can Peguera",674,665,..
8,"48. la Guineueta",293,292,..
8,"49. Canyelles",79,79,..
8,"50. les Roquetes",926,926,..
8,"51. Verdun",601,599,..
8,"52. la Prosperitat",1.159,1.158,..
8,"53. la Trinitat Nova",214,214,..
8,"54. Torre Baró",488,488,..
8,"55. Ciutat Meridiana",253,253,..
8,"56. Vallbona",159,159,..
9,"57. la Trinitat Vella",619,619,..
9,"58. Baró de Viver",66,66,..
9,"59. el Bon Pastor",1.091,1.079,12
9,"60. Sant Andreu",3.242,3.237,..
9,"61. la Sagrera",705,702,..
9,"62. el Congrés i els Indians",695,695,..
9,"63. Navas",699,670,29
10,"64. el Camp de l'Arpa del Clot",1.854,1.831,23
10,"65. el Clot",801,800,..
10,"66. el Parc i la Llacuna del Poblenou",350,343,..
10,"67. la Vila Olímpica del Poblenou",446,445,..
10,"68. el Poblenou",1.497,1.484,13
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,286,..
10,"70. el Besòs i el Maresme",918,908,10
10,"71. Provençals del Poblenou",449,446,..
10,"72. Sant Martí de Provençals",472,470,..
10,"73. la Verneda i la Pau",430,429,..
