"Tipus ens","Nom ens","Règim jurídic d'aplicació",Escala,Subescala,Categoria,Grup,Subgrup,Temporalitat,Gènere,Nombre
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica",,"Tècnic/a superior",A1,"Interí i temporal",D,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,Fix,D,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,"Interí i temporal",H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió",,"Tècnic/a mitjà/na",A2,"Interí i temporal",D,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa",,Administratiu/iva,C1,Fix,H,1
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa",,Administratiu/iva,C1,Fix,D,2
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa",,Administratiu/iva,C1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa",,Administratiu/iva,C1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar",,"Auxiliar administratiu/iva",C2,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar",,"Auxiliar administratiu/iva",C2,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar",,"Auxiliar administratiu/iva",C2,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar",,"Auxiliar administratiu/iva",C2,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna",,Subaltern/a,E,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna",,Subaltern/a,E,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna",,Subaltern/a,E,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna",,Subaltern/a,E,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Titulat/da superior",A1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Titulat/da superior",A1,Fix,D,4
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Titulat/da superior",A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Titulat/da superior",A1,"Interí i temporal",D,3
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut",,A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A1,Fix,H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A1,Fix,D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A1,"Interí i temporal",H,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència",,A1,"Interí i temporal",D,0
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Tècnic/a de grau mitjà",A2,Fix,H,3
"Organismes Autònoms Locals ","INSTITUT MUNICIPAL DE PERSONES AMB DISCAPACITAT","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica",,"Tècnic/a de grau mitjà",A2,Fix,D,12
