"Dte.","Barris","TOTAL","Menys d'1 any","D'1 a 5 anys","De 6 a 15 anys","Més de 15 anys","No consta"
"BARCELONA",,1625137,108180,338525,354532,823222,678
1,"1. el Raval",47986,6324,17357,12463,11819,23
1,"2. el Barri Gòtic",16240,2583,5745,3414,4490,8
1,"3. la Barceloneta",15101,1783,4457,2766,6086,9
1,"4. Sant Pere, Santa Caterina i la Ribera",22923,2842,7654,5267,7136,24
2,"5. el Fort Pienc",32048,2477,7170,7097,15295,9
2,"6. la Sagrada Família",51651,3774,11007,10548,26299,23
2,"7. la Dreta de l'Eixample",44246,3537,10425,9982,20275,27
2,"8. l'Antiga Esquerra de l'Eixample",42512,3422,10309,9353,19416,12
2,"9. la Nova Esquerra de l'Eixample",58315,4202,12453,12288,29346,26
2,"10. Sant Antoni",38412,2677,8791,8550,18366,28
3,"11. el Poble Sec - AEI Parc Montjuïc",40358,3511,10650,10244,15925,28
3,"12. la Marina del Prat Vermell - AEI Zona Franca",1151,62,223,203,663,0
3,"13. la Marina de Port",30622,1708,5335,6854,16718,7
3,"14. la Font de la Guatlla",10422,734,2286,2141,5259,2
3,"15. Hostafrancs",15949,1265,3998,3369,7311,6
3,"16. la Bordeta",18561,1077,3503,3827,10147,7
3,"17. Sants - Badal",24047,1659,5082,5075,12227,4
3,"18. Sants",41244,2951,9093,8784,20397,19
4,"19. les Corts",46104,2571,8304,9027,26187,15
4,"20. la Maternitat i Sant Ramon",23980,1411,4825,4543,13192,9
4,"21. Pedralbes",12117,873,2766,2759,5701,18
5,"22. Vallvidrera, el Tibidabo i les Planes",4689,207,992,1297,2185,8
5,"23. Sarrià",25106,1437,5154,6082,12406,27
5,"24. les Tres Torres",16660,830,3174,4183,8467,6
5,"25. Sant Gervasi - la Bonanova",25909,1447,5058,6140,13256,8
5,"26. Sant Gervasi - Galvany",47753,2849,9367,11274,24221,42
5,"27. el Putxet i el Farró",29617,1697,5883,6895,15120,22
6,"28. Vallcarca i els Penitents",15615,876,2884,3677,8171,7
6,"29. el Coll",7428,430,1386,1675,3933,4
6,"30. la Salut",13207,740,2356,2697,7406,8
6,"31. la Vila de Gràcia",50885,3798,12760,11212,23076,39
6,"32. el Camp d'en Grassot i Gràcia Nova",34431,1959,6387,7116,18956,13
7,"33. el Baix Guinardó",25734,1380,4693,5213,14440,8
7,"34. Can Baró",9020,494,1676,1818,5029,3
7,"35. el Guinardó",36538,2130,6796,7696,19906,10
7,"36. la Font d'en Fargues",9390,326,1183,1867,6013,1
7,"37. el Carmel",31583,1664,5299,6677,17939,4
7,"38. la Teixonera",11634,701,1878,2441,6607,7
7,"39. Sant Genís dels Agudells",6971,424,1174,1433,3938,2
7,"40. Montbau",5171,280,854,967,3069,1
7,"41. la Vall d'Hebron",5792,278,849,1077,3585,3
7,"42. la Clota",611,23,131,132,325,0
7,"43. Horta",26743,1322,4254,5158,16003,6
8,"44. Vilapicina i la Torre Llobeta",25618,1286,4335,5115,14874,8
8,"45. Porta",25046,1535,4511,5172,13824,4
8,"46. el Turó de la Peira",15506,1009,3439,3543,7510,5
8,"47. Can Peguera",2233,88,289,453,1402,1
8,"48. la Guineueta",15247,638,2160,2845,9604,0
8,"49. Canyelles",6863,186,784,1163,4730,0
8,"50. les Roquetes",15648,1128,3334,3496,7688,2
8,"51. Verdun",12368,798,2473,2613,6480,4
8,"52. la Prosperitat",26398,1444,4444,5452,15056,2
8,"53. la Trinitat Nova",7271,460,1478,1777,3555,1
8,"54. Torre Baró",2859,174,635,809,1241,0
8,"55. Ciutat Meridiana",10369,909,2703,2597,4160,0
8,"56. Vallbona",1379,97,302,376,604,0
9,"57. la Trinitat Vella",10006,752,2607,2623,4024,0
9,"58. Baró de Viver",2539,128,515,604,1292,0
9,"59. el Bon Pastor",12582,681,2435,3173,6293,0
9,"60. Sant Andreu",57223,2390,8667,11655,34501,10
9,"61. la Sagrera",29031,1564,5021,5988,16455,3
9,"62. el Congrés i els Indians",14141,738,2457,3087,7855,4
9,"63. Navas",22171,1208,3824,4665,12471,3
10,"64. el Camp de l'Arpa del Clot",38371,2357,7434,8129,20429,22
10,"65. el Clot",27089,1451,4834,5670,15130,4
10,"66. el Parc i la Llacuna del Poblenou",15204,1063,3534,3349,7252,6
10,"67. la Vila Olímpica del Poblenou",9404,496,1866,2365,4668,9
10,"68. el Poblenou",33931,2100,7235,8565,16008,23
10,"69. Diagonal Mar i el Front Marítim del Poblenou",13710,949,3161,3798,5791,11
10,"70. el Besòs i el Maresme",22893,2100,5550,4886,10353,4
10,"71. Provençals del Poblenou",20649,1062,3955,4408,11218,6
10,"72. Sant Martí de Provençals",26187,1302,4384,5255,15237,9
10,"73. la Verneda i la Pau",28725,1352,4538,5620,17211,4
