"Immigrants per lloc de procedència",,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,
,"Dte.",,"Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
,"BARCELONA",,,85172,2219,785,260,1408,837,174,750,402,28108,2219,203,842,2707,330,198,680,127,19,55,42849
,1,,"1. el Raval",4976,114,27,6,60,48,12,31,13,1194,116,4,30,122,20,7,45,9,2,6,3110
,1,,"2. el Barri Gòtic",2198,50,9,3,42,16,4,15,3,439,43,4,15,50,10,0,14,4,0,2,1475
,1,,"3. la Barceloneta",1548,37,5,7,18,12,4,6,4,322,23,2,17,39,3,3,8,2,1,0,1035
,1,,"4. Sant Pere, Santa Caterina i la Ribera",2377,66,9,5,40,24,3,11,13,439,52,5,22,79,7,3,19,6,0,2,1572
,2,,"5. el Fort Pienc",1994,78,16,10,33,29,2,17,9,535,55,4,17,67,18,3,12,3,2,0,1084
,2,,"6. la Sagrada Família",3155,61,18,9,38,40,8,44,15,885,88,11,43,110,13,7,27,5,1,1,1731
,2,,"7. la Dreta de l'Eixample",2943,66,25,13,62,27,9,28,12,687,69,6,31,124,7,5,21,5,0,2,1744
,2,,"8. l'Antiga Esquerra de l'Eixample",2911,67,20,11,42,19,7,22,18,720,73,6,24,141,7,9,27,0,1,1,1696
,2,,"9. la Nova Esquerra de l'Eixample",3486,64,38,15,51,54,7,33,17,1014,98,4,45,125,18,10,33,5,1,3,1851
,2,,"10. Sant Antoni",2146,51,23,6,41,27,8,21,10,560,76,1,21,62,3,13,31,3,0,1,1188
,3,,"11. el Poble Sec - AEI Parc Montjuïc",2729,66,25,9,51,37,8,24,16,770,63,4,29,74,13,4,27,3,0,2,1504
,3,,"12. la Marina del Prat Vermell - AEI Zona Franca",35,1,0,0,0,0,0,0,0,21,0,1,0,0,0,0,1,0,0,0,11
,3,,"13. la Marina de Port",1301,30,9,2,12,5,0,14,13,601,36,4,8,43,7,2,8,1,0,2,504
,3,,"14. la Font de la Guatlla",600,15,5,2,11,3,0,6,3,200,27,1,11,15,3,6,2,1,3,0,286
,3,,"15. Hostafrancs",1023,46,7,6,17,11,9,13,10,321,28,3,12,36,9,3,15,1,0,0,476
,3,,"16. la Bordeta",887,19,8,3,5,9,0,9,2,434,27,2,4,28,4,4,8,1,0,1,319
,3,,"17. Sants - Badal",1366,33,9,2,22,9,3,12,2,637,25,4,8,33,5,2,8,1,0,0,551
,3,,"18. Sants",2322,80,22,7,44,29,13,27,9,874,71,4,32,69,12,4,20,0,2,1,1002
,4,,"19. les Corts",2047,43,41,6,41,18,3,19,8,780,49,4,30,85,5,2,19,4,0,0,890
,4,,"20. la Maternitat i Sant Ramon",1210,33,14,5,24,21,5,12,4,491,28,4,12,41,3,1,6,5,0,0,501
,4,,"21. Pedralbes",735,14,22,0,24,7,2,6,6,203,31,1,4,23,1,2,7,1,0,0,381
,5,,"22. Vallvidrera, el Tibidabo i les Planes",150,3,0,0,3,1,2,0,0,91,4,0,1,1,0,1,1,0,0,0,42
,5,,"23. Sarrià",1131,18,2,3,35,17,0,2,2,406,14,2,2,54,1,7,11,1,0,1,553
,5,,"24. les Tres Torres",612,8,4,0,26,5,0,3,1,223,12,0,2,22,2,1,2,0,0,0,301
,5,,"25. Sant Gervasi - la Bonanova",1123,8,7,1,31,11,1,9,1,400,20,1,5,34,2,2,5,0,0,0,585
,5,,"26. Sant Gervasi - Galvany",2269,41,11,1,58,20,5,9,2,699,49,1,19,113,4,8,25,2,0,1,1201
,5,,"27. el Putxet i el Farró",1271,38,13,4,39,11,1,9,7,463,26,2,12,49,2,3,7,1,0,3,581
,6,,"28. Vallcarca i els Penitents",679,20,9,2,9,10,0,11,2,257,21,0,4,22,2,0,3,0,0,0,307
,6,,"29. el Coll",332,10,6,0,6,13,0,3,2,111,7,1,5,18,1,0,1,0,0,0,148
,6,,"30. la Salut",609,22,3,2,16,5,1,6,2,176,24,3,9,17,3,3,1,0,0,0,316
,6,,"31. la Vila de Gràcia",3055,63,30,14,63,33,6,22,12,797,101,8,47,86,15,12,30,3,0,2,1711
,6,,"32. el Camp d'en Grassot i Gràcia Nova",1505,38,7,6,17,16,2,18,8,492,40,1,21,42,8,9,11,0,0,0,769
,7,,"33. el Baix Guinardó",1060,22,14,3,24,14,3,18,3,377,29,2,13,35,9,1,9,2,0,0,482
,7,,"34. Can Baró",374,7,6,2,7,0,0,4,8,149,7,1,3,6,7,1,4,0,0,0,162
,7,,"35. el Guinardó",1626,50,12,8,26,10,1,22,8,602,40,4,20,68,5,4,12,2,0,0,732
,7,,"36. la Font d'en Fargues",202,7,0,4,9,3,0,2,1,100,2,0,2,3,2,2,1,0,0,0,64
,7,,"37. el Carmel",1153,31,13,4,17,14,1,13,9,410,40,14,11,37,2,4,9,4,0,3,517
,7,,"38. la Teixonera",536,26,4,2,9,5,0,5,2,224,7,4,4,12,2,2,1,0,0,0,227
,7,,"39. Sant Genís dels Agudells",347,8,4,1,10,7,1,1,4,127,15,0,3,6,1,0,2,0,1,0,156
,7,,"40. Montbau",231,16,3,1,6,1,0,2,0,69,3,0,3,4,0,0,0,0,0,0,123
,7,,"41. la Vall d'Hebron",211,8,3,3,8,6,0,12,1,81,4,1,4,2,1,0,0,0,1,0,76
,7,,"42. la Clota",23,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,11
,7,,"43. Horta",969,32,9,1,15,8,0,7,3,412,19,5,6,23,2,3,8,0,0,1,415
,8,,"44. Vilapicina i la Torre Llobeta",956,20,9,3,6,5,5,6,11,400,23,4,13,26,3,2,3,1,0,0,416
,8,,"45. Porta",1166,41,12,2,16,7,1,16,3,496,29,0,8,19,6,0,8,1,0,4,497
,8,,"46. el Turó de la Peira",717,25,6,2,10,2,7,2,5,269,30,0,4,14,3,0,11,4,1,0,322
,8,,"47. Can Peguera",68,5,1,1,1,0,0,0,1,39,4,1,1,0,0,0,0,0,0,0,14
