TRIMESTRE,TIPUS ORDENANT,ORDENANT,DEPARTAMENT,DENOMINACIO CAMPANYA,CONCEPTE,MITJÀ,IMPORT
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,, 25È ANIVERSARI JOCS OLÍMPICS ,MITJANS,PREMSA DIÀRIA,"12100,00"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,, 25È ANIVERSARI JOCS OLÍMPICS ,MITJANS,PREMSA DIÀRIA,"12100,00"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ACCIÓ PROXIMITAT DISTRICTE SANTS-MONTJUÏC,MITJANS,PREMSA DIÀRIA,"908,21"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,AJUTS FISCALS - IBI ,MITJANS,PREMSA DIÀRIA,"19208,18"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ANELLA OLÍMPICA,MITJANS,PREMSA DIÀRIA,"22962,99"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,ANUNCIS ADMINISTRATIUS D'INFORMACIÓ A LA CIUTADANIA,MITJANS,PREMSA DIÀRIA,"7829,5"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA ACTIVA,MITJANS,PREMSA DIÀRIA,"57264,7"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BARCELONA PER NADAL ÉS CULTURA 2016-2017,MITJANS,PREMSA DIÀRIA,"1000,74"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BETEVÉ NOVA IMATGE,MITJANS,PREMSA DIÀRIA,"46801,57"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,BIMSA - BARCELONA D'INFRAESTRUCTURES MUNICIPALS SA,MITJANS,PREMSA DIÀRIA,"15141,86"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,CONCERT DIA INTERNACIONAL DE LA DONA,MITJANS,PREMSA DIÀRIA,"17983,47"
,AJUNTAMENT DE BARCELONA,DIRECCIÓ SERVEIS PUBLICITARIS,,DRETS ENERGÈTICS,MITJANS,PREMSA DIÀRIA,"44736,05"
