Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines;LONGITUD;LATITUD
439723,02;4473885,33;40640;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;FTE 2;CargayDescarga;Línea;2;LABORABLES DE 9 A 14 H.Y DE 16,30 A 19 H. EXCEPTOCARGA Y DESCARGA;-3.7104527;40.4134075
439790,53;4474556,85;42584;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;8;CargayDescarga;;;;-3.7097206;40.4194617
439962,27;4473883,2;42929;01  CENTRO;01-01 PALACIO;SEGOVIA NUEVA, PLAZA, DE;1;CargayDescarga;Línea;1;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7076328;40.4134056
439580,88;4473947,01;40898;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;18;CargayDescarga;Línea;3;;-3.7121338;40.4139528
439130,71;4473794,67;40235;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;7;CargayDescarga;Línea;2;LABORABLES DE 9 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA TIEMPO MAXIMO 30 MINUTOS;-3.7174247;40.4125477
439950,09;4474683,93;42930;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;4;CargayDescarga;Línea;;;-3.7078519;40.4206181
439409,85;4473781,5;1;01  CENTRO;01-01 PALACIO;YESEROS, CALLE, DE LOS;6;CargayDescarga;Línea;3;Lab. de 9 a 20 h.excepto: CARGA Y DESCARGA;-3.7141337;40.4124494
439937,94;4473463,87;38926;01  CENTRO;01-02 EMBAJADORES;AMAZONAS, CALLE, DE LAS;13;CargayDescarga;Línea;1;LAB. DE 8 A 14 H. Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGADOMINGOS Y FESTIVOSDE 7 A 16 H.;-3.7078799;40.4096263
440536,25;4473171,44;38924;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;91;CargayDescarga;Línea;3;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7008015;40.4070349
439760,7;4473334,74;38926;01  CENTRO;01-02 EMBAJADORES;ARGANZUELA, CALLE, DE LA;9;CargayDescarga;Línea;4;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7099565;40.4084502
