Código;DISTRITO;UBICACION;X_ETRS89;Y_ETRS89;Longitud;Latitud;SUPERFICIE (M2);JUEGOS
902001;ARGANZUELA;CALLE PUERTO DE BEJAR, N? 7;441718,250;4471138,130;-3.6866860867909;40.3888013560539;91,7;NO
902002;ARGANZUELA;CALLE PARROCO EUSEBIO CUENCA, N? 6;441232,543;4472236,523;-3.69250974212146;40.3986621381058;36,4;NO
902004;ARGANZUELA;CALLE ARGANDA, N? 25;440150,143;4472383,140;-3.70527750898531;40.3999058481924;530,6;NO
902005;ARGANZUELA;CALLE ARGANDA, N? 25;440137,275;4472415,759;-3.70543220329522;40.4001987712961;543,9;NO
902006;ARGANZUELA;CALLE PALOS DE LA FRONTERA, N? 42;441066,390;4472680,360;-3.69450862445787;40.4026487079676;127,6;NO
902003;ARGANZUELA;PASEO IMPERIAL, N? 26;439072,127;4472977,784;-3.71803695201312;40.4051845002137;425,8;NO
5;ARGANZUELA;PARQUE MADRID RÍO (JUNTO PUENTE DE LA PRINCESA);440755,000;4471264,300;-3.69804621522035;40.3898700132406;127,8;SI
921001;BARAJAS;AVENIDA LOGROÑO, N? 98;450771,152;4479927,205;-3.58070945982639;40.4685634157608;61,4;NO
2;BARAJAS;PARQUE JUAN CARLOS I;448443,350;4479327,240;-3.60811831094329;40.4630173802646;5773,8;SI
911004;CARABANCHEL;CAMINO CRUCES, N? 17;435520,646;4469044,436;-3.75948974924641;40.3694838348465;87,6;NO
911007;CARABANCHEL;CALLE ONTANILLA, N? 1;438055,390;4469538,880;-3.72968387775858;40.3741302371909;60,7;NO
911009;CARABANCHEL;AVENIDA POBLADOS, N? 95;437471,710;4469564,450;-3.73656137770249;40.3743169997366;171,4;NO
911001;CARABANCHEL;CALLE CAZALEGAS, N? 2;438335,151;4469748,218;-3.72640890321799;40.3760368020485;560,5;SI
911008;CARABANCHEL;CALLE ALBA DE TORMES, N? 4;436783,960;4470059,480;-3.7447112850767;40.3787245739894;218,8;NO
911010;CARABANCHEL;CALLE PARQUE EUGENIA DE MONTIJO, N? 5;436184,487;4470260,171;-3.75179284997658;40.3804867945881;1015,2;NO
911002;CARABANCHEL;PASEO MARCELINO CAMACHO, N? 6;437209,502;4470778,852;-3.73976950849533;40.3852371760528;95,9;NO
