Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_54;LATINA;Calle Concejal Francisco JosÈ JimÈnez MartÌn;Punto Limpio Fijo;Calle;de;Concejal Francisco JosÈ JimÈnez MartÌn;5;4.375.677.777;4.472.487.945;-3.7357254;40.400651
CONT_ROP_USA_55;LATINA;Calle Gallur 2;"Centro Deportivo Municipal ""Gallur""";Calle;de;Gallur;2;4.375.519.026;4.472.267.547;-3.7358923;40.398668
CONT_ROP_USA_56;LATINA;Avenida General Fanjul 145;"InstalaciÛn Deportiva B·sica ""Jardines General Fanjul""";Avenida;de;General Fanjul;145;4.337.331.321;4.470.350.676;-3.7806799;40.381104
CONT_ROP_USA_57;LATINA;Calle Fuerte de Navidad 11;"InstalaciÛn Deportiva B·sica ""Fuerte De Navidad""";Calle;de;Fuerte de Navidad;11;4.350.308.185;4.470.334.617;-3.7653999;40.381062
CONT_ROP_USA_58;LATINA;Avenida Nuestra SeÒora de Valvanera 120;Colegio Republica del Uruguay;Avenida;de;Nuestra SeÒora de Valvanera;120;4.370.731.277;4.471.717.229;-3.7414702;40.393678
CONT_ROP_USA_59;CARABANCHEL;Calle Patrimonio de la Humanidad 37.;Centro AtenciÛn Adolescentes Aspa.;Calle;de;Patrimonio de la Humanidad;37;4.351.882.861;4.468.206.567;-3.7633223;40.361905
CONT_ROP_USA_60;CARABANCHEL;Calle Alfonso Fern·ndez 23;"Centro Sociocultural ""Carabanchel Alto""";Calle;de;Alfonso Fern·ndez;23;4.358.776.795;4.468.748.581;-3.7552628;40.366840
CONT_ROP_USA_61;CARABANCHEL;Calle Cidro 5;Punto Limpio Fijo.;Calle;de;Cidro;5;4.366.840.094;4.468.898.799;-3.7457733;40.368253
CONT_ROP_USA_62;CARABANCHEL;Calle Catorce Olivas 1;"Centro Deportivo Municipal ""Francisco Fern·ndez Ochoa"".";Calle;de;Catorce Olivas;1;437.209.478;4.468.563.938;-3.7395571;40.365275
CONT_ROP_USA_63;CARABANCHEL;Antonia Lancha;"Centro De Mayores ""San Vicente Pa˙l""";Calle;de;Antonia Lancha;54;4.386.387.923;4470869.38;-3.7229495;40.386155
