CODIGO;F_INSTALACION;DIRECCION;TIPO DE VALLA;TIPO DE SUELO;N.JUEGOS;AREA;PERIMETRO;DIRECCION AUXLIAR;LOCALIZACION;ACCESO;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;CODNDP;IDENTIFICADOR
1001;01/07/2004;CALLE CONDE DUQUE, Nº 11;VALLA METALICA DE COLOR VERDE;ARENA;4;325,811;75,55;C · CALLE CONDE DUQUE 36 , ASCENDIENTE 1: 015 · U;0;0;CENTRO;UNIVERSIDAD;40.428657;-3.710583;439725,618;4475578,132;31044314;1
1004;01/07/2004;CALLE DUQUE DE OSUNA, Nº 1;VALLA METALICA DE COLORINES;ARENA;5;172,197;54,23;Pza · PLAZA CRISTINO MARTOS , ASCENDIENTE 1: 015;0;0;CENTRO;UNIVERSIDAD;40.425535;-3.711924;439609,003;4475232,519;31037422;2
1005;01/07/2004;PLAZA COMENDADORAS, Nº 7;VALLA METALICA DE COLORINES;CAUCHO COLORINES;5;144,938;54,01;Pza · PLAZA COMENDADORAS , ASCENDIENTE 1: 015 · U;0;VALLA RETRANQUEADA EN ENTRADA;CENTRO;UNIVERSIDAD;40.427214;-3.708997;439858,862;4475416,884;11006379;3
1006;2006-11-21;PLAZA DOS DE MAYO, Nº 5;VALLA DE MADERA COLOR VERDE;ARENA;5;272,304;65,5;Pza · PLAZA DEL DOS DE MAYO 3 , ASCENDIENTE 1: 01;0;0;CENTRO;UNIVERSIDAD;40.427162;-3.704286;440258,415;4475407,928;11006140;4
1007;01/07/2004;PLAZA DOS DE MAYO, Nº 1;VALLA DE MADERA COLOR VERDE;ARENA;8;237,781;71,47;Pza · PLAZA DEL DOS DE MAYO 2 , ASCENDIENTE 1: 01;EN PLAZA;ACCESO CON TRAMEX;CENTRO;UNIVERSIDAD;40.426799;-3.704341;440253,39;4475367,616;11006159;5
1008;01/06/2017;CALLE BARCELO, Nº 2;SIN VALLA;GRAVILLA;6;337,136;76,33;0;EN JARDINES ARQUITECTO RIBERA;0;CENTRO;JUSTICIA;40.425992;-3.699864;440632,458;4475275,059;31035592;8474
1009;20/06/2007;CALLE MARQUES DE LA ENSENADA, Nº 1;VALLA METALICA CON COLORINES;ARENA;7;243,984;62,81;Pza · PLAZA DE LA VILLA DE PARIS , ZONA 1;EN JARDINES DE LA PLAZA DE LA VILLA DE PARIS;0;CENTRO;JUSTICIA;40.425356;-3.692508;441255,898;4475199,543;31052952;6
1010;01/07/2004;PASEO VIRGEN DEL PUERTO, Nº 3;VALLA METALICA VERDE;ARENA;9;391,646;81,36;PARQUE DE ATENAS;EN PARQUE DE ATENAS;0;CENTRO;PALACIO;40.415479;-3.719992;438915,529;4474121,779;31044315;7
1011;01/07/2004;PASEO VIRGEN DEL PUERTO, Nº 3;VALLA METALICA VERDE;ARENA;8;279,66;70,48;PARQUE DE ATENAS;EN PARQUE DE ATENAS;0;CENTRO;PALACIO;40.415229;-3.719275;438976,128;4474093,604;31044315;8
1012;01/07/2004;PASEO VIRGEN DEL PUERTO, Nº 3;SIN VALLA;ARENA;1;143,86;48,46;PARQUE DE ATENAS;EN PARQUE DE ATENAS;0;CENTRO;PALACIO;40.415218;-3.71897;439002,038;4474092,093;31044315;9
1013;01/07/2004;CALLE DUQUE DE OSUNA, Nº 1;VALLA METALICA COLOR VERDE;ARENA;2;113,406;42,96;Pza · PLAZA VAZQUEZ DE MELLA 6 , ASCENDIENTE 1: 0;0;0;CENTRO;UNIVERSIDAD;40.421136;-3.699523;440657,118;4474735,8;31037422;10
1014;01/07/2004;CALLE ALGECIRAS, Nº 4;VALLA DE INFRAESTRUCTURA;ARENA;4;339,2;80,06;C · CALLE DE ALGECIRAS , ASCENDIENTE 1: 011 · PAL;EN JARDINES DE LAS VISTILLAS;0;CENTRO;PALACIO;40.411007;-3.717305;439139,455;4473623,616;11001113;11
1015;0;CALLE SEGOVIA, Nº 23;0;0;7;532,55;86,16;0;0;0;CENTRO;PALACIO;40.413622;-3.714674;439365,045;4473912,038;31028017;12
1016;01/07/2004;CALLE CAPITAN SALAZAR MARTINEZ, Nº 2;VALLA METALICA DE COLOR VERDE;ARENA;7;365,973;90,28;Pza · PLAZA PUERTA DE TOLEDO , ASCENDIENTE 1: 012;0;0;CENTRO;EMBAJADORES;40.407282;-3.71025;439734,712;4473205,287;31009298;13
1017;01/07/2004;RONDA SEGOVIA, Nº 77;VALLA METALICA DE COLOR VERDE;ARENA;6;161,422;58,7;C · CALLE GRAN VIA DE SAN FRANCISCO 9 , ASCENDIEN;EN PARQUE DALIEDA DE SAN FRANCISCO;VALLA RETRANQUEADA EN ENTRADA;CENTRO;PALACIO;40.407969;-3.713184;439486,396;4473283,555;20064572;14
1018;01/07/2004;CALLE VENTOSA, Nº 23;VALLA METALICA DE COLOR VERDE;ARENA;5;261,333;70,52;C · CALLE VENTOSA , ASCENDIENTE 1: 011 · PALACIO;EN PARQUE DALIEDA DE SAN FRANCISCO;VALLA RETRANQUEADA EN ENTRADA;CENTRO;PALACIO;40.408337;-3.714536;439372,047;4473325,281;11001131;15
1019;01/07/2004;CALLE ROSARIO, Nº 6;VALLA METALICA DE COLOR VERDE;ARENA;8;302,166;85,05;PARQUE DE LA CORNISA;EN JARDINES DE LAS VISTILLAS;0;CENTRO;PALACIO;40.409662;-3.715554;439286,809;4473473,128;31004012;16
1020;2007-05-17;CALLE AMPARO, Nº 26;SIN VALLA;CAUCHO LISO COLOR MARRON;4;104,203;46,28;C · CALLE MESON DE PAREDES 46 , ASCENDIENTE 1: 01;0;0;CENTRO;EMBAJADORES;40.409704;-3.703343;440322,981;4473469,411;31050625;17
