mes;año;URL;usuarios;sesiones;núm. visitas a páginas
1;2017;www.madrid.es;1102341;1598899;4178145
2;2017;www.madrid.es;988671;1429850;3898553
3;2017;www.madrid.es;1097925;1611281;4324663
4;2017;www.madrid.es;1057622;1534234;4055608
5;2017;www.madrid.es;1241390;1832678;4767019
6;2017;www.madrid.es;991692;1455545;3757853
7;2017;www.madrid.es;696137;1011550;2468813
8;2017;www.madrid.es;945313;1379877;3428961
9;2017;www.madrid.es;1142309;1714885;4458029
1;2017;sede.madrid.es;125322;211252;720142
2;2017;sede.madrid.es;296618;490041;1667104
3;2017;sede.madrid.es;296886;547255;1852593
4;2017;sede.madrid.es;318323;566909;1846437
5;2017;sede.madrid.es;430574;766318;2420692
6;2017;sede.madrid.es;306909;539170;1691411
7;2017;sede.madrid.es;361542;541152;1683115
8;2017;sede.madrid.es;387939;612448;2538188
9;2017;sede.madrid.es;491608;757046;2452370
2;2017;transparencia.madrid.es;986;1735;6952
3;2017;transparencia.madrid.es;1845;3830;14898
4;2017;transparencia.madrid.es;1759;3978;14129
5;2017;transparencia.madrid.es;2036;4262;15047
6;2017;transparencia.madrid.es;2343;4735;16551
7;2017;transparencia.madrid.es;2376;4223;12944
8;2017;transparencia.madrid.es;3793;4472;15642
9;2017;transparencia.madrid.es;5157;6020;18982
1;2017;datos.madrid.es;3908;6027;15799
2;2017;datos.madrid.es;9838;15250;39923
3;2017;datos.madrid.es;9088;17413;47187
4;2017;datos.madrid.es;7471;14180;36167
5;2017;datos.madrid.es;9156;17442;41509
6;2017;datos.madrid.es;9421;18141;41756
7;2017;datos.madrid.es;9593;16283;36838
8;2017;datos.madrid.es;13357;16341;31691
9;2017;datos.madrid.es;15134;18785;42041
