Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2016;1         ;1;2;114193;6;22;16;8;0;8;587;650;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;ARTICULO 34                                       ;MASCULINO;Salamanca
2016;1         ;1;2;114978;9;16;16;2;0;14;479;708;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DM   2;BALONCESTO                                        ;SENIOR                                            ;MACCABI DE LEVANTAR                               ;MASCULINO;Salamanca
2016;1         ;1;3;112480;9;22;18;4;0;14;764;966;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;YELLOW                                            ;MASCULINO;Salamanca
2016;1         ;1;3;112494;7;26;18;8;0;10;653;750;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;MASAJE ARISCO                                     ;MASCULINO;Salamanca
2016;1         ;1;3;112495;1;35;18;17;0;1;928;673;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;RUFS                                              ;MASCULINO;Salamanca
2016;1         ;1;3;112497;3;29;18;11;0;7;687;674;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;SIXTY NINERS                                      ;MASCULINO;Salamanca
2016;1         ;1;3;112501;5;28;18;10;0;8;733;717;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;FLOPPERS                                          ;MASCULINO;Salamanca
2016;1         ;1;3;112502;6;27;18;9;0;9;754;704;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;ARGONAUTAS                                        ;MASCULINO;Salamanca
2016;1         ;1;3;112505;8;24;18;7;0;11;678;713;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;MANEKE NEKOS                                      ;MASCULINO;Salamanca
2016;1         ;1;3;112774;10;20;18;2;0;16;734;865;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;CINCO LATINOS                                     ;MASCULINO;Salamanca
2016;1         ;1;3;112776;4;28;18;10;0;8;815;757;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;KRIPTOS                                           ;MASCULINO;Salamanca
2016;1         ;1;3;114689;2;30;18;12;0;6;895;822;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-M  DT   3;BALONCESTO                                        ;SENIOR                                            ;PRADOLONGO                                        ;MASCULINO;Salamanca
2016;1         ;1;4;112770;9;20;18;3;0;15;294;525;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;TRAP                                              ;FEMENINO;Salamanca
2016;1         ;1;4;112772;2;33;18;15;0;3;718;495;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;TROMPAS                                           ;FEMENINO;Salamanca
2016;1         ;1;4;112985;6;26;18;8;0;10;470;470;2016/ 2017                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;BC  SENIOR-F  UNICO;BALONCESTO                                        ;SENIOR                                            ;CHICAS DE AZUL                                    ;FEMENINO;Salamanca
