30/09/2017 16:23;389;Avisos y reclamaciones recepcionados en las secciones de bicicleta p˙blica (BiciMAD), seÒalizaciÛn y SER;Transporte;2;930;600;;SEMANAL;10/12/2015 0:00;12/09/2016 0:00;04/10/2017 0:00
30/09/2017 16:23;409;Ayudas y subvenciones;Sector-p˙blico;1;2206;783;CSV-XLS;SEMESTRAL;10/12/2015 0:00;15/07/2016 0:00;07/08/2017 0:00
30/09/2017 16:23;4;Bibliotecas municipales: Cat·logo;Cultura y ocio;1;909;1506;OTROS;MENSUAL;12/03/2014 0:00;13/05/2016 0:00;27/09/2017 0:00
30/09/2017 16:23;2;Bibliotecas Municipales: PrÈstamos Activos;Cultura y ocio;6;2548;1134;CSV;MENSUAL;24/06/2014 0:00;13/08/2016 0:00;13/09/2017 0:00
30/09/2017 16:23;258;Bibliotecas Municipales: PrÈstamos Activos. HistÛrico;Cultura y ocio;24;6891;5981;CSV-TXT;MENSUAL;06/03/2015 0:00;19/05/2016 0:00;13/09/2017 0:00
30/09/2017 16:23;91;Bibliotecas y bibliobuses en la ciudad de Madrid;Cultura y ocio;1;4738;1267;CSV-RDF-XML-GEO;ANUAL;12/03/2014 0:00;06/11/2014 0:00;
30/09/2017 16:23;143;Bici: Aparcabicis;Transporte;1;2371;1625;;SEMESTRAL;15/04/2014 0:00;24/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;144;Bici: ¡Åreas de descanso;Transporte;1;675;1326;CSV-XLS-SHP;SEMESTRAL;15/04/2014 0:00;22/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;146;Bici: Avanza bici;Transporte;1;748;1569;;SEMESTRAL;15/04/2014 0:00;22/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;141;Bici: Calles tranquilas;Urbanismo-infraestructuras ;1;1790;912;CSV-XLS-KML-SHP;SEMESTRAL;15/04/2014 0:00;22/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;224;Bici: Ciclocarriles;Transporte;1;1853;1501;CSV-XLS-KML-SHP;SEMESTRAL;01/07/2014 0:00;22/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;145;Bici: Cruces semaforizados para bici;Transporte;1;513;982;SHP;SEMESTRAL;15/04/2014 0:00;22/06/2015 0:00;05/10/2017 0:00
30/09/2017 16:23;140;Bici: VÌas ciclistas;Transporte;1;2712;1651;CSV-OTROS-XLS-KML-SHP;SEMESTRAL;15/04/2014 0:00;22/06/2015 0:00;30/11/2016 0:00
30/09/2017 16:23;535;BiciMAD. Alta de usuarios y usos por dÌa del servicio p˙blico de bicicleta elÈctrica;Transporte;2;4494;1299;;MENSUAL;16/04/2015 0:00;12/09/2016 0:00;06/10/2017 0:00
30/09/2017 16:23;400;BiciMAD: CuantificaciÛn econÛmica del cumplimiento del nivel del servicio;Transporte;1;572;457;CSV-XLS;TRIMESTRAL;27/10/2015 0:00;05/02/2016 0:00;18/07/2017 0:00
30/09/2017 16:23;16;BoletÌn Oficial del Ayuntamiento;Sector-p˙blico;1;520;9006;;DIARIA;12/03/2014 0:00;;
30/09/2017 16:23;346;Bomberos: Parques de bomberos;Sociedad-bienestar ;1;33678;876;CSV-RDF-XLS-GEO;ANUAL;11/05/2015 0:00;11/05/2015 0:00;
30/09/2017 16:23;511;Calendario laboral;Sector-p˙blico;1;731;159;CSV-TXT-XLS;ANUAL;31/01/2017 0:00;31/01/2017 0:00;02/02/2017 0:00
30/09/2017 16:23;583;Calidad de las aguas regeneradas;Medio-ambiente;0;45;0;CSV-XLSX;TRIMESTRAL;16/08/2017 0:00;16/08/2017 0:00;16/08/2017 0:00
