CODIGO;DIRECCION;N_ELEMENTOS;TIPO DE AREA;TIPO DE SUELO;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;IDENTIFICADOR;CODNDP
416009;CALLE BACARES, Nº 22;4;MARQUESINAS;ARENA;288,508;69,19;CALLE BACARES, N? 22;HORTALEZA;APOSTOL SANTIAGO;40.477092;-3.661975;443889,005;4480922,396;6697;31041741
417001;CALLE FRANCISCO UMBRAL, Nº 41;5;POSTES;ARENA;198,129;53,36;CALLE FRANCISCO UMBRAL, N? 41;HORTALEZA;VALDEFUENTES;40.480128;-3.626561;446893,242;4481237,499;5689;31042729
417002;CALLE MORERUELA, Nº 45;5;POSTES;ARENA;284,084;70,64;CALLE MORERUELA, N? 45;HORTALEZA;VALDEFUENTES;40.483532;-3.631583;446470,297;4481618,338;9850;20085886
417003;PLAZA PINAZO, Nº 9;6;MARQUESINAS;SOLADO;0;0;PLAZA PINAZO, N? 9;VILLAVERDE;SAN CRISTOBAL;40.342574;-3.691393;441278,648;4466010,108;6018;11126203
417004;CALLE LA DEL MANOJO DE ROSAS, Nº 69;5;MARQUESINAS;ARENA;150,437;49,42;PARQUE DE CIUDAD DE LOS ANGELES;VILLAVERDE;LOS ANGELES;40.354744;-3.696534;440852,646;4467364,323;9387;31037735
417005;CALLE BURJASOT, Nº 1;9;MARQUESINAS;ARENA;0;0;PARQUE DEHESA BOYAL;VILLAVERDE;SAN CRISTOBAL;40.346299;-3.685402;441790,691;4466419,624;6050;31041863
417006;CALLE SAN LUCIANO, Nº 11;7;MARQUESINAS;ARENA;319,045;73,48;CALLE SAN LUCIANO, N? 11;VILLAVERDE;LOS ANGELES;40.363369;-3.697943;440740,52;4468322,608;9397;31010316
417007;CALLE SANTIAGO AMON, Nº 2;3;MARQUESINAS;ARENA;200,85;55,67;PARQUE DEL CRUCE;VILLAVERDE;LOS ANGELES;40.350625;-3.693841;441077,771;4466905,388;8979;20047449
417008;CALLE GODELLA, Nº 102;1;0;0;0;0;CALLE GODELLA, N? 102;VILLAVERDE;SAN CRISTOBAL;40.340893;-3.688697;441506,169;4465821,66;11027;31010268
417009;PASEO ALBERTO PALACIOS, Nº 1;2;CONJUNTO;SOLADO;0;0;PASEO ALBERTO PALACIOS, N? 1;VILLAVERDE;SAN ANDRÉS;40.346363;-3.709341;439757,683;4466442,68;9618;11124172
417010;CALLE UNANIMIDAD, Nº 23;3;CONJUNTO MULTIPLE;ARENA;304,865;67,97;PARQUE DEL ESPINILLO;VILLAVERDE;LOS ROSALES;40.360684;-3.684884;441847,002;4468015,999;7394;20062129
418002;CALLE VIRGEN DE LAS VIÑAS, Nº 22;2;CONJUNTO MULTIPLE;ARENA;54,528;29,73;CALLE VIRGEN DE LAS VIÑAS, N? 22;VILLA DE VALLECAS;SANTA EUGENIA;40.380902;-3.609143;448293,678;4470213,102;9580;31045492
418003;CALLE BABILAFUENTE, Nº 2;5;CONJUNTO;ARENA;77,75;35,1;CALLE BABILAFUENTE, N? 2;VILLA DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;40.372526;-3.624454;446987,407;4469292,395;8727;20170570
419001;CALLE MONTE DE MONTJUICH, Nº 9;6;MARQUESINAS;ARENA;353,723;108,92;CALLE MONTE DE MONTJUICH, N? 9;VILLA DE VALLECAS;SANTA EUGENIA;40.380665;-3.616299;447686,043;4470191,017;9587;20142445
419002;CALLE VILLABLANCA, Nº 1;1;CONJUNTO MULTIPLE;ARENA;98,19;40,3;PARQUE DE LA VICALVARADA;VICALVARO;AMBROZ;40.409665;-3.60884;448341,383;4473405,559;3542;20002424
419003;CALLE TREN DE ARGANDA, Nº 9;6;MARQUESINAS;SOLADO;231,646;67,7;CALLE TREN DE ARGANDA, N? 9;VICALVARO;CASCO HISTÓRICO DE VICÁLVARO;40.403495;-3.617251;447622,871;4472725,609;4607;20107794
420001;CALLE NECTAR, Nº 32;3;CONJUNTO;ARENA;165,669;49,16;CALLE NECTAR, N? 32;SAN BLAS - CANILLEJAS;CANILLEJAS;40.442174;-3.610728;448206,078;4477015,153;4901;31016901
420001;CALLE EZCARAY, Nº 76;3;0;0;165,669;49,16;CALLE EZCARAY, N? 76;VICALVARO;AMBROZ;40.412372;-3.613375;447958,638;4473708,672;11030;11133409
420002;PLAZA CEFIRO, Nº 2;3;CONJUNTO;ARENA;207,545;60,48;PLAZA CEFIRO, N? 2;SAN BLAS - CANILLEJAS;CANILLEJAS;40.448519;-3.608;448442,275;4477717,891;9858;11137168
420005;CALLE ALBAIDA, Nº 3;4;CONJUNTO MULTIPLE;ARENA;112,222;46,97;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;HELLÍN;40.431858;-3.620282;447387,828;4475875,696;3526;31045409
420006;AVENIDA SEXTA, Nº 4;5;POSTES;ARENA;88,013;43,42;PASO INFERIOR CARRIL BICI - A2;SAN BLAS - CANILLEJAS;REJAS;40.449279;-3.597144;449363,421;4477795,962;9938;31010275
420007;PLAZA GRECIA, Nº 3;1;CONJUNTO MULTIPLE;ARENA;73,517;34,26;PLAZA GRECIA, N? 3;SAN BLAS - CANILLEJAS;ROSAS;40.436082;-3.607311;448491,252;4476336,907;4921;20097009
420008;CALLE MARIA SEVILLA DIAGO, Nº 2;5;0;0;110,528;43,21;CALLE MARIA SEVILLA DIAGO, N? 2;SAN BLAS - CANILLEJAS;ROSAS;40.432534;-3.611416;448140,321;4475945,563;9763;20075799
420009;CALLE LUCANO, Nº 29;5;CONJUNTO MULTIPLE;SOLADO;275,387;67,23;CALLE LUCANO, N? 29;SAN BLAS - CANILLEJAS;CANILLEJAS;40.439229;-3.610201;448248,549;4476687,981;4919;11137656
420010;CALLE NAVARIDAS, Nº 11;8;PEDALES;ARENA;851,616;130,95;CALLE NAVARIDAS, N? 11;SAN BLAS - CANILLEJAS;REJAS;40.442378;-3.581594;450677,029;4477021,098;4949;20090546
420011;AVENIDA CANILLEJAS A VICALVARO, Nº 135;7;CONJUNTO;SOLADO;125,763;46,24;AVENIDA CANILLEJAS A VICALVARO, N? 135;SAN BLAS - CANILLEJAS;ROSAS;40.426493;-3.610396;448222,256;4475274,374;9666;20145332
421001;PASEO GINEBRA, Nº 20;7;ARENA;POSTES;326,438;74,15;PARQUE PASEO DE GINEBRA;SAN BLAS - CANILLEJAS;ROSAS;40.423302;-3.602567;448883,924;4474915,582;9517;31049541
421002;CALLE AYERBE, Nº 12;4;MARQUESINAS;ARENA;83,665;36,42;EN ZONA PARQUE;BARAJAS;CASCO HISTÓRICO DE BARAJAS;40.468351;-3.580727;450769,524;4479903,686;4873;11140553
421003;CALLE BAHIA DE SANTOÑA, Nº 6;2;CONJUNTO;ARENA;122,621;44,25;C · CALLE CARABELA(JUNTO CENTRO SALUD ALAMEDA DE;BARAJAS;CORRALEJOS;40.465949;-3.589778;450000,463;4479642,119;9952;31008417
421004;CALLE CARABELA, Nº 7;5;CONJUNTO MULTIPLE;SOLADO;0;0;CALLE CARABELA, N? 7;BARAJAS;ALAMEDA DE OSUNA;40.455161;-3.58711;450218,624;4478443,169;4825;20107539
421004;CALLE NORAY, Nº 3;5;0;0;0;0;PASO INFERIOR CARRIL BICI - A2;BARAJAS;ALAMEDA DE OSUNA;40.450876;-3.596762;449397,026;4477972,936;11035;20047389
421005;CALLE PRADOLUENGO, Nº 123;1;0;0;0;0;CALLE PRADOLUENGO, N? 123;BARAJAS;AEROPUERTO;40.451065;-3.583397;450530,512;4477986,43;11023;11140190
421006;CALLE ALAS, Nº 2;4;MARQUESINAS;ARENA;77,852;40,8;CALLE ALAS, N? 2;BARAJAS;TIMÓN;40.47197;-3.58499;450410,744;4480307,74;7256;11141161
421007;CALLE ACUARIO, Nº 27;3;POSTES;ARENA;77,852;40,8;CALLE ACUARIO, N? 27;BARAJAS;CASCO HISTÓRICO DE BARAJAS;40.474591;-3.579973;450838,002;4480595,854;7505;11140825
491001;CALLE GENERAL RICARDOS, Nº 126;3;SOLO PEDALES;SOLADO;0;0;CALLE GENERAL RICARDOS, N? 126;CARABANCHEL;SAN ISIDRO;40.391786;-3.727177;438284,287;4471496,94;4217;31028689
491002;CALLE ALCOCER, Nº 26;4;MARQUESINAS;AREANA;129,48;46,23;CALLE ALCOCER, N? 26;VILLAVERDE;LOS ANGELES;40.350088;-3.698149;440711,4;4466848,606;9617;31002165
491003;CALLE PAN Y TOROS, Nº 24;5;MARQUESINAS;SOLADO;38,213;26,83;CALLE PAN Y TOROS, N? 24;VILLAVERDE;LOS ANGELES;40.359251;-3.694885;440996,635;4467863,462;9012;11128949
491004;CALLE ALCARRIA, Nº 8;2;CONJUNTO MULTIPLE;ARENA;193,85;53,58;CALLE ALCARRIA, N? 8;VILLAVERDE;LOS ANGELES;40.348557;-3.694307;441036,407;4466676,121;8983;11128195
491005;CALLE LA CANCION DEL OLVIDO, Nº 20;8;POSTES;ARENA;142,866;50,31;CALLE LA CANCION DEL OLVIDO, N? 20;VILLAVERDE;LOS ANGELES;40.361514;-3.700151;440551,435;4468118,277;9412;31009925
491006;CALLE LA DEL MANOJO DE ROSAS, Nº 96;5;POSTES;SOLADO;86,846;38,55;CALLE LA DEL MANOJO DE ROSAS, N? 96;VILLAVERDE;LOS ANGELES;40.354566;-3.698786;440661,223;4467346,106;9369;11128593
