CODIGO;DIRECCION;N_ELEMENTOS;TIPO DE AREA;TIPO DE SUELO;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX_ETRS89;UTMY_ETRS89;IDENTIFICADOR;CODNDP
409003;CALLE CAROLI, Nº 4;1;0;0;0;0;CALLE CAROLI, N? 4;MONCLOA - ARAVACA;ARAVACA;40.458979;-3.785059;433438,07;4478997,307;11034;11056909
409006;CALLE VALDERREY, Nº 52;2;CONUNTO;ARENA;80,805;36,27;CALLE VALDERREY, N? 52;MONCLOA - ARAVACA;VALDEZARZA;40.466528;-3.718566;439082,586;4479787,249;10108;31045356
409007;CALLE ALCALDE MARTIN DE ALZAGA, Nº 19;5;MARQUESINAS;ARENA;83,073;36,56;CALLE ALCALDE MARTIN DE ALZAGA, N? 19;MONCLOA - ARAVACA;VALDEZARZA;40.463178;-3.716549;439250,597;4479413,985;9315;31001534
409008;CALLE ESCULTOR PERESEJO, Nº 70;1;0;0;0;0;CALLE ESCULTOR PERESEJO, N? 70;MONCLOA - ARAVACA;ARAVACA;40.453654;-3.790036;433010,82;4478409,981;11032;20063785
409009;CALLE VIRGEN DE LOS ROSALES, Nº 102;1;0;0;226,693;61,17;CALLE VIRGEN DE LOS ROSALES, N? 102;MONCLOA - ARAVACA;ARAVACA;40.453343;-3.78302;433605,427;4478370,173;11033;20102242
409011;CALLE VALDERREY, Nº 40;4;MARQUESINAS;ARENA;73,548;38,55;CALLE VALDERREY, N? 40;MONCLOA - ARAVACA;VALDEZARZA;40.467487;-3.720136;438950,381;4479894,821;3763;11054879
409012;CALLE VALDERROMAN, Nº 24;2;PEDALES;ARENA;43,023;31,42;CALLE VALDERROMAN, N? 24;MONCLOA - ARAVACA;VALDEZARZA;40.470438;-3.721022;438877,989;4480223,033;10116;31050681
409999;CALLE ANICETO MARINAS, Nº 98;3;MARQUESINAS;CAUCHO;81,154;37,32;CALLE ANICETO MARINAS, N? 98;MONCLOA - ARAVACA;CASA DE CAMPO;40.428215;-3.730631;438024,647;4475542,972;3062;31033213
410001;CALLE QUERO, Nº 59;7;MARQUESINAS;ARENA;110,793;43,05;PARQUE ALUCHE;LATINA;ALUCHE;40.390653;-3.759897;435506,297;4471394,499;3243;11065361
410002;CALLE MARCELINO CASTILLO, Nº 29;7;MARQUESINAS;ARENA;61,637;31,84;PARQUE CERRO ALMODOVAR;LATINA;ALUCHE;40.393239;-3.745828;436702,716;4471671,349;9869;31041698
410003;CALLE CARAMUEL, Nº 53;7;MARQUESINAS;ARENA;87,983;37,84;PARQUE CARAMUEL;LATINA;PUERTA DEL ANGEL;40.408204;-3.729008;438143,945;4473320,543;9888;31041297
410004;CALLE CASTROSERNA, Nº 4;3;CONJUNTO MULTIPLE;SOLADO;180,365;53,86;CALLE CASTROSERNA, N? 4;LATINA;LUCERO;40.401666;-3.749247;436420,498;4472609,206;7122;31017760
410005;AVENIDA LAS AGUILAS, Nº 110;3;CONJUNTO MULTIPLE;ARENA;112,964;42,87;AVENIDA LAS AGUILAS, N? 110;LATINA;AGUILAS;40.381493;-3.778778;433894,854;4470391,682;5248;31045343
410007;AVENIDA PADRE PIQUER, Nº 23;4;0;0;72,063;47,72;AVENIDA PADRE PIQUER, N? 23;LATINA;ALUCHE;40.392352;-3.767085;434897,822;4471588,39;10035;11065608
410008;CALLE VALMOJADO, Nº 12;5;MARQUESINAS;ARENA;62,457;31,65;PARQUE ALUCHE;LATINA;ALUCHE;40.390283;-3.759007;435581,427;4471352,724;3244;31044416
410009;PLAZA CUACOS DE YUSTE, Nº 1;3;MARQUESINAS;SOLADO;109,798;45,32;PLAZA CUACOS DE YUSTE, N? 1;LATINA;AGUILAS;40.378329;-3.780714;433727,403;4470041,966;7823;20052437
410010;CALLE RAFAEL FINAT, Nº 44;1;0;0;0;0;CALLE RAFAEL FINAT, N? 44;LATINA;AGUILAS;40.37936;-3.770929;434558,984;4470149,042;11029;31035960
411001;CALLE ANTONIO DE LEYVA, Nº 35;3;MARQUESINAS;ARENA;106,466;41,33;CALLE ANTONIO DE LEYVA, N? 35;CARABANCHEL;COMILLAS;40.392251;-3.714617;439350,71;4471539,868;8101;31044608
411002;CALLE VIA LUSITANA, Nº 19;4;MARQUESINAS;ARENA;229,346;61,56;PARQUE EMPERATRIZ MARIA DE AUSTRIA;CARABANCHEL;ABRANTES;40.376863;-3.726489;438329,091;4469839,988;8254;20024802
411003;CALLE PARQUE EUGENIA DE MONTIJO, Nº 1;5;MARQUESINAS;ARENA;131,286;45,2;PARQUE EUGENIA DE MONTIJO;CARABANCHEL;VISTA ALEGRE;40.378926;-3.754293;435970,804;4470088,739;2868;31044609
411004;CALLE PORTALEGRE, Nº 73;5;MARQUESINAS;ARENA;97,347;44,15;CALLE PORTALEGRE, N? 73;CARABANCHEL;OPAÑEL;40.38576;-3.723105;438624,435;4470825,174;3613;11070164
411005;CALLE CARONTE, Nº 16;7;MARQUESINAS;ARENA;0;0;CALLE CARONTE, N? 16;CARABANCHEL;SAN ISIDRO;40.397429;-3.725521;438430,0026;4472122,127;4198;31014178
411006;CALLE NUESTRA SEÑORA DE LA LUZ, Nº 9;3;CONJUNTO;ARENA;0;0;CALLE NUESTRA SEÑORA DE LA LUZ, N? 9;CARABANCHEL;VISTA ALEGRE;40.382744;-3.742658;436962;4470504,204;2950;20168099
411007;PLAZA CANTORIA, Nº 1;4;MARQUESINAS;ARENA;53,433;40,12;PLAZA CANTORIA, N? 1;CARABANCHEL;OPAÑEL;40.392685;-3.722787;438657,726;4471593,584;10079;20021306
411008;CALLE PARQUE EUGENIA DE MONTIJO, Nº 42;2;0;0;0;0;PARQUE EUGENIA DE MONTIJO, N? 42;CARABANCHEL;VISTA ALEGRE;40.379394;-3.751497;436208,559;4470138,643;2892;11074955
411009;CALLE GENERAL RICARDOS, Nº 155;5;0;0;0;0;CALLE GENERAL RICARDOS, N? 155;CARABANCHEL;OPAÑEL;40.38823;-3.731388;437923,6811;4471105,114;11028;31028659
411010;AVENIDA NUESTRA SEÑORA DE VALVANERA, Nº 117;4;PEDALES;SOLADO;724,916;107,99;AVENIDA NUESTRA SEÑORA DE VALVANERA, N? 117;CARABANCHEL;VISTA ALEGRE;40.392487;-3.740672;437139,645;4471584,165;9863;11074192
411011;CALLE VIA LUSITANA, Nº 1;6;MARQUESINAS;ARENA;194,696;55,25;PARQUE EMPERATRIZ MARIA DE AUSTRIA;CARABANCHEL;ABRANTES;40.382536;-3.720394;438851,654;4470465,444;4090;11078650
411012;CALLE MONSEÑOR OSCAR ROMERO, Nº 77;7;0;0;0;0;PARQUE EUGENIA DE MONTIJO;CARABANCHEL;VISTA ALEGRE;40.382037;-3.750512;436294,699;4470431,28;2925;31050695
412001;AVENIDA RAFAELA YBARRA, Nº 43;5;MARQUESINAS;ARENA;265,422;65,43;AVENIDA RAFAELA YBARRA, N? 43;USERA;PRADOLONGO;40.381648;-3.710901;439656,666;4470360,329;8176;31012599
412002;CALLE DOCTOR TOLOSA LATOUR, Nº 18;5;MARQUESINAS;ARENA;96,14;57,13;PARQUE DE PRADOLONGO;USERA;PRADOLONGO;40.372537;-3.703192;440302,976;4469343,85;3240;31045432
412002;AVENIDA POBLADOS, Nº 169;5;MARQUESINAS;ARENA;96,14;57,13;PARQUE DE PRADOLONGO;USERA;PRADOLONGO;40.371908;-3.703943;440238,63;4469274,557;3241;31007159
412003;CALLE EVANGELIOS, Nº 2;4;MARQUESINAS;SOLADO;412,597;81,19;CALLE EVANGELIOS, N? 2;USERA;ALMENDRALES;40.383467;-3.700288;440559,092;4470555,048;6360;31004718
412004;CALLE CERECINOS, Nº 2;3;MARQUESINAS;CAUCHO;27,877;23,08;CALLE CERECINOS, N? 2;USERA;ZOFÍO;40.384689;-3.713141;439469,224;4470699,477;2503;11085135
412005;CALLE ANTONIO LOPEZ, Nº 237;4;MARQUESINAS;SOLADO;256,604;64,08;MEDIANA  DE DOCTOR TOLOSA LATOUR;USERA;ORCASUR;40.380252;-3.695957;440923,915;4470195,345;6355;11080894
412006;CALLE CESTONA, Nº 84;5;MARQUESINAS;ARENA;213,988;65,13;CALLE CESTONA, N? 84;USERA;ORCASITAS;40.37214;-3.71319;439453,802;4469306,596;7760;11080557
412007;CALLE SEGURA, Nº 3;7;CONJUNTO MULTIPLE;ARENA;104,517;43,93;PARQUE C. MAYORES ARTURO PAJUELO;USERA;ORCASITAS;40.367343;-3.715705;439236,002;4468775,796;7730;20094347
412008;CALLE EXPROPIACION, Nº 3;4;POSTES;ARENA;245,584;62,64;CALLE EXPROPIACION, N? 3;USERA;ORCASITAS;40.369814;-3.704534;440186,665;4469042,446;4534;31055824
412009;CALLE GRAN AVENIDA, Nº 18;1;0;0;0;0;CALLE GRAN AVENIDA, N? 18;USERA;ORCASITAS;40.368829;-3.708715;439830,8131;4468936,023;12218;11080754
