"dc:date";"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:cierre";"lpgc:estado";"lpgc:tematica"
"2013-04-04T08:39:12.126Z";"191";"2015-01-30 10:15:19";"28.133137";"-15.439924";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/191";"Corregido";"Cerrado";"Papeleras y contenedores / Estropeada"
"2013-04-04T14:42:30.283Z";"190";"2015-01-30 10:15:19";"28.074302";"-15.422444";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/190";"Corregido";"Cerrado";"Aceras y calzadas / Socavón"
"2013-04-03T09:39:31.267Z";"189";"2015-01-30 10:15:19";"28.091465";"-15.415375";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/189";"Corregido";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-04-08T06:46:17.195Z";"188";"2015-01-30 10:15:19";"28.092095";"-15.414912";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/188";"Corregido";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-05-06T10:27:03.733Z";"187";"2015-01-30 10:15:19";"28.094274";"-15.413438";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/187";"Corregido";"Cerrado";"Aceras y calzadas / Bache"
"2013-04-03T06:23:28.113Z";"186";"2015-01-30 10:15:19";"28.113774";"-15.438081";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/186";"Corregido";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-04-02T12:49:20.422Z";"185";"2015-01-30 10:15:19";"28.143338";"-15.431577";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/185";"Nada que corregir";"Cerrado";"Pivotes y bolardos / Estropeado"
"2013-04-03T06:24:43.978Z";"184";"2015-01-30 10:15:19";"28.090505";"-15.48025";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/184";"Corregido";"Cerrado";"Farolas e iluminación / Estropeada"
"2013-04-05T12:15:19.306Z";"183";"2015-01-30 10:15:19";"28.063374";"-15.452856";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/183";"Corregido";"Cerrado";"Papeleras y contenedores / Estropeada"
"2013-04-01T11:06:46.474Z";"182";"2015-01-30 10:15:19";"28.1111077";"-15.4192202";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/182";"Corregido";"Cerrado";"Aceras y calzadas / Falta de limpieza"
"2013-04-01T11:08:44.235Z";"181";"2015-01-30 10:15:19";"28.1111077";"-15.4192202";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/181";"Corregido";"Cerrado";"Papeleras y contenedores / Estropeada"
"2013-04-01T20:46:58.926Z";"180";"2015-01-30 10:15:19";"28.113863";"-15.433205";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/180";"No se puede corregir";"Cerrado";"Arboles y jardines / Falta de limpieza"
"2013-04-02T12:43:39.989Z";"179";"2015-01-30 10:15:19";"28.103936";"-15.429935";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/179";"Corregido";"Cerrado";"Aceras y calzadas / Falta de limpieza"
"2013-04-01T07:18:48.303Z";"178";"2015-01-30 10:15:19";"28.111877";"-15.422352";"http://datosabiertos.laspalmasgc.es/api/datos/lpa_avisa_cerrados_2013/178";"Nada que corregir";"Cerrado";"Bancos / Desaparecido"
