"Proyecto/Centro","Taller","Plazas","Curso"
"UP LA ISLETA","Cultura canaria",20,"2013/2014"
"UP LOMO BLANCO","Dibujo y pintura a",15,"2013/2014"
"UP LOMO BLANCO","Dibujo y pintura b",15,"2013/2014"
"UP LOMO BLANCO","Acuarela",15,"2013/2014"
"UP LOMO BLANCO","Guitarra (avanzado) a",14,"2013/2014"
"UP LOMO BLANCO","Guitarra (avanzado) a",14,"2013/2014"
"UP LOMO BLANCO","Bandurria y laúd",14,"2013/2014"
"UP LOMO BLANCO","Diseño y moda (avanzado)",15,"2013/2014"
"UP LOMO BLANCO","Diseño y moda (básico)",16,"2013/2014"
"UP LOMO BLANCO","Proyecto diseño y moda",20,"2013/2014"
"UP LOMO BLANCO","Cerámica artística a",15,"2013/2014"
"UP LOMO BLANCO","Cerámica artística b",15,"2013/2014"
"UP TAMARACEITE","Dibujo artístico a",12,"2013/2014"
"UP TAMARACEITE","Dibujo artístico b",12,"2013/2014"
"UP TAMARACEITE","Dibujo artístico c",12,"2013/2014"
"UP TAMARACEITE","Patchwork (básico) a",15,"2013/2014"
"UP TAMARACEITE","Patchwork (avanzado)",16,"2013/2014"
"UP TAMARACEITE","Patchwork (básico) b",15,"2013/2014"
"UP TAMARACEITE","Guitarra (básico)",15,"2013/2014"
"UP TAMARACEITE","Guitarra (avanzado)",14,"2013/2014"
"UP TAMARACEITE","Proyecto agrupación musical",25,"2013/2014"
"UP TAMARACEITE","Teatro (avanzado)",15,"2013/2014"
"UP TAMARACEITE","Estudio teatro",15,"2013/2014"
"EDUCARTE ARENALES","INGLÉS (INICIACIÓN)",20,11,"2014/2015"
"EDUCARTE ARENALES","GUITARRA",20,9,"2014/2015"
"EDUCARTE ARENALES","PINTURA",11,11,"2014/2015"
"EDUCARTE ARENALES","PINTURA",11,12,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INICIACIÓN)",18,16,"2014/2015"
"EDUCARTE ARENALES","CORTE Y CONFECCIÓN (INTERMEDIO)",18,9,"2014/2015"
