nombre,coordenadaX,coordenadaY
EL LASSO,28.076659098913908,-15.425601303577423
PEDRO HIDALGO ,28.072406300846435,-15.419536828994751
PEDRO HIDALGO II ,28.06825037114362,-15.427969694137573
PLAZA DE POPA ,28.075643838548185,-15.414687395095825
EL BATÁN,28.094148942373796,-15.428704619407654
MANUEL DE FALLA,28.096164906784743,-15.446122884750366
PLAZA DE EMILIO ZOLA ,28.13701787994683,-15.433988571166992
TRES PALMAS,28.069004177844647,-15.423761308193207
EMILIO ARRIETA,28.092842804372836,-15.450446605682373
SANSOFÉ ,28.103769389408363,-15.440656542778015
PEDRO INFINITO,28.10611640152543,-15.438580513000488
BARRANQUILLO DON ZOILO,28.116894963011212,-15.4310542345047
HOSTELERÍA,28.114231178748465,-15.446120202541351
PARQUE HERMANOS MILLARES,28.11627042272815,-15.43727159500122
GUILLERMO SANTANA RIVERO,28.10769208851358,-15.444808602333069
LAS TORRES BAJAS,28.111690349510845,-15.454668402671814
LAS MAJADILLAS,28.108293020097214,-15.4632568359375
COSTA AYALA,28.13545918078218,-15.480825304985046
EL FONDILLO,28.060214960120547,-15.454193651676178
PARQUE DE CASABLANCA I ,28.07378841952071,-15.419756770133972
PLAZA DE MIGUEL ANGEL BLANCO,28.066411391948954,-15.419418811798096
EL LASSO II,28.074659334483755,-15.427830219268799
PARQUE GLORIA FUERTES,28.093194185452077,-15.444037467241287
JARDINES DE CASABLANCA III,28.095119070819344,-15.441627502441406
LOMO APOLINARIO,28.09502915684429,-15.439224243164062
CASABLANCA II,28.116454946372194,-15.420770645141602
PARQUE DE LA MÚSICA ,28.11366103515414,-15.418368726968765
PLAYA DE LAS ALCARAVANERAS,28.13247535577875,-15.42930543422699
PLAZA RAFAEL O´SHANAHAN,28.118394791106738,-15.42580783367157
PLAZA ALCALDE MEJIAS POMBO,28.128827951484457,-15.431818664073944
JUAN DEL RÍO AYALA,28.13067177481275,-15.437260866165161
PLAYA DE LAS CANTERAS,28.146350678499587,-15.430610328912735
PARQUE SANTA CATALINA,28.141164051247568,-15.430262982845306
