"name","number","Street_Code","Street","Company","places","places_rotation","places_residency","finished","opening_date","municipal","photo1","photo2","map","Latitud","longitud"
"APARCAMIENTO INTERMODAL DEL RINCÓN",0,1317,"CTRA DEL RINCON","Sagulpa",802,802,0,1,16/09/2014,1,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/intermodalRincon.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/intermodalRincon2.jpg","https://www.google.es/maps/dir/28.1288446,-15.4518534/@28.1286277,-15.4514383,179m/data=!3m1!1e3!4m4!4m3!1m0!1m0!3e2?hl=es",28.1288446,-15.4518534
"PEDRO INFINITO",0,19,"AGUSTINA DE ARAGON","Comunidad de propietarios de aparcamientos Santa Luisa de Marillac s/n",268,268,0,1,17/02/2010,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Agustina1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Agustina2.jpg","http://maps.google.es/?ie=UTF8&ll=28.109448,-15.430754&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.109448,-15.430754
"CALLE ALICANTE (VEGA DE SAN JOSE)",0,2382,"ALICANTE","Sagulpa",325,325,0,1,01/06/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Alicante1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Alicante2.jpg","http://maps.google.es/?ie=UTF8&ll=28.087774,-15.415884&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.087774,-15.415884
"Aparcamientos VEGUETA",0,332,"DOMINGO DORESTE","Entidad Privada",365,365,0,1,02/06/2003,1,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_AparcamientosVegueta1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_AparcamientosVegueta2.jpg","https://www.google.es/maps/@28.0983523,-15.4123389,3a,75y,60.03h,81.29t/data=!3m4!1e1!3m2!1s7eYg7-Kz6_gf4-eiCgSSwg!2e0?hl=es",28.0983523,-15.4123389
"AUDITORIO ALFREDO KRAUSS",0,3495,"PARQUE DE LA MUSICA","Yudaya S.L",400,400,0,1,14/03/2003,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Auditorio1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Auditorio2.jpg","https://www.google.es/maps/@28.1289922,-15.4502437,3a,75y,337.2h,94.3t/data=!3m4!1e1!3m2!1s95OlHnD_84gx6qBWEPnlzA!2e0?hl=es",28.1289922,-15.4502437
"CARVAJAL",0,212,"CARVAJAL","Gestión de aparcamientos 2002 S.L.",230,103,127,1,13/08/2004,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Carvajal1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Carvajal2.jpg","http://maps.google.es/?ie=UTF8&ll=28.117898,-15.420181&spn=0.002673,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.117898,-15.420181
"CASABLANCA I",0,1883,"JUAN SEBASTIAN BACH","Asociación de Vecinos Los Remedios de Casablanca I",138,0,138,1,12/05/2001,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_CasaBlanca1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_CasaBlanca2.jpg","http://maps.google.es/?ie=UTF8&ll=28.075066,-15.417718&spn=0.002674,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.075066,-15.417718
"CASABLANCA III",0,2650,"ACONCAGUA","Comunidad de propietarios de aparcamientos calle Aconcagua s/n",341,115,226,1,17/02/2010,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_CasablancaIII1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_CasablancaIII2.jpg","http://maps.google.es/?ie=UTF8&ll=28.091731,-15.442759&spn=0.002683,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.091731,-15.442759
"SECRETARIO PADILLA",0,970,"SECRETARIO PADILLA","Aparcamiento Islas Canarias S.L.",330,215,115,1,01/07/1995,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Churruca1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Churruca2.jpg","http://maps.google.es/?ie=UTF8&ll=28.133889,-15.439761&spn=0.002682,0.005847&t=h&z=18&om=1&output=embed&s=AARTsJqzARj-Z8VnW5pkPMLMmZbqrJcYpw",28.133889,-15.439761
"PLAZA DE JUAN DEL RIO AYALA",0,1517,"JESUS FERRER JIMENO","Lopesan Asfaltos y Construcciones S.A",469,469,0,1,02/12/2009,0,"http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Daoiz1.jpg","http://datosabiertos.laspalmasgc.es/repositorio/sagulpa/images/aparcamientos/tn_Daoiz2.jpg","http://maps.google.es/maps/ms?msa=0&msid=202124473206251985882.0004bb83a6989d4b32296&ie=UTF8&t=h&ll=28.131422,-15.437668&spn=0,0&output=embed",28.131422,-15.437668
