"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"4391";"2017-08-13 04:01:14";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4391";"MARZAGAN";"DE";"CTRA";"4391"
"4389";"2017-08-13 04:01:14";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4389";"MARZAGAN";"DE";"CTRA";"4389"
"6768";"2017-09-24 03:29:02";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6768";"VANGUARDIAS";"DE LAS";"PLAZA";"6768"
"7426";"2017-10-15 03:13:34";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/7426";"JOAQUÍN CASARIEGO RAMIREZ";"";"RTDA";"7426"
"3675";"2017-10-08 03:48:45";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3675";"CUEVA DE LOS CANARIOS";" ";"CALLE";"3675"
"3678";"2017-10-08 03:48:45";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3678";"MELIAN";" ";"CALLE";"3678"
"3663";"2017-10-08 03:49:05";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3663";"GUANCHES";"LOS";"CALLE";"3663"
"639";"2017-10-08 03:47:46";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/639";"MATANZA";"LA";"LUGAR";"639"
"5675";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5675";"LINDOS";" ";"PZTA";"5675"
"2843";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2843";"SAN FRANCISCO";" ";"CALLE";"2843"
"4655";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4655";"NILO";" ";"TRAS";"4655"
"2849";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2849";"JOSE C QUINTANA SANCHEZ, PARR";" ";"CALLE";"2849"
"2848";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2848";"JOSE C QUINTANA SANCHEZ, PARR";" ";"CALLE";"2848"
"2812";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2812";"TIMIMI";" ";"CALLE";"2812"
"2856";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2856";"CASTOR GOMEZ NAVARRO";" ";"CALLE";"2856"
"2852";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2852";"CASTOR GOMEZ NAVARRO";" ";"CALLE";"2852"
"2859";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2859";"FOLIAS";" ";"CALLE";"2859"
"2858";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2858";"FOLIAS";" ";"CALLE";"2858"
"2857";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2857";"FOLIAS";" ";"CALLE";"2857"
"2851";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2851";"FOLIAS";" ";"CALLE";"2851"
"2863";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2863";"ISAS";" ";"CALLE";"2863"
"2862";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2862";"ISAS";" ";"CALLE";"2862"
"2861";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2861";"ISAS";" ";"CALLE";"2861"
"2868";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2868";"ISAS";" ";"CALLE";"2868"
"2874";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2874";"MAZURCA";" ";"CALLE";"2874"
"2873";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2873";"MAZURCA";" ";"CALLE";"2873"
"2878";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2878";"MASEQUERA";" ";"CALLE";"2878"
"2876";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2876";"MASEQUERA";" ";"CALLE";"2876"
"2875";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2875";"MASEQUERA";" ";"CALLE";"2875"
"2872";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2872";"MASEQUERA";" ";"CALLE";"2872"
"2886";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2886";"RANCHO DE ANIMAS";" ";"CALLE";"2886"
"2884";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2884";"RANCHO DE ANIMAS";" ";"CALLE";"2884"
"2881";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2881";"RANCHO DE ANIMAS";" ";"CALLE";"2881"
"2888";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2888";"SALTONAS";" ";"CALLE";"2888"
"2885";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2885";"SALTONAS";" ";"CALLE";"2885"
"2897";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2897";"TAJARASTE";" ";"CALLE";"2897"
"2893";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2893";"TAJARASTE";" ";"CALLE";"2893"
"2892";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2892";"TAJARASTE";" ";"CALLE";"2892"
"2739";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2739";"TAJARASTE";" ";"CALLE";"2739"
"2900";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2900";"ZORONDONGO";" ";"CALLE";"2900"
"2895";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2895";"ZORONDONGO";" ";"CALLE";"2895"
"2891";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2891";"ZORONDONGO";" ";"CALLE";"2891"
"2902";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2902";"POLCA";" ";"CALLE";"2902"
"2901";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2901";"POLCA";" ";"CALLE";"2901"
"2899";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2899";"POLCA";" ";"CALLE";"2899"
"2907";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2907";"ARRORRO";" ";"CALLE";"2907"
"2906";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2906";"ARRORRO";" ";"CALLE";"2906"
"2905";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2905";"ARRORRO";" ";"CALLE";"2905"
"2904";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2904";"ARRORRO";" ";"CALLE";"2904"
"2903";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2903";"NUEVA";" ";"CALLE";"2903"
"4883";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4883";"SALOM, SARGENTO";" ";"CALLE";"4883"
"5098";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5098";"SALOM, SARGENTO";" ";"CALLE";"5098"
"2908";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2908";"AMANECER";" ";"CALLE";"2908"
"6664";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6664";"CUEVAS BLANCAS";" ";"LUGAR";"6664"
"2912";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2912";"CALZADA LATERAL DEL NORTE";" ";"CALLE";"2912"
"2911";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2911";"CALZADA LATERAL DEL NORTE";" ";"CALLE";"2911"
"2917";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2917";"TENESOYA VIDINA";" ";"CALLE";"2917"
"2918";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2918";"SAN GERMAN";" ";"CALLE";"2918"
"2916";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2916";"SAN GERMAN";" ";"CALLE";"2916"
"2919";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2919";"SAN IGNACIO";" ";"CALLE";"2919"
"4452";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4452";"ALMATRICHE";"DE";"CTRA";"4452"
"4443";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4443";"ALMATRICHE";"DE";"CTRA";"4443"
"4442";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4442";"ALMATRICHE";"DE";"CTRA";"4442"
"4441";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4441";"ALMATRICHE";"DE";"CTRA";"4441"
"2921";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2921";"DEHESA";"LA";"CALLE";"2921"
"6377";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6377";"GUILLENA";"LA";"CALLE";"6377"
"2920";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2920";"GUILLENA";"LA";"CALLE";"2920"
"6670";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6670";"TEROR";"DE";"CTRA";"6670"
"4448";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4448";"TEROR";"DE";"CTRA";"4448"
"4447";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4447";"TEROR";"DE";"CTRA";"4447"
"4440";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4440";"TEROR";"DE";"CTRA";"4440"
"4719";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4719";"TEROR";"DE";"CTRA";"4719"
"5166";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5166";"TEROR";"DE";"CTRA";"5166"
"2925";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2925";"JUDAS TADEO";" ";"CALLE";"2925"
"2929";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2929";"GALILEA";" ";"CALLE";"2929"
"2928";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2928";"GALILEA";" ";"CALLE";"2928"
"2927";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2927";"GALILEA";" ";"CALLE";"2927"
"2924";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2924";"GALILEA";" ";"CALLE";"2924"
"2943";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2943";"MESIAS";"EL";"CALLE";"2943"
"2942";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2942";"MESIAS";"EL";"CALLE";"2942"
"2932";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2932";"MESIAS";"EL";"CALLE";"2932"
"2930";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2930";"MESIAS";"EL";"CALLE";"2930"
"2923";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2923";"MESIAS";"EL";"CALLE";"2923"
"2934";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2934";"NICODEMO";" ";"CALLE";"2934"
"2936";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2936";"SAN DIONISIO";" ";"CALLE";"2936"
"2935";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2935";"SAN DIONISIO";" ";"CALLE";"2935"
"2931";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2931";"SAN DIONISIO";" ";"CALLE";"2931"
"2941";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2941";"CANAA";" ";"CALLE";"2941"
"2950";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2950";"SAN FERNANDO";" ";"CALLE";"2950"
"2949";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2949";"SAN FERNANDO";" ";"CALLE";"2949"
"2947";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2947";"SAN FERNANDO";" ";"CALLE";"2947"
"2939";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2939";"SAN FERNANDO";" ";"CALLE";"2939"
"5620";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5620";"SAN FERNANDO";" ";"CALLE";"5620"
"2954";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2954";"SAN ESTEBAN";" ";"CALLE";"2954"
"2952";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2952";"SAN ESTEBAN";" ";"CALLE";"2952"
"2955";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2955";"SAN FERMIN";" ";"CALLE";"2955"
"2951";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2951";"SAN FERMIN";" ";"CALLE";"2951"
"2959";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2959";"SAN CLEMENTE";" ";"CALLE";"2959"
"2898";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2898";"CASA ROMAN";" ";"CALLE";"2898"
"6785";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6785";"MANUEL GALVAN RODRIGUEZ";" ";"CALLE";"6785"
"2962";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2962";"MANUEL GALVAN RODRIGUEZ";" ";"CALLE";"2962"
"5165";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5165";"CORTIJO CASA AYALA";" ";"LUGAR";"5165"
"5397";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5397";"CORTIJO CASA AYALA";" ";"LUGAR";"5397"
"2963";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2963";"ENMAUS";" ";"CALLE";"2963"
"2966";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2966";"ADELFA";" ";"CALLE";"2966"
"2965";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2965";"HORNOS DEL REY";" ";"CALLE";"2965"
"6935";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6935";"TERUEL";" ";"CALLE";"6935"
"2974";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2974";"ALEXIS CARREL";" ";"CALLE";"2974"
"2976";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2976";"MIGUEL ANGEL ASTURIAS";" ";"CALLE";"2976"
"2975";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2975";"MIGUEL ANGEL ASTURIAS";" ";"CALLE";"2975"
"2978";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2978";"YANUSARI KWATABA";" ";"CALLE";"2978"
"2985";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2985";"LOMO DE LA CRUZ";" ";"CALLE";"2985"
"2980";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2980";"NORTE";" ";"CALLE";"2980"
"2981";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2981";"OLIVO";"EL";"CALLE";"2981"
"6711";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6711";"SAN JOSE ARTESANO";" ";"CALLE";"6711"
"6710";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6710";"SAN JOSE ARTESANO";" ";"CALLE";"6710"
"6709";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6709";"SAN JOSE ARTESANO";" ";"CALLE";"6709"
"2988";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2988";"ISLA DE LA GRACIOSA";" ";"CALLE";"2988"
"2984";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2984";"ISLA DE LA GRACIOSA";" ";"CALLE";"2984"
"2982";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2982";"ISLA DE LA GRACIOSA";" ";"CALLE";"2982"
"3001";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3001";"ISLA DE MONTAÑA CLARA";" ";"CALLE";"3001"
"2991";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2991";"ISLA DE ALEGRANZA";" ";"CALLE";"2991"
"2995";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2995";"DOMINGO NAVAS";" ";"CALLE";"2995"
"2994";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2994";"DOMINGO NAVAS";" ";"CALLE";"2994"
"2993";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2993";"DOMINGO NAVAS";" ";"CALLE";"2993"
"2992";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2992";"DOMINGO NAVAS";" ";"CALLE";"2992"
"2983";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2983";"DOMINGO NAVAS";" ";"CALLE";"2983"
"2960";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2960";"CORREGIDOR EGUILUZ";" ";"CALLE";"2960"
"3002";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3002";"MANUEL GONZALEZ GONZALEZ";" ";"CALLE";"3002"
"3018";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3018";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3018"
"3007";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3007";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3007"
"3006";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3006";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3006"
"3005";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3005";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3005"
"3004";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3004";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3004"
"2999";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2999";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"2999"
"5565";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5565";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5565"
"5564";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5564";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5564"
"5563";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5563";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5563"
"5562";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5562";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5562"
"6417";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6417";"PERDIDA";" ";"PLAZA";"6417"
"3015";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3015";"SALAMANCA";" ";"CALLE";"3015"
"3014";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3014";"SALAMANCA";" ";"CALLE";"3014"
"3012";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3012";"SALAMANCA";" ";"CALLE";"3012"
"3032";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3032";"GRANADA";" ";"CALLE";"3032"
"3019";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3019";"GRANADA";" ";"CALLE";"3019"
"2997";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2997";"GRANADA";" ";"CALLE";"2997"
"3033";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3033";"VALLADOLID";" ";"CALLE";"3033"
