"dc:identifier";"dc:modified";"id";"lpgc:num_concesion";"lpgc:num_linea"
"1484";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1484";"47";"311"
"1483";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1483";"24";"312"
"1482";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1482";"21";"311"
"1481";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1481";"20";"321"
"1477";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1477";"6";"321"
"1475";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1475";"6";"311"
"1465";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1465";"9";"322"
"1464";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1464";"91";"312"
"1463";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1463";"91";"311"
"1462";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1462";"81";"312"
"1461";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1461";"81";"311"
"1459";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1459";"63";"312"
"1458";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1458";"63";"311"
"1446";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1446";"48";"312"
"1443";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1443";"46";"311"
"1442";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1442";"33";"322"
"1441";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1441";"33";"321"
"1436";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1436";"26";"322"
"1434";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1434";"26";"312"
"1432";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1432";"25";"322"
"1430";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1430";"25";"312"
"1428";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1428";"22";"312"
"1427";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1427";"22";"311"
"1426";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1426";"19";"331"
"1425";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1425";"19";"321"
"1423";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1423";"19";"311"
"1422";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1422";"12";"312"
"1421";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1421";"12";"311"
"1420";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1420";"11";"322"
"1417";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1417";"10";"322"
"1415";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1415";"10";"311"
"1414";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1414";"9";"331"
"1413";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1413";"9";"321"
"1411";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1411";"9";"311"
"1410";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1410";"2";"312"
"1409";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1409";"2";"311"
"1408";"2017-10-31 04:02:15";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas/1408";"1";"312"
