"HUERTO","Latitud","Longitud","DIMENSION TOTAL","Nº PARCELAS","DIMENSION PARCELA","OCUP. COLEC","OCUP. PART","Nº HORTELANOS","Nº PARCELAS LIBRES","IMAGEN"
"El Lasso",28.075314,-15.42692,5220,58,28,43,15,144,0,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/el_lasso.jpg"
"Siete Palmas",28.103277,-15.44964,6788,31,21,15,3,33,13,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/siete_palmas.jpg"
"El Polvorín",28.106756,-15.426167,1249,18,21,0,0,0,18,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/polvorin.jpg"
"La Mayordomía",28.099967,-15.464748,3728,35,27,22,0,40,13,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/la_mayordomia.jpg"
"Pino Apolinario",28.136998,-15.436692,536,12,25,11,1,23,0,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/pino_apolinario.jpg"
"Luchana",28.128513,-15.442477,721,16,23,16,0,32,0,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/luchana.jpg"
"El Pambaso",28.099374,-15.423427,2000,40,25,6,4,18,30,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/pambaso.jpg"
"Jinámar",28.033133,-15.417523,2256,46,30,15,0,30,31,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/jinamar.jpg"
"El Amanecer",28.093034,-15.445887,1874,41,3,0,37,37,4,"http://datosabiertos.laspalmasgc.es/repositorio/ambiente/fotos_ambiente/el_amanecer.jpg"
