"INVENTARIO","MATR�CULA","CLASE","MARCA","MODELO","DESTINO"
23,"GC-9062-AK","FURGONETA MIXTA","MITSUBISHI","MONTERO 2,5 TURBO","P"
42,"GC-4233-AP","FURGON","MITSUBISHI","L 300 PANEL LON","P"
52,"GC-9794-AZ","CAMION FURGON","NISSAN","TRADE","P"
56,"GC-2543-BB","JEEP FURGONETA MIXTA","TOYOTA","LAND CRUISER HARD","P"
164,"GC-01189-VE","PALA CARGADORA","JCB","425","SML"
177,"GC-3843-Z","TURISMO","MERCEDES BENZ","300 E","AL"
195,"-----","","RIOR HATZ","BOMBA ALCANTARILLADO","AC"
204,"GC-0962-U","MOTOCICLETA","VESPA","200 CC","TM"
224,"GC-3415-BB","CAMION ASPIRADOR DE FANGOS","MERCEDES BENZ","","AC"
227,"GC-8947-AD","FURGON","TOYOTA","HIACE","B"
239,"GC-2384-AD","CAMION CUBA","PEGASO","DUARRY BRIO 520","SML"
243,"GC-2074-AS","CAMION","MERCEDES BENZ","2628","B"
248,"GC-7752-AU","CAMION","MERCEDES BENZ","1929","SML"
249,"GC-7753-AU","CAMION","MERCEDES BENZ","1929","B"
250,"GC-7754-AU","CAMION","MERCEDES BENZ","1929","SML"
260,"-----","","","","A"
272,"GC-0383-Y","VEHICULO LIGERO","RENAULT","4 TL","SML"
273,"GC-9493-AJ","FURGON","RENAULT","4 TL","SML"
274,"GC-2089-F","VOLQUETE","PEGASO","109 DIESEL","SML"
275,"GC-2090-F","VOLQUETE","PEGASO","109 DIESEL","SML"
278,"GC-9883-AP","TURISMO TODO TERRENO","LAND ROVER","2.5 DL.TO","SML"
282,"GC-5788-AU","TURISMO","RENAULT","DRIVE 5 PTAS.","SML"
283,"GC-1728-AC","VEHICULO","RENAULT","P-6","SML"
285,"GC-3609-S","CAMION","EBRO","L60-37P","SML"
290,"GC-3674-AD","CAMION DOBLE CABINA","EBRO","L.80.2","SML"
292,"GC-1461-AS","CAMION VOLQUETE","NISSAN","L-80.09/03 DC","SML"
295,"GC-0951-U","CAMION VOLQUETE","EBRO","F275","SML"
299,"GC-3544-I","CAMION GRUA","BARREIROS","D20E","SML"
306,"GC-6900-AV","CAMION CISTERNA","MERCEDES BENZ","1922/48","SML"
307,"GC-6901-AV","CAMION CISTERNA","MERCEDES BENZ","","SML"
308,"GC-6902-AV","CAMION CISTERNA","MERCEDES BENZ","","SML"
309,"GC-6903-AV","CAMION CISTERNA","MERCEDES BENZ","","SML"
310,"GC-6904-AV","CAMION CISTERNA","MERCEDES BENZ","","SML"
311,"GC-6905-AV","CAMION CISTERNA","MERCEDES BENZ","","SML"
313,"GC-1727-AC","VEHICULO","RENAULT","F6","SML"
314,"GC-5437-AS","FURGONETA","RENAULT","R4","SML"
315,"GC-5431-AS","FURGONETA","RENAULT","R 4","SML"
316,"GC-5787-AU","TURISMO","RENAULT","DRIVE 5 PTAS.","SML"
321,"GC-3736-I","AMPLIROLL","BARREIROS","4220 B","SML"
322,"GC-3601-AT","CAMION GRUA","MERCEDES BENZ","709D/37","SML"
323,"GC-9779-O","AMPLIROLL","PEGASO","1135 L","SML"
324,"GC-7982-AW","AMPLIROLL","MERCEDES BENZ","1922/48","SML"
325,"GC-7983-AW","AMPLIROLL","MERCEDES BENZ","1922/48","SML"
326,"GC-9994-AW","CAMION GRUA","MERCEDES BENZ","709D/37","SML"
327,"GC-1668-AY","AMPLIROLL","MERCEDES BENZ","1922/48","SML"
332,"GC-9885-U","CAMION RECOLECTOR","PEGASO","1217","SML"
336,"GC-9979-U","CAMION RECOLECTOR","PEGASO","1217","SML"
337,"GC-9981-U","CAMION RECOLECTOR","PEGASO","1217","SML"
338,"GC-3973-V","CAMION","RENAULT","D20E","SML"
341,"GC-3976-V","CAMION RECOLECTOR","RENAULT","D20E","SML"
342,"GC-3977-V","CAMION RECOLECTOR","RENAULT","D20E","SML"
344,"GC-3980-V","CAMION RECOLECTOR","RENAULT","D20E","SML"
346,"GC-4064-V","CAMION RECOLECTOR","RENAULT","D20E","SML"
347,"GC-4065-V","CAMION RECOLECTOR","RENAULT","D20E","SML"
348,"GC-4067-V","CAMION GRUA","RENAULT","D20E","SML"
350,"GC-1147-Y","CAMION RECOLECTOR","RENAULT","D20E","SML"
356,"GC-5276-AS","CAMION RECOLECTOR","RENAULT","DG220","SML"
357,"GC-7200-AU","CAMION RECOLECTOR","MERCEDES BENZ","1922/48","SML"
359,"GC-7202-AU","CAMION RECOLECTOR","MERCEDES BENZ","1922/48","SML"
360,"GC-7203-AU","CAMION RECOLECTOR","MERCEDES BENZ","1922/48","SML"
