CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"el salvador nº9","01/03/2012","24",""
"angel gimera nº6","22/02/2012","24",""
"avenida de jose mesa y lopez plaza der españa general vives","18/02/2012","12-24 h",""
"pi y margall 69-71-73","20/02/2012","8-20",""
"leon  alicante c.c de propietarios de vecinos","23/02/2012","8-18",""
"mar caspio con mar bonita","23/02/2012","24",""
"el sarvador (frente nº 33)","22/02/2012","24","12/03/2012"
"paseo de lugo nº11","22/02/2012","8/18",""
"dolores de la rocha 5","23/02/2012","24",""
"doctor juan de padilla  40","27/02/2012","24",""
"avda jose mesa y lopez  41","23/02/2012","8-18","23/02/2012"
"aconcagua,25","22/02/2012","24 horas",""
"Trasera Teobaldo Power, 35","","",""
"chiner 30","25/02/2012","",""
"mesa y lopez 18-20","25/02/2012","",""
"mesa y lopez","","",""
"sagasta 99 esquina tenerife","24/02/2012","",""
"joaquin blume 19","24/02/2012","alternos",""
"avd. jose sanchez peñate s/n","26/02/2012","","26/02/2012"
"nicolas estevanes 63","01/03/2012","24","20/03/2012"
"villavicencio 2","06/03/2012","24",""
"victor hugo 60","28/02/2012","8/18",""
"doctor dominguez deniz 3","28/02/2012","8/18",""
"leon y castillo 135, pamochamoso","27/02/2012","24",""
"varias calles","24/02/2012","24","24/02/2012"
"el cid 47-49","05/03/2012","8/18","09/03/2012"
"29 de abril 51","28/02/2012","24","18/03/2012"
"tecen 151","09/03/2012","24",""
"mauricio blandy 25","15/03/2012","24","17/03/2012"
"alcalde francisco rodriguez gonzalez 10 ,12","27/02/2012","8/18",""
"trasera laureano arroo velazco 36","27/02/2012","",""
"garcía del castillo,9","27/02/2012","",""
"ingeniero salinas,48","27/02/2012","",""
"FARO Nº66","29/02/2012","24","03/04/2012"
"betayga con faro nº66","06/03/2012","24",""
"alonso alvarado nº12","07/03/2012","8/20",""
"murga nº6","29/02/2012","8/18",""
"murga nº9","29/02/2012","8/18",""
"diderot nº19","05/03/2012","24",""
"perojo nº 34/36","29/02/2012","8/18",""
"murga nº55 con senador castillo olivares. O viceversa.,","29/02/2012","8/18",""
"luis doreste silva nº60","29/02/2012","8/18",""
"juan manuel duran tramo entre galileo y leon tolstoi,","27/02/2012","08,00/19,00",""
"agua dulce nº26","29/02/2012","24",""
"pino apolinario nº87","29/02/2012","8/18","31/12/2012"
"betel nº 68","01/03/2012","",""
