"Sede","Dirección","Teléfono","Geolocalización","Latitud","Longitud","Especialidad","Media anual de usuarios/as","Curso"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 942 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a20","28.1079726","-15.4340981","Timple",9,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 943 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a21","28.1079726","-15.4340981","Púa",4,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 944 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a22","28.1079726","-15.4340981","Guitarra moderna",33,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 945 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a23","28.1079726","-15.4340981","Bajo eléctrico",12,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 946 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a24","28.1079726","-15.4340981","Batería",49,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 948 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a25","28.1079726","-15.4340981","Fagot",2,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 949 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a26","28.1079726","-15.4340981","Lenguaje musical",548,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 950 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a27","28.1079726","-15.4340981","Oboe",4,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 951 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a28","28.1079726","-15.4340981","Contrabajo",5,"2013/2014"
"Las Rehoyas","Calle Montejurra, 1, Las Palmas de Gran Canaria"," 952 360 538, 928 361 308","https://www.google.es/maps/place/Colegio+P%C3%BAblico+Jos%C3%A9+Calvo+Sotelo/@28.1079726,-15.4340981,17z/data=!4m2!3m1!1s0x0:0x39f9186c2e7fa4a29","28.1079726","-15.4340981","Bombardino",2,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","928 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Música y movimiento",84,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","929 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Viola",1,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","930 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Violín",32,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","931 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Violoncello",14,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","932 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Flauta",8,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","933 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Clarinete",0,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","934 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Saxofón",9,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","935 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Piano",115,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","936 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Guitarra",75,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","937 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Educación de la voz",48,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","938 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Lenguaje musical",234,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","939 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Timple",1,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","940 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Púa",3,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","941 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Guitarra moderna",25,"2013/2014"
"Vegueta","Calle Granadera Canaria, 11, Las Palmas de Gran Canaria","942 331 662","https://www.google.es/maps/place/Calle+Granadera+Canaria,+11/@28.0965123,-15.4137461,17z/data=!3m1!4b1!4m2!3m1!1s0xc40958cbc1cb54d:0xf12eef7f079b423a","28.0965123","-15.4137461","Bajo eléctrico",2,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","928 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Música y movimiento",34,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","929 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Piano",74,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","930 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Guitarra",35,"2013/2014"
"La Isleta","Calle Osorio esq. Benecharo, Las Palmas de Gran Canaria","931 464 726","https://www.google.es/maps/place/Calle+Osorio,+58/@28.1525471,-15.4245222,17z/data=!3m1!4b1!4m2!3m1!1s0xc409548b50824b7:0xfeecc34344a178be","28.1525471","-15.4245222","Lenguaje musical",121,"2013/2014"
