"Centro","Nombre actividad","Participantes","Curso"
"UP GUANARTEME","ABRIL 2015","Aura-soma: terapia del color",20,"2014/2015"
"UP GUANARTEME","ABRIL 2015","Jornadas practicas de hábitos de vida saludable",30,"2014/2015"
"UP GUANARTEME","ABRIL 2015","Taller de danzas históricas",9,"2014/2015"
"UP GUANARTEME","ABRIL 2015","Visita al castillo o de mata",25,"2014/2015"
"UP GUANARTEME","ABRIL 2015","Ingles para principiantes",15,"2014/2015"
"UP GUANARTEME","ABRIL 2015","Iniciación a las redes sociales",15,"2014/2015"
"UP LA ISLETA","ABRIL 2015","Decoración de ropa con técnicas de pachtwork",9,"2014/2015"
"UP LA ISLETA","ABRIL 2015","Exposición de pinturas talleres arte plásticas","-","2014/2015"
"UP LA ISLETA","ABRIL 2015","Elaboración de objetos decorativos con cartón",6,"2014/2015"
"UP LA ISLETA","ABRIL 2015","Realización de kokedama",15,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Como hacer un blog en la web",10,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Como hacer bufandas y pañoletas de ganchillo",18,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Iniciación a la cata de vinos y sidras",15,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Habilidades en hostelería",14,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Manipulador de alimentos",26,"2014/2015"
"UP LOMO BLANCO","ABRIL 2015","Menú italiano",16,"2014/2015"
"UP TAMARACEITE","ABRIL 2015","Ruta de senderismo Tenteniguada",42,"2014/2015"
"UP TAMARACEITE","ABRIL 2015","Taller de teatro para atrevidos","-","2014/2015"
"UP TAMARACEITE","ABRIL 2015","Iniciación al inglés",17,"2014/2015"
"UP TAMARACEITE","ABRIL 2015","Iniciación a la guitarra",16,"2014/2015"
"UP TAMARACEITE","ABRIL 2015","Taller de decoración de abanicos",10,"2014/2015"
"UP TAMARACEITE","ABRIL 2015","Iniciación a la informática",10,"2014/2015"
"UP CIUDAD ALTA","DICIEMBRE 2014","Auto maquillaje",18,"2014/2015"
