"DILIG","LUGAR","ALTURA_DE","FECHA","HORA","VEHICULOS","HERIDOS","DESTINO","COLISION","INFR_COND","INFR_PEAT","DENUNCIAS"
2,"AVENIDA JOSE MESA Y LOPEZ","OLOFF PALME",01/01/2013,"08:50",2,2,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
4,"PLAZA DOCTOR SANTIAGO BARRY HERNANDEZ",,01/01/2013,"22:10",1,1,"Jefatura","Salida de la vía","Cansancio, sueño o enfermedad","Ninguna infracción",0
5,"PERDOMO","DOCTOR JUAN DE PADILLA",01/01/2013,"04:35",2,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
7,"JUAN NARANJO DIAZ","38",01/01/2013,"01:40",2,1,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
9,"LOS MARTINEZ DE ESCOBAR","42",27/12/2012,"17:25",1,1,"Jefatura","Colisión","Estado o condición de la vía","Ninguna infracción",0
10,"CTRA. DEL NORTE","ROTONDA DE LA BALLENA",01/01/2013,"21:20",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
11,"APARCAMIENTO SAGULPA","MERCADO DE VEGUETA",02/01/2013,"13:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
12,"ALBAREDA","HIERRO",02/10/2013,"14:30",1,1,"Jefatura","Otros","Otros factores o infracciones","Ninguna infracción",0
21,"CALZADA LATERAL DEL NORTE","APARCAMIENTO INTERIORES",29/12/2012,"09:10",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
22,"CTRA. DEL CARDON","ARCHIVERO JOAQUIN BLANCO MONTESDEOCA",02/01/2013,"19:15",2,3,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
25,"HENRY DUNANT","IGLESIA REDONDA",03/01/2013,"13:10",3,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
26,"LOMO DE LA VIUDA","23",01/01/2013,"00:30",1,1,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
27,"CALLE ALEMANIA","Nº 24",03/01/2013,"09:30",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
29,"MANUEL DE FALLA","72",03/01/2013,"19:10",2,4,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
30,"GRANADA","16",03/01/2013,"23:15",2,0,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
32,"ROTONDA DE LOMO SAN LAZARO","HOYA DEL ENAMORADO",27/12/2012,"20:00",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
33,"AVDA. ESCALERITAS","38",03/01/2013,"17:50",2,3,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
35,"DON PEDRO INFINITO","ZARAGOZA",04/01/2013,"17:15",2,1,"Juzgado","Colisión","Alcohol o drogas","Ninguna infracción",0
37,"AVDA. JUAN XXIII","PEREZ DEL TORO",04/01/2013,"22:15",1,1,"Jefatura","Atropello","No respetar indicaciones semáforo","Ninguna infracción",0
40,"AVDA. ALCALDE JOSE RAMIREZ BETHENCOURT","PARQUE ROMANO",05/01/2013,"04:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
41,"PASEO DE SAN JOSE","208",05/01/2013,"11:00",2,1,"Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción",0
43,"JOSE MANUEL DURAN GONZALEZ","NUM. 22",05/01/2013,"14:50",1,1,"Juzgado","Atropello","Sin definir","Ninguna infracción",0
44,"AVDA. ESCALERITAS","53",05/01/2013,"15:30",1,2,"Juzgado","Atropello","Sin definir","Ninguna infracción",0
45,"MURGA","PEROJO",31/12/2012,"17:45",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
46,"ROTONDA ARQUITECTO E INGENIEROS TECNICOS DE L",,30/12/2012,"18:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
47,"MUELLE LAS PALMAS","2",31/12/2012,"20:30",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
48,"CARACAS","HABANA",05/01/2013,"21:00",2,2,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
50,"ZARAGOZA","SOR SIMONA",06/01/2013,"04:40",2,3,"Juzgado","Colisión","No respetar indicaciones semáforo","Ninguna infracción",0
52,"CAMPOAMOR","2",01/01/2013,"01:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
53,"GC. 110","PKM 7",06/01/2013,"10:00",1,0,"Jefatura","Colisión","Sin infracción","Ninguna infracción",0
55,"BETANIA","81",07/01/2013,"16:00",2,1,"Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción",0
56,"CARRETERA DEL NORTE","DOMINGO ALONSO",06/01/2013,"14:30",1,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
62,"ROTONDA DEL VIGIA","ACCESO LA FERIA",05/01/2013,"18:00",2,1,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
63,"FERRERAS","60 VVDAS. EN JINAMAR",08/01/2013,"12:50",2,0,"Jefatura","Colisión","Apertura de puertas sin precución","Ninguna infracción",0
64,"AVDA. JUAN XXIII","ROTONDA ACCESO GC1 AM",08/01/2013,"17:30",2,3,"Jefatura","Colisión","No respetar prioridad","Ninguna infracción",0
65,"HORNOS DEL REY","11",01/01/2013,"03:00",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
66,"DIEGO BETANCOR SUAREZ","ZONA DE ESTACIONAMIENTOS BATERIA",08/01/2013,"20:15",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
67,"ZARAGOZA","SOR SIMONA",03/01/2013,"10:15",2,2,"Jefatura","Colisión","No respetar indicaciones semáforo","Ninguna infracción",0
68,"AVD. DE LA FERIA","ALFEREZ PROVISIONAL",09/01/2013,"09:35",1,1,"Jefatura","Otros","Otros factores o infracciones","Ninguna infracción",0
69,"CASTILLEJOS","Nº 12",02/01/2013,"20:55",2,0,"Jefatura","Colisión","Conducción distraída","Ninguna infracción",0
70,"CALZADA LATERAL DEL NORTE","Nº 35",03/01/2013,"14:30",3,0,"Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción",0
71,"AVENIDA JUAN CARLOS I","JULIO BARRY RODRIGUEZ (DOCTOR)",09/01/2013,"00:50",1,1,"Jefatura","Salida de la vía","Estado o condición de la vía","Ninguna infracción",0
72,"AVENIDA MESA Y LOPEZ","PRESIDENTE ALVEAR",01/01/2013,"21:50",2,1,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
73,"CARRETERA GENERAL DEL NORTE","DOCTOR MARAÑON",02/01/2013,"18:15",2,1,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
74,"JUAN SARAZA ORTIZ Nº 19",,02/01/2013,"18:30",1,1,"Jefatura","Atropello","Conducción distraída","Ninguna infracción",0
75,"DOMINGO PADRON","S/N",09/01/2013,"14:30",2,1,"Jefatura","Colisión","Girar incorrectamente","Ninguna infracción",0
76,"AVDA. ESCALERITAS","Nº 33",09/01/2013,"16:00",2,1,"Jefatura","Vuelco","Velocidad inadecuada","Ninguna infracción",0
77,"JUAN MANUEL DURAN GONZALEZ","19",03/01/2013,"13:40",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
78,"PASEO DE CHIL","PARQUE DORAMAS",03/01/2013,"10:00",2,2,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
79,"ROTONDA MARIO CESAR",,03/01/2013,"17:30",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
80,"AVDA. PRINCIPE DE ASTURIAS",,03/01/2013,"11:45",2,0,"Jefatura","Colisión","Entrar sin precaución en la circulación","Ninguna infracción",0
81,"C.C. EL MIRADOR ACCESO RAMBLAS JINAMAR",,03/01/2013,"21:30",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
