"INVENTARIO","NOMBRE","AUTOR","VIAL","CALLE"
105,"FUENTE JARDINES BUENAVISTA","","JARDINES","DE BUENAVISTA"
107,"PLEAMAR XXVIII","","AVENIDA","DE LA FERIA"
108,"TORRE HELICIODAL","JUAN ANTONIO GIRALDO","CALLE","DIEGO BETANCOR SUAREZ"
112,"FUENTE CALLE DIEGO BETANCOR SUAREZ","","CALLE","DIEGO BETANCOR SUAREZ"
113,"FUENTE AVENIDA GUILLERMO SANTANA RIVERO","","AVENIDA","GUILLERMO SANTANA RIVERO"
114,"FIGURA ANTROPOMORFICA (RETIRADA - EN EL ALMACEN)","SEBASTIAN DE LA NUEZ SOCORRO","CALLE","FARMACEUTICO MIGUEL PADILLA"
115,"MONUMENTO A SAN FRANCISCO DE ASIS  - FCA.MELIAN CHIRINO 1981","FRANCISCA MELIAN CHIRINO","CALLE","JUAN SEBASTIAN BACH"
116,"CRUZ - LOMO DE LA CRUZ -","","CALLE","ACONCAGUA"
118,"CRUZ - PLAZA DE LA CRUZ DE TAMARACEITE","","PLAZA","DE LA CRUZ"
119,"PLACA CONMEMORATIVA PLAZA CASTILLO DE LA LUZ","","PLAZA","DEL CASTILLO DE LA LUZ"
120,"MONUMENTO AL ATLANTE  -   TONY GALLARDO  1986","TONY GALLARDO","JARDINES","DEL ATLANTE"
121,"PALOMA DE LA PAZ","SEBASTIAN DE LA NUEZ SOCORRO","CALLE","SEVERO OCHOA"
122,"FUENTE EN EL NUDO DEL SECADERO","","CARRETERA","DEL CENTRO"
123,"MONUMENTO AL GENERAL SAN MARTIN  -  LUIS PERLOTTI  1961","LUIS PERLOTTI","PLAZA","EN TAFIRA BAJA, CL. TUCUMAN"
125,"VIRGEN DE LA LUZ - RECINTO PUEBLO CANARIO","ATRIBUIDA A ABRAHAM CARDENES","CALLE","FRANCISCO GONZALEZ DIAZ"
126,"RECORDANDO EL PUENTE DE PALO","","CALLE","LENTINI"
127,"MONUMENTO A PABLO IGLESIAS  -  JUAN BORGES LINARES 1994","JUAN BORGES LINARES","PLAZA","PABLO IGLESIAS"
128,"JUGUETE DEL VIENTO  -  CESAR MANRIQUE  1991","CESAR MANRIQUE","CALLE","ALONSO DE OJEDA"
130,"MONUMENTO A BALTASAR CHAMPSAUR  -  A. BAUTISTA SOSA 1995","AGUSTIN BAUTISTA SOSA","PLAZA","DE LA CONCORDIA"
131,"MONUMENTO A ANTONIO LOPEZ BOTAS  -  MAXIMO RIOL 1995","MAXIMO RIOL CIMAS","CALLE","LENTINI"
132,"MONUMENTO A JOSE COMAS QUESADA  -   J. PERERA 1995","JOSE PERERA VALIDO","PLAZA","ALAMEDA DE COLON"
133,"MONUMENTO A BLAS CABRERA FELIPE (SIN COLOCAR)    A. BAUTISTA","AGUSTIN BAUTISTA SOSA","PARQUE","SANTA CATALINA"
134,"MONUMENTO A FRANCHY ROCA   -   J.F. TRUJILLO HDEZ","JUAN FRANCISCO TRUJILLO HERNANDEZ","CALLE","EDUARDO BENOT"
135,"MONUMENTO A PEDRO AGUSTIN  DEL CASTILLO (SIN COLOCAR)","ISABEL LOPEZ PADRON","PLAZA","DE SANTO DOMINGO"
