"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:nombre_parada"
"1945";"2017-10-31 12:01:30";"28.11903";"-15.444232";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1945";"AVDA. JUAN CARLOS I (HOSPITAL DR. NEGRÍN)"
"1944";"2017-10-31 12:01:30";"28.15024";"-15.42191";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1944";"MANUEL BECERRA "
"1943";"2017-10-31 12:01:30";"28.161522";"-15.410644";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1943";"C/ DOCTOR JUAN DOMÍNGUEZ PÉREZ (EL SEBADAL)"
"1942";"2017-10-31 12:01:30";"28.139944";"-15.428389";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1942";"INTERCAMBIADOR SANTA CATALINA"
"1941";"2017-10-31 12:01:30";"28.150295";"-15.422144";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1941";"MANUEL BECERRA "
"1940";"2017-10-31 12:01:30";"28.10075";"-15.419";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1940";"GUINIGUADA"
"1939";"2017-10-31 12:01:30";"28.129688";"-15.448028";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1939";"AUDITORIO"
"1938";"2017-10-31 12:01:30";"28.104565";"-15.413533";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1938";"TEATRO"
"1936";"2017-10-31 12:01:30";"28.069828";"-15.422868";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1936";"CONCEJAL ANDRES ALVARADO JANINA (TRES PALMAS)"
"1935";"2017-10-31 12:01:30";"28.149956";"-15.421631";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1935";"MANUEL BECERRA "
"1934";"2017-10-31 12:01:30";"28.069433";"-15.418083";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1934";"HOYA DE LA PLATA"
"1933";"2017-10-31 12:01:30";"28.069668";"-15.418";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1933";"HOYA DE LA PLATA"
"1932";"2017-10-31 12:01:30";"28.104382";"-15.413833";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1932";"TEATRO"
"1931";"2017-10-31 12:01:30";"28.150396";"-15.422149";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1931";"MANUEL BECERRA "
"1930";"2017-10-31 12:01:30";"28.104408";"-15.413878";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1930";"TEATRO"
"1929";"2017-10-31 12:01:30";"28.10035";"-15.442783";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1929";"LA BALLENA "
"1928";"2017-10-31 12:01:30";"28.0698";"-15.418117";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1928";"HOYA DE LA PLATA"
"1903";"2017-10-31 12:01:30";"28.081978";"-15.447046";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1903";"CARRETERA DE LOMO BLANCO, FRENTE 51"
