DILIG, LUGAR, ALTURA_DE, FECHA, HORA, VEHICULOS, HERIDOS, DESTINO, COLISION, INFR_COND, INFR_PEAT, DENUNCIAS
"1","CARRETERA A TAMARACEITE","12","01/01/2016","02:50","2","2","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"2","GC-23","KM-1 DIRECCION PUERTO","01/01/2016","02:30","1","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"6","SAN NICOLAS DE TOLENTINO","S/N","02/01/2016","11:15","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"7","LUIS DORESTE SILVA","AVDA. JUAN XXIII","01/01/2016","06:15","1","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"9","GC-2","PUENTE DE LAS ARENAS","02/01/2016","10:20","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"11","PELAYO","VENEZUELA","03/01/2016","15:40","2","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"13","PASEO BLAS CABRERA FELIPE (FISICO)","ROTONDA SUPERMERCADO MERCADONA","04/01/2016","12:45","1","1","Jefatura","Colisión","Estado o condición de la vía","Ninguna infracción","0"
"14","ALCALDE DIAZ-SAAVEDRA NAVARRO","24 GC. 1 AM PKM 3.3 N-S","04/01/2016","14:50","3","2","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"15","ROTONDA PLAZA DE LAS AMERICAS","GC-23","02/01/2016","11:20","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"16","HOYA DEL ENAMORADO","121","04/01/2016","20:10","3","6","Juzgado","Colisión","Alcohol o drogas","Ninguna infracción","0"
"17","ROTONDA CENTRO COMERCIAL EL MIRADOR","","04/01/2015","20:50","2","2","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"18","TUNEL DE JULIO LUENGO","N-S","04/01/2016","12:15","3","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"19","VIA DE ACCESO AL C.C. TAMARACEITE","LEROY MERLIN","02/01/2016","00:14","1","1","Jefatura","Colisión","Velocidad inadecuada","Ninguna infracción","0"
"21","JUAN PULIDO RODRIGUEZ","MARIA LISSON (SOPRANO)","06/01/2016","00:45","5","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"22","ROTONDA CTRA. A TAMARACEITE","CTRA. SAN LORENZO","05/01/2016","22:30","2","1","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"23","AVENIDA PINTOR FELO MONZON","ROTONDA DOCTOR GREGORIO TOLEDO RODRIGUEZ","06/01/2016","12:45","2","0","Jefatura","Colisión","Girar incorrectamente","Ninguna infracción","0"
"24","FONDOS DE SEGURA Nº 5","","06/01/2016","15:00","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"25","DOCTOR CHIL","PLAZA DEL ESPIRITU SANTO","06/01/2016","01:00","2","2","Jefatura","Colisión","Maniobras de marcha atrás","Ninguna infracción","0"
"26","ACONCAGUA Nº 3","","06/01/2016","19:31","1","1","Juzgado","Colisión","Alcohol o drogas","Ninguna infracción","0"
"27","GC. 110","ROTONDA EL BATAN","05/01/2016","18:45","1","1","Jefatura","Salida de la vía","Estado o condición de la vía","Ninguna infracción","0"
"28","AVDA. FEDERICO GARCIA LORCA","44","06/01/2016","00:05","1","1","Jefatura","Otros","Sin definir","Ninguna infracción","0"
"29","VIRGEN DEL PILAR","48","06/01/2016","22:30","2","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"30","LEON Y CASTILLO","225","07/01/2016","10:15","1","1","Jefatura","Vuelco","Sin definir","Ninguna infracción","0"
"31","PASEO DE SAN JOSE","182","02/01/2016","18:00","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"32","GC-2 INTERIOR TUNEL","SENTIDO GUANARTEME","07/01/2016","17:30","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"38","AVDA. PRINCIPE DE ASTURIAS","1","05/01/2016","17:40","2","0","Jefatura","Colisión","Estado o condición de la vía","Ninguna infracción","0"
"39","GALICIA","BARCELONA","08/01/2016","14:25","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"40","AVDA. RAFAEL CABRERA","PILARILLO SECO","05/01/2016","21:00","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"41","CALZADA LATERAL DEL NORTE","MANUEL PEREZ NAVARRO","08/01/2016","21:00","2","1","Jefatura","Colisión","Girar incorrectamente","Ninguna infracción","0"
"43","GC-23","ACCESO INCORPORACION HACIA LA ROTONDA DEL VIG","08/01/2016","21:12","2","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"44","GC-1AM","AVDA. JUAN XXIII","04/01/2016","19:30","3","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"46","ROTONDA DE LA AVIACION","","09/01/2016","17:45","1","0","Jefatura","Salida de la vía","Sin definir","Ninguna infracción","0"
"47","MUELLE LAS PALMAS Nº 3","","09/01/2016","21:00","2","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"48","CTRA. A TAMARACEITE","NUMERO 73 (PERRERAS)","09/01/2016","22:10","2","0","Juzgado","Colisión","Sin definir","Ninguna infracción","0"
"52","TRASERA DE JUANA MARRERO","PORTAL 3","10/01/2016","09:20","2","0","Juzgado","Colisión","Alcohol o drogas","Ninguna infracción","0"
"60","ACONCAGUA","","01/01/2016","00:35","2","1","Jefatura","Colisión","Adelantar antirreglamentariamente","Ninguna infracción","0"
"61","GC-1 AM","KM 6.9 S/N","02/01/2016","12:20","2","1","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"64","PARKING SAGULPA MERCADO DE VEGUETA","PLAZA Nº 126","11/01/2016","10:00","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"65","CTRA. DE MATA","100","03/01/2016","22:45","1","0","Jefatura","Otros","Conducción distraída","Ninguna infracción","0"
"66","ALONSO QUINTERO","PLAZA DE SANTA ISABEL","04/01/2016","12:57","1","1","Jefatura","Atropello","Sin definir","Ninguna infracción","0"
"68","TUNEL DE JULIO LUENGO","SALIDA PIO XII","03/01/2016","10:30","2","0","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"69","SALIDA C.C. HIPERCOR","AVDA. HOYA DE LA GALLINA","04/01/2016","16:45","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"70","CAMPUS UNIVERSITARIO","ESCUELA DE ARQUITECTURA","10/01/2016","10:30","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"73","ARCHIVERO JOAQUIN BLANCO MONTESDEOCA","URBANIZACION LAS TORRES","04/01/2016","16:00","2","2","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"74","ROTONDA DEL MIRADOR","CTRA. A MARZAGAN","04/01/2016","12:50","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"75","ARCHIVERO JOAQUIN BLANCO MONTESDEOCA","AVDA. JUAN CARLOS I","04/01/2016","21:55","2","1","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"79","CRUZ DEL OVEJERO","ROTONDA BP","03/01/2016","09:30","1","0","Jefatura","Otros","Sin definir","Ninguna infracción","0"
"80","GUSTAVO J. NAVARRO NIETO","PEPE CASTELLANO","04/01/2016","14:00","3","1","Jefatura","Colisión","No cumplir la señal de 'Stop'","Ninguna infracción","0"
"81","AVDA. DE MESA Y LOPEZ","PRESIDENTE ALVEAR","04/10/2016","18:50","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"82","CTRA. GRAL. DEL NORTE","CASTILLO DE MATA","04/01/2016","11:15","2","0","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"83","PASEO DE TOMAS MORALES","50","04/01/2016","12:12","3","1","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"84","ROTONDA JUAN SARAZA ORTEGA","","11/01/2016","21:35","2","1","Jefatura","Colisión","No respetar prioridad","Ninguna infracción","0"
"85","GC-1","KM 3.3","12/01/2016","10:10","3","2","Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción","0"
"87","AVDA. JOSE MESA Y LOPEZ","GALICIA","04/01/2016","19:00","2","1","Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción","0"
"89","DOCTOR JUAN MEDINA NEBOT","6","05/01/2016","09:30","2","0","Jefatura","Otros","Conducción distraída","Ninguna infracción","0"
"90","GC-1 DIRECCION NORTE","PARQUE ROMANO","04/01/2016","19:30","2","3","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"91","NERVION","GENERAL MAS DE GAMINDE","12/01/2016","12:20","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
"92","AVDA. PRINCIPE DE ASTURIAS","","04/01/2016","12:15","2","0","Jefatura","Colisión","Conducción distraída","Ninguna infracción","0"
"93","AVDA. JUAN CARLOS I","3","08/01/2016","19:45","2","0","Jefatura","Colisión","Sin definir","Ninguna infracción","0"
