"NOMBRE","TIPO","FISCAL"," FECHA","ENLACE"
"Reglamento General de Mercados Municipales","Reglamento","No Fiscal",04/12/06,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/Reglamento-General-de-Mercados-Municipales.pdf"
"Ordenanza Reguladora de la Venta Ambulante en el Municipio de Las Palmas de Gran Canaria","Ordenanza","No Fiscal",25/06/14,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140814-O.R.VENTA-AMBULANTE.pdf"
"Ordenanza Municipal para la defensa de los/las consumidores/as y usuarios/as del Ayuntamiento de las Palmas de Gran Canaria publicada en el BOP nº 104 del 11 de Agosto de 2010","Ordenanza","No Fiscal",11/08/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/131031-Ord-Mpal-Defensa-Consumidores-y-Usuarios.pdf"
"Ordenanza Reguladora de la Administración Eléctronica del Ayuntamiento de las Palmas de Gran Canaria (BOP Nº 67 24/05/2010)","Ordenanza","No Fiscal",24/05/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140514-ORDENANZA-REGULADORA-DE-ADMINISTRACION-ELECTRONICA.pdf"
"Modificación del Reglamento Orgánico del Consejo Social de la Ciudad de las Palmas de Gran Canaria (BOP Nº 88 9/07/2010)","Reglamento","No Fiscal",09/07/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140512-Mod-reglamento-organico-del-consejo-social-4.1.pdf"
"Reglamento regulador del Servicio de Cementerios y artículos modificados","Reglamento","No Fiscal",09/07/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140512-Mod-reglamento-organico-del-consejo-social-4.1.pdf"
"Normas de Uso y Gestión de los Centros Cívicos y Locales Sociales","Normas","No Fiscal",21/12/94,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/4.3-BOP-21-12-94-Normas-de-Uso-y-Gestion-de-los-Centros-Civicos-y-Locales.pdf"
"Reglamento del Consejo Sectorial de La Mujer","Reglamento","No Fiscal",12/02/96,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/4.4-BOP-19-12-02-96-Reglamento-del-Consejo-Sectorial-de-La-Mujer.pdf"
"Reglamento del Consejo Sectorial de Juventud","Reglamento","No Fiscal",12/02/96,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ONF_CONSEJOJUVENTUD_28.pdf"
"Ordenanza reguladora de las Ayudas para Libros de Texto y Material Didáctico para Alumnos de Educación Infantil y Primaria de Centros Docentes sostenidos con Fondos Públicos del Municipio de Las Palmas de Gran Canaria BOP 34 17.03.06","Ordenanza","No Fiscal",17/03/06,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140612-Ordenanza-ayuda-Libros-BOP-34-17.03.06.pdf"
"Aprobación Definitiva del Reglamento Municipal de Costas y Playas del término Municipal de Las Palmas de Gran Canaria. BOP nº 131 de 25/10/2004","Reglamento","No Fiscal",25/10/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/Reglamento-Playas.pdf"
"Ordenanza municipal reguladora de las instalaciones de radiocomunicaciones","Ordenanza","No Fiscal",15/07/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150122-ORDENANZA_RADIOCOMUNICACIONES.pdf"
"Ordenanza Municipal de Limpieza Pública del término Municipal de Las Palmas","Ordenanza","No Fiscal",26/10/05,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ORDENANZA-MUNICIPAL-DE-LIMPIEZA-PUBLICA-DEL-TERMINO-MUNICIPALok.pdf"
"Norma Constitutiva de la Agencia del Paisaje Urbano de Las Palmas de Gran Canaria","Normas","No Fiscal",27/08/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/6.4-BOP-27-8-97-Norma-Constitutiva-de-la-Agencia-del-Paisaje-Urbano.pdf"
"Ordenanza Municipal para la Gestión de Escombros y Tierras BOP 17.02.99","Ordenanza","No Fiscal",17/02/99,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/6.5-ORDENANZA-MPAL.-PARA-LA-GESTION-DE-ESCOMBROS-Y-TIERRAS-BOP-17.02.99.pdf"
"Ordenanza Municipal de Protección de la Atmósfera frente a la contaminación por formas de la materia BOP 07.06.99","Ordenanza","No Fiscal",07/06/99,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/6.6-ORDENANZA-MPAL.-DE-PROTECCION-ATMOSFERA-FRENTE-A-LA-CONTAMINACION-BOP-07.06.99.pdf"
"Aprobación Definitiva Modificación Ordenanza Municipal de Protección del Medio Ambiente frente a Ruidos y Vibraciones. BOP nº 96 de 12/08/2002","Ordenanza","No Fiscal",12/08/02,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140512-Mod-Ord-Ruidos-y-Vibraciones-6.7.pdf"
"Tarifas Mercalaspalmas 2011","Tarifas","No Fiscal",16/03/11,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150122-Tarifas-Mercalaspalmas-2011.pdf"
"Reglamento General de Mercados Municipales B.O.P. 04.12.2006","Reglamento","No Fiscal",04/12/06,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/Reglamento-General-de-Mercados-Municipales.pdf"
"Mercado del Puerto. Cuotas 2012","Derechos Uso","No Fiscal",25/04/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/120503-Derechos-uso-traspaso-Mercado-del-Puerto-de-la-Luz-2012.pdf"
"Mercado de Vegueta. Cuotas 2012","Derechos Uso","No Fiscal",25/04/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/120503-Derechos-uso-traspaso-Mercado-de-Vegueta-2012.pdf"
"Mercado de Altavista. Cuotas 2012","Derechos Uso","No Fiscal",25/04/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/120503-Derechos-uso-traspaso-Mercado-de-Altavista.pdf"
"Mercado Central. Cuotas 2012","Derechos Uso","No Fiscal",25/04/12," http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/120503-Derechos-uso-traspaso-Mercado-Central-de-Alcaravaneras-2012.pdf"
"Ordenanza municipal por la que se regula el procedimiento de comunicación previa en materia de actividades inocuas","Ordenanza","No Fiscal",04/02/13,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/130627-ONF-Comunicacion-Previa-Actividades-Inocuas.pdf"
"Ordenanza Reguladora del Registro de Solares y Terrenos sin urbanizar BOP 22.10.97","Ordenanza","No Fiscal",22/10/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/8.2-ordenanza-reguladora-del-registro-de-solares-y-terrenos-sin-urbanizar-22-10-97.pdf"
"Ordenanza especial de publicidad e información urbanística BOP 22.04.98","Ordenanza","No Fiscal",22/04/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/8.3-ORDENANZA-MPAL.-DE-PUBLICIDAD-E-INFORMACION-URBANISTICA-BOP-22.04.98.pdf"
"Ordenanza Especial Reguladora de la Limpieza y Vallado de Terrenos y Solares BOP 22.10.97","Ordenanza","No Fiscal",22/10/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/8.4-ORDENANZA-ESPECIAL-REGULADORA-DE-LA-LIMPIEZA-Y-VALLADO-DE-TERRENOS-Y-SOLARES-BOP-22.10.97.pdf"
"Ordenanza especial de conservación y estado ruinoso de las edificaciones","Ordenanza","No Fiscal",17/12/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ONF_ESTADORUINOSOEDIFICACIONES_5.pdf"
"Ordenanza Especial de Formalización de Convenios Urbanísticos. Anexo 127 BOP 22.10.1997","Ordenanza","No Fiscal",22/10/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/8.6-Ordenanza-Especial-de-Formalizacion-de-Convenios-Urbanisticos.pdf"
"Ordenanza de calas y canalizaciones","Ordenanza","No Fiscal",,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/APERTURA-DE-ZANJAS.pdf"
"Reglamento Orgánico Específico de Funcionamiento del Tribunal Económico-Administrativo Municipal","Reglamento","No Fiscal",23/06/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/9.3-REGLAMENTO-ORGANICO-ESPECIFICO-DE-FUNCIONAMIENTO-DEL-TRIBUNAL-ECONOMICO-ADMINISTRATIVO-MUNICIPAL-23-6-04.pdf"
"Reglamento Orgánico de la comisión de Sugerencias y reclamaciones","Reglamento","No Fiscal",31/12/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/BOP-162-REGLAMENTO-ORGANICO-DE-LA-COMISION-DE-SUGERENCIAS-Y-RECLAMACIONES.pdf"
"Reglamento Orgánico de Distritos del Ayuntamiento de Las Palmas de Gran Canaria","Reglamento","No Fiscal",31/12/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/111010-RO-DISTRITOS.pdf"
"Reglamento del Pleno y de las Comisiones del Pleno del Ayuntamiento de Las Palmas de Gran Canaria","Reglamento","No Fiscal",23/07/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/9.4-REGLAMENTO-DEL-PLENO-Y-COMISIONES-DEL-AYTO-DE-LPGC23-7-04.pdf"
"Reglamento Orgánico del Gobierno y la Administración del Ayuntamiento de Las Palmas de G. C","Reglamento","No Fiscal",23/07/04,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/9.5-REGLAMENTO-ORGANICO-DEL-GOBIERNO-y-ADMINISTRACION-DEL-AYTO-DE-LPGC-23-7-04.pdf"
"Reglamento de desarrollo del Organico de la Comision Especial de Sugerencias","Reglamento","No Fiscal",03/01/07,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/9.6-REGLAMENTO-DE-DESARROLLO-DEL-ORGANISMO-DE-LA-COM-ESP.-SUGERENCIAS-3-1-07.pdf"
"Reglamento orgánico de participación ciudadana. BOP nº 63 de 13/05/2011","Reglamento","No Fiscal",13/05/11,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140224-9.7-Reglamento-Participacion-Ciudadana.pdf"
"Ordenanza Municipal Sobre Protección y Tenencia de Animales","Ordenanza","No Fiscal",14/08/13,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/10.1-ORDENANZA-MUNICIPAL-SOBRE-PROTECCION-Y-TENENCIA-DE-ANIMALES-14-08-13.pdf"
"Ordenanza sobre establecimientos de venta de artículos de pirotecnia","Ordenanza","No Fiscal",17/12/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ONF_ARTICULOSPIROTECNIA_11.pdf"
"Reglamento de la Agrupación de Voluntarios de Protección Civil del Excmo.Ayuntamiento de LPGC BOP 24.01.97","Reglamento","No Fiscal",24/01/97,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/11.2-REGLAMENTO-DE-LA-AGRUPACION-DE-VOLUNTARIOS-DE-PROTECCION-CIVIL-DEL-EX.AYTO.LPGC-BOP-24.01.97.pdf"
"Ordenanza específica reguladora de las Prestaciones Económicas para situaciones de Especial Necesidad y/o Emergencia Social del Ayuntamiento de Las Palmas de Gran Canaria","Ordenanza","No Fiscal",22/06/11,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/12.1-ORDENANZA-ESPECIFICA-REGULADORA-DE-LAS-PRESTACIONES-ECONOMICAS-PARA-SITUACIONES-DE-ESPECIAL-NECESIDAD-YO-EMERGENCIA-SOCIAL-22-6-111.pdf"
"Reglamento Municipal de Voluntariado Social BOP 21.09.94","Reglamento","No Fiscal",21/09/94,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/12.2-REGLAMENTO-MPAL-DE-VOLUNTARIADO-SOCIAL-BOP-21.09.94.pdf"
"Reglamento Municipal del Servicio de Ayuda a Domicilio. ANEXO BOP 08.04.94","Reglamento","No Fiscal",08/04/94,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/12.3-REGLAMENTO-MPAL-DEL-SERV.-DE-AYUDA-A-DOMICILIO-ANEXO-08-04-94.pdf"
"Reglamento de normas para el albergue municipal","Reglamento","No Fiscal",08/04/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ONF_ALBERGUEMUNICIPAL_30.pdf"
"Ordenanza reguladora del servicio de inspección de rentas y exacciones","Ordenanza","No Fiscal",12/06/91,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150122-Ordenanza-de-Rentas-y-Exacciones.pdf"
"Ordenanza de Tráfico","Ordenanza","No Fiscal",04/04/11,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/Ordenanza-de-Trafico.pdf"
"Reglamento de Transporte de Mercancías en Vehículos Ligeros provistos de Licencia Municipal BOP 17.06.98","Reglamento","No Fiscal",17/06/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/14.2-REGLAMENTO-DE-TRANSPORTE-DE-MERCANCIAS-EN-VEHICULOS-LIGEROS-PROVISTOS-DE-LICENCIA-MPAL-BOP-17.06.98.pdf"
"Ordenanza del Servicio Urbano de Taxi de Las Palmas de Gran Canaria","Ordenanza","No Fiscal",10/01/14,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ORDENANZA-SERVICIO-URBANO-TAXI.pdf"
"Ordenanza municipal reguladora de la ocupación de la vía pública con terrazas","Ordenanza","No Fiscal",27/07/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/130627-ONF-Ocupacion-Via-Publica-Terrazas.pdf"
"Ordenanza de señalización y balizamiento de obras en vía pública","Ordenanza","No Fiscal",11/02/87,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150122-ONF_SENALIZACION_BALIZACIONBALIZAMIENTOVIAPUBLIC_22.pdf"
"Ordenanza Reguladora de la Publicidad Exterior","Ordenanza","No Fiscal",19/02/14,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140423-BOP-19-2-14-Ordenanza-Publicidad-Exterior.pdf"
"Vía pública, convivencia","Ordenanza","No Fiscal",,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ORDENANZA-GENERAL-DE-CONVIVENCIA-CIUDADANA-Y-VIA-PUBLICA.pdf"
"Ordenanza fiscal reguladora de las contribuciones especiales por mejora y entretenimiento del servicio de extinción de incendios","Ordenanza","Fiscal",15/06/92,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/MEJORA-Y-ENTRETENIMIENTO-DEL-SERVICIO-DE-EXTINCION-DE-INCENDIOS.pdf"
"Ordenanza fiscal reguladora de las contribuciones especiales de carácter general","Ordenanza","Fiscal",06/10/89,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/CONTRIBUCIONES-ESPECIALES-DE-CARACTER-GENERAL.pdf"
"Modificación de la Ordenanza Fiscal Reguladora del Impuesto Municipal sobre Vehículos de Tracción Mecánica del Ayuntamiento de las Palmas de Gran Canaria","Ordenanza","Fiscal",29/01/14,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140616-Modificacion-Ordenanza-IVTM.pdf"
"Ordenanza fiscal reguladora del impuesto sobre actividades económicas","Ordenanza","Fiscal",27/12/13,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/BOP-166-IAE.pdf"
"Ordenanza fiscal reguladora del Impuesto sobre el incremento de valor de los terrenos de naturaleza urbana","Ordenanza","Fiscal",09/11/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/INCREMENTO-DE-VALOR-DE-LOS-TERRENOS-DE-NATURALEZA-URBANA.pdf"
"Ordenanza fiscal reguladora del Impuesto sobre construcciones, instalaciones y obras","Ordenanza","Fiscal",09/11/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150120-ORDENANZA-FISCAL-ICIO.pdf"
"Ordenanza Fiscal Reguladora del Impuesto sobre Bienes Inmuebles","Ordenanza","Fiscal",07/12/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/110615-ORDENANZA-FISCAL-REGULADORA-IBI.pdf"
"Ordenanza reguladora del precio por el servicio de impartición del primer ciclo de educación infantil","Ordenanza","Fiscal",03/09/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/Ordenanza-reguladora-del-precio-por-el-servicio-de-imparticion-del-primer-ciclo-de-educacion-infantil.pdf"
"Modificación de la ordenanza fiscal 3A-1 reguladora de la tasa por aprovechamiento especial del dominio público local como consecuencia del estacionamiento limitado","Ordenanza","Fiscal",28/03/14,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/140328-Ordenanza-Estacionamiento.pdf"
"Ordenanza fiscal reguladora de la tasa por utilización privativa o aprovechamiento especial del dominio público municipal, constituido a favor de empresas explotadoras o prestadoras de servicios de telefonía móvil.","Ordenanza","Fiscal",23/12/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150122-Uso-PRIVATIVO-O-ESPECIAL-DEL-DOMINIO-PUBLICO-Mpal-Telefonia-Movil.pdf"
"Ordenanza fiscal reguladora de la tasa por utilización del teatro Pérez Galdós","Ordenanza","Fiscal",18/12/08,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/UTILIZACION-DEL-TEATRO-PEREZ-GALDOS.pdf"
"Ordenanza fiscal reguladora de la tasa por utilización del Edificio Miller","Ordenanza","Fiscal",20/11/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/UTILIZACION-DEL-EDIFICIO-MILLER.pdf"
"Ordenanza fiscal reguladora de la tasa por ocupación del suelo y vuelo de la vía pública con instalaciones publicitarias","Ordenanza","Fiscal",21/03/03,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/OCUPACION-DEL-SUELO-CON-INSTALACIONES-PUBLICITARIAS.pdf"
"Ordenanza fiscal reguladora de la tasa por ocupación del subsuelo, suelo y vuelo de la vía pública.","Ordenanza","Fiscal",21/03/03,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/OCUPACION-DEL-SUBSUELO.pdf"
"Ordenanza fiscal reguladora de la tasa por ocupación del dominio público local con motivo del ejercicio de actividades comerciales, mercantiles o industriales.","Ordenanza","Fiscal",,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/OCUPACION-DEL-DOMINIO-PUBLICO-LOCAL-CON-MOTIVO-DEL-EJERCICIO-DE-ACTIVIDADES-COMERCIALES.pdf"
"Ordenanza fiscal reguladora de la tasa por ocupación de terrenos de uso público con mercancías, materiales de construcción, escombros, vallas, puntales, asnillas, andamios y otras instalaciones.","Ordenanza","Fiscal",20/11/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150123-OCUPACION-DE-TERRENOS-DE-USO-PUBLICO-CON-MERCANCIAS.pdf"
"Ordenanza fiscal reguladora de la tasa por ocupación de las playas del término municipal con hamacas y embarcaciones","Ordenanza","Fiscal",20/11/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/OCUPACION-DE-LAS-PLAYAS-DEL-TERMINO-MUNICIPAL-CON-HAMACAS-Y-EMBARCACIONES.pdf"
"Ordenanza fiscal reguladora de la tasa por entradas de vehículos a través de las aceras y reservas de vía pública para aparcamiento exclusivo, parada de vehículos o carga y descarga de mercancías de cualquier clase.","Ordenanza","Fiscal",07/12/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ENTRADAS-DE-VEHICULOS-A-TRAVES-DE-LAS-ACERAS-Y-RESERVAS-DE-VIA-PUBLICA-PARA-APARCAMIENTO-EXCLUSIVO.pdf"
"Ordenanza fiscal reguladora de la tasa por apertura de zanjas, calicatas y calas en terrenos de uso público local cualquier remoción de pavimentos o acera en la vía pública","Ordenanza","Fiscal",20/11/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/APERTURA-DE-ZANJAS.pdf"
"Ordenanza Fiscal Reguladora de la Tasa por prestación del servicio de Grúa y Depósito","Ordenanza","Fiscal",08/06/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/151005-OF-Tasa-retirada-grua-vehiculos.pdf"
"Ordenanza Fiscal Reguladora de la Tasa por prestación del servicio de Basuras y Residuos Sólidos Urbanos","Ordenanza","Fiscal",08/06/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/120612-Ordenanza-fiscal-basura-comercial.pdf"
"Ordenanza fiscal reguladora de la tasa por prestación de servicios funerarios en los cementerios municipales","Ordenanza","Fiscal",27/12/10,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/CEMENTERIOS-0036_TEXTO-DEFINITIVO_en-vigor-para-2011.pdf"
"Ordenanza fiscal reguladora de la tasa por prestación del servicio de vertedero municipal.","Ordenanza","Fiscal",07/12/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/SERVICIO-DE-VERTEDERO-MUNICIPAL.pdf"
"Ordenanza fiscal reguladora de la exacción de la tasa por prestación del servicio de prevención y extinción de incendios","Ordenanza","Fiscal",20/11/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150123-OF-Exaccion-SERVICIO-DE-PREVENCION-Y-EXTINCION-DE-INCENDIOS.pdf"
"Ordenanza fiscal reguladora de la tasa por prestación del servicio de depósito municipal.","Ordenanza","Fiscal",18/12/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/SERVICIO-DE-DEPOSITO-MUNICIPAL.pdf"
"Ordenanza fiscal reguladora de la tasa por prestación del servicio de balnearios municipales.","Ordenanza","Fiscal",18/12/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/SERVICIO-DE-BALNEARIOS-MUNICIPALES.pdf"
"Ordenanza fiscal reguladora de la tasa por prestacíon del servicio de actividades socio culturales y deportivas","Ordenanza","Fiscal",01/03/06,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/SERVICIO-DE-ACTIVIDADES-SOCIO-CULTURALES-Y-DEPORTIVAS.pdf"
"Ordenanza fiscal reguladora de la tasa por expedición de documentos que expida o de que entiendan la Administración o Autoridades Municipales, a instancia de parte","Ordenanza","Fiscal",05/11/12,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/TASA-Expedicion-Documentos.pdf"
"Ordenanza fiscal reguladora de la tasa por depuración de aguas residuales.","Ordenanza","Fiscal",02/10/09,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/DEPURACION-DE-AGUAS-RESIDUALES.pdf"
"Ordenanza fiscal reguladora de la tasa por concesión de licencias y autorizaciones de auto-taxis y demás vehículos de alquiler.","Ordenanza","Fiscal",18/12/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/150120-CONCESION-DE-LICENCIAS-Y-AUTORIZACIONES-DE-AUTOS.pdf"
"Ordenanza fiscal reguladora de la tasa por realización de actuaciones singulares de regulación y control del tráfico por la policía local.","Ordenanza","Fiscal",18/12/98,"http://www.laspalmasgc.es/export/sites/laspalmasgc/.galleries/documentos-normativa/ACTUACIONES-SINGULARES-DE-REGULACION-Y-CONTROL-DEL-TRAFICO-POR-LA-POLICIA-LOCAL.pdf"
