"PERÍODO","TIPOS SUMINISTRO","IMPORTE INICIAL","IMPORTE DEVUELTO","IMPORTE A CERTIFICAR"
"ENERO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","544.468,47 €","85.103,20 €","459.365,27 €"
"ENERO 2013","RESTO DE INSTALACIONES MUNICIPALES","298.845,27 €","100.141,69 €","198.703,58 €"
"ENERO 2013","TOTALES","843.313,74 €","185.244,89 €","658.068,85 €"
"FEBRERO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","344.234,56 €","79.453,79 €","264.780,77 €"
"FEBRERO 2013","RESTO DE INSTALACIONES MUNICIPALES","145.308,30 €","10.424,73 €","134.883,57 €"
"FEBRERO 2013","TOTALES","489.542,86 €","89.878,52 €","399.664,34 €"
"MARZO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","425.440,58 €","91.458,60 €","333.981,98 €"
"MARZO 2013","RESTO DE INSTALACIONES MUNICIPALES","218.040,10 €","73.349,60 €","144.690,50 €"
"MARZO 2013","TOTALES","643.480,68 €","164.808,20 €","478.672,48 €"
"ABRIL 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","330.149,83 €","34.048,22 €","296.101,61 €"
"ABRIL 2013","RESTO DE INSTALACIONES MUNICIPALES","175.276,35 €","20.454,72 €","154.821,63 €"
"ABRIL 2013","TOTALES","505.426,18 €","54.502,94 €","450.923,24 €"
"MAYO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","340.290,88 €","56.331,38 €","283.959,50 €"
"MAYO 2013","RESTO DE INSTALACIONES MUNICIPALES","171.320,10 €","4.406,10 €","166.914,00 €"
"MAYO 2013","TOTALES","511.610,98 €","60.737,48 €","450.873,50 €"
"JUNIO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","243.124,25 €","13.764,91 €","229.359,34 €"
"JUNIO 2013","RESTO DE INSTALACIONES MUNICIPALES","185.546,08 €","41.155,60 €","144.390,48 €"
"JUNIO 2013","TOTALES","428.670,33 €","54.920,51 €","373.749,82 €"
"JULIO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","285.467,08 €","15.239,04 €","267.082,58 €"
"JULIO 2013","RESTO DE INSTALACIONES MUNICIPALES","72.105,59 €","-","75.251,05 €"
"JULIO 2013","TOTALES","357.572,67 €","15.239,04 €","342.333,63 €"
"AGOSTO 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","242.515,52 €","10.734,99 €","231.780,53 €"
"AGOSTO 2013","RESTO DE INSTALACIONES MUNICIPALES","194.786,40 €","2.510,76 €","192.275,64 €"
"AGOSTO 2013","TOTALES","437.301,92 €","13.245,75 €","424.056,17 €"
"SEPTIEMBRE 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","378.695,38 €","42.546,06 €","336.149,32 €"
"SEPTIEMBRE 2013","RESTO DE INSTALACIONES MUNICIPALES","148.441,04 €","12.940,15 €","135.500,89 €"
"SEPTIEMBRE 2013","TOTALES","527.136,42 €","55.486,21 €","471.650,21 €"
"OCTUBRE 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","277.058,33 €","17.951,92 €","259.106,41 €"
"OCTUBRE 2013","RESTO DE INSTALACIONES MUNICIPALES","169.707,50 €","4.419,10 €","165.288,40 €"
"OCTUBRE 2013","TOTALES","446.765,83 €","22.371,02 €","424.394,81 €"
"NOVIEMBRE 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","557.579,28 €","0,00 €","557.579,28 €"
"NOVIEMBRE 2013","RESTO DE INSTALACIONES MUNICIPALES","232.260,99 €","0,00 €","232.260,99 €"
"NOVIEMBRE 2013","TOTALES","789.840,27 €","0,00 €","789.840,27 €"
"DICIEMBRE 2013","ALUMBRADO PÚBLICO Y SEMÁFOROS","197.652,75 €","37.479,53 €","160.173,22 €"
"DICIEMBRE 2013","RESTO DE INSTALACIONES MUNICIPALES","116.393,61 €","744,42 €","115.649,19 €"
"DICIEMBRE 2013","TOTALES","314.046,36 €","38.223,95 €","275.822,41 €"
