"DILIG","LUGAR","ALTURA_DE","FECHA","HORA","VEHICULOS","HERIDOS","DESTINO","COLISION","INFR_COND","INFR_PEAT","DENUNCIAS"
4641,"LOMO LA PLANA","24, LOCAL 8",02/12/2011,"17:19",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4642,"AVDA. HOYA DE LA GALLINA",,02/12/2011,"17:50",2,1,"Jefatura","Colisión","No cumplir la señal de 'Ceda el Paso'","Ninguna infracción",0
4643,"ENTRADA TUNEL SAN JOSE","SUBIDA DIRECCION",03/12/2011,"11:30",1,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4644,"TINGUARO","20",02/12/2011,"14:00",1,1,"Jefatura","Atropello","Sin infracción","Cruzar la vía antirreglamentariamente",0
4645,"BUENOS AIRES","TRIANA",02/12/2011,"09:45",1,1,"Jefatura","Atropello","Sin infracción","Cruzar la vía antirreglamentariamente",0
4646,"LEON Y CASTILLO","291",02/12/2011,"23:05",1,0,"Jefatura","Colisión","Otros factores o infracciones","Ninguna infracción",0
4647,"ANTONIA MARIA MANRIQUE","4",02/12/2011,"16:30",2,0,"Jefatura","Colisión","Sin infracción","Ninguna infracción",0
4648,"ACCESO TUNEL SAN JOSE","DIRECCION SUBIDA",03/12/2011,"11:30",1,2,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4649,"ROTONDA LAS BRUJAS","INCORPORACION GC-31",03/12/2011,"13:11",1,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4650,"GLORIETA SUBIDA BARRIO DE SAN JUAN","PARTE BAJA GC-197",03/12/2011,"09:45",2,0,"Jefatura","Colisión","Sin definir","Ninguna infracción",0
4651,"ROTONDA DOCTOR ALEJANDRO RAMIREZ JIMENEZ",,04/12/2011,"13:10",2,0,"Jefatura","Colisión","No mantener el intervalo seg.","Ninguna infracción",0
4652,"GC-1","AVDA. JUAN XXIII",04/12/2011,"13:00",1,0,"Jefatura","Colisión","Estado o condición de la vía","Ninguna infracción",0
