"TITULO","TEMATICA","AUTOR","FECHA"
"Descendimiento de la Cruz","    Artes Plásticas. Pintura. Religiosa","    Atribuido a Manuel Ponce de León","C. 1842-1845"
"Retrato de la reina Isabel II","    Artes Plásticas. Pintura. Retrato","    Manuel Ponce de León y Falcón","    C.1845"
"Retrato de Santiago Bravo de Laguna y Muxica","    Artes Plásticas. Pintura. Retrato","    Amaranto Martínez de Escobar","    1855"
"Retrato del rey Amadeo I","    Artes Plásticas. Pintura. Retrato","    Anónimo","    1871"
"Retrato del rey Alfonso XII","    Artes Plásticas. Pintura. Retrato","    Isidoro González Romero. Retocado probablemente por Francisco Suárez León","    C. 1875"
"Retrato de la Reina María Cristina y Alfonso XIII niño","    Artes Plásticas. Pintura. Retrato","    Nicolás Massieu y Falcón","    1888"
"Carga del ejército español en la guerra de Cuba","    Artes Plásticas. Pintura de Historia","    José Cusachs y Cusachs","    1889"
"Vista del Puerto de La Luz y La Ciudad de Las Palmas de Gran Canaria. ""Puerto del Refugio"".","    Artes Plásticas. Pintura. Paisaje Marítimo","    Eliseo Meifrén Roig"," C. 1897-1899"
"Retrato de Camille Saint - Saëns","    Artes Plásticas. Pintura. Retrato","    Manuel González Méndez","    1900"
"Decoración del techo del distribuidor de la Casa Palacio Rodríguez Quegles","    Artes Plásticas. Pintura. Mitológica","    Abel Cabrera","    1902"
"Retrato de Alfonso XIII","    Artes Plásticas. Pintura. Retrato","    Néstor Martín - Fernández de la Torre","    1904"
"Ruinas de Roma","    Artes Plásticas. Pintura. Paisaje","    Juan Botas y Ghirlanda"," C. 1905 - 1907"
"Nápoles","    Artes Plásticas. Pintura. Paisaje","    Juan Botas y Ghirlanda"," C. 1905 - 1907"
"Retrato de Don José de Perojo y Figueras","    Artes Plásticas. Pintura. Retrato","    Santiago Tejera Quesada","    26 - 4 - 1908"
"Retrato de Don Cristóbal del Castillo y Manrique de Lara","    Artes Plásticas. Pintura. Retrato","    Santiago Tejera Quesada","    1910 (abril)"
"Retrato de Don Juan de León y Castillo","    Artes Plásticas. Pintura. Retrato","    Santiago Tejera Quesada","    1912"
"Retrato del poeta Tomás Morales","    Artes Plásticas. Pintura. Retrato","    Juan Carló","    1919"
"Retrato de Don Agustín Millares Carló","    Artes Plásticas. Pintura. Retrato","    Nicolás Massieu y Matos","    C. 1926"
