CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"miguel sarmiento (altura del paseo madrid)","03/03/2012","8/12",""
"victor hugo nº34","18/02/2012","8/12",""
"eduardo benitez gonzalez ( entre almirante benitez inglott y plaza obispo frias )","29/02/2012","",""
"leon y castillo nº637","06/03/2012","8/12","06/03/2012"
"29 de abril entre Cirilo moreno y montevideo","13/03/2012","",""
"juan de mayorga 12","13/03/2012","9 a 13","13/03/2012"
"enrique arroyo 11-13","14/03/2012","9 a 13","14/03/2012"
"murgaentre paseo de t. morales senador castillo o0livares","15/03/2012","9-13","15/03/2012"
"terrero  9-13","14/03/2012","variado",""
"victor hugo nº10","09/03/2012","9/13",""
"carretera de tamaraceite","17/03/2012","9-17","17/03/2012"
"gago couthino  8","15/03/2012","9,30-132,30","15/03/2012"
"pasion  23","19/03/2012","9-13","19/03/2012"
"lucas fernandez navarro entre gral vives y secretario artiles","19/03/2012","variado",""
"general vives entre lucas fdez navarro y cirilo moreno","19/03/2012","8-12",""
"jerusalen 67","20/03/2012","10.00 14,00","20/03/2012"
"rosarito","27/03/2012","",""
"siloe nº 5","23/03/2012","",""
"gaspar (fonde de saco)","23/03/2012","",""
"sagasta 2","27/03/2012","9/13","27/03/2012"
"churruca entre republica dominicana y simancas","28/03/2012","9-13","28/03/2012"
"gravina republica dominicana","28/03/2012","9-13","28/03/2012"
"obispo tavira 27","29/03/2012","8/12","29/03/2012"
"juan de mayorga  12","28/03/2012","8-12","28/03/2012"
"lope  de vega 3","31/03/2012","9-13","31/03/2012"
"manuel gonzalez martin  2","04/04/2012","8-12",""
"alamo 18","10/04/2012","",""
"salvador cuyas ( entre sagasta y albareda)","17/04/2012","8/12","20/04/2012"
"galileo 21","14/04/2012","9/13","14/04/2012"
"portugal nº70","18/04/2012","8,30/12,30","18/04/2012"
"sagasta entre alfredo l jones y padre cueto.","28/04/2012","8/12","05/05/2012"
"zaragoza del 1 al 6","07/05/2012","",""
"domingo guerra del rio nº125","30/04/2012","8,00/12,00",""
"perú nº38","02/05/2012","8/12","02/05/2012"
"alcalde francisco hernandez gonzalez entre  dom. Dorestes y lopez botas","05/05/2012","8-18","05/05/2012"
"barcelona  entre galicia gral mas de gaminde 24","08/05/2012","9-13","08/05/2012"
"blasco ibañez10","09/05/2012","8/12",""
"adelfas  s/n","11/05/2012","9,30-13,30","11/05/2012"
"obispo encinas entre t. morales angel guimera","14/05/2012","8-12","14/05/2012"
"el salvador entre secretario pad. Simamcas","14/05/2012","",""
"obispo codina","23/05/2012","09,15/10,15",""
"leon tostoi nº22","19/05/2012","8/20",""
"Colombia, entre el cid y gravina","22/05/2012","9-13","22/05/2012"
"junco entre drago y manzanilla","23/05/2012","8-20","23/05/2012"
"drago entre bambu y plaza de la ascencion","23/05/2012","8-20","23/05/2012"
"juan rodriguez quegles entre almi be. In  igan. De lara","23/05/2012","8-12","29/05/2012"
"dr jose guerra navarro esq. Ramal gc-1","23/05/2012","8-19","29/05/2012"
"la adelfa, s/n","28/05/2012","9-13","28/05/2012"
"severo ochoa","31/05/2012","22/06","31/05/2012"
"termino municipal","04/06/2012","24","31/12/2012"
"termino municipal","04/06/2012","22/06",""
"termino municipal","04/06/2012","22/06","31/12/2012"
"termino municipal","04/06/2012","22/06","31/12/2012"
"termino municipal","04/06/2012","22/06","31/12/2012"
"cirilo moreno  30","01/08/2012","9-13",""
"rosario 4 ( accediendo por la callle garcia tello)","08/06/2012","8/12",""
"terreno 6","12/06/2012","8:30/12:30",""
"drago s/n","19/06/2012","9/13","19/06/2012"
"nicolas estevanez (entre leon y castillo y simon bolivar )y simon bolivar (entre nicolas estevanez y el marino)","19/06/2012","",""
"perez del toro (entre bernardino de lezcano y obispo encina)","16/06/2012","8/12",""
"obispo cervera","19/06/2012","",""
"gerona","21/06/2012","","22/06/2012"
"sao","21/06/2012","8/18",""
"campoamor 5","27/06/2012","09:30/13:30","27/06/2012"
"velarde 18","","24","23/06/2012"
"perez del toro 26","23/06/2012","24","23/06/2012"
"muelle las palmas ( carril del paso deprimido hacia la avenida)","23/06/2012","8/20","23/06/2012"
"carretera atamaraceite las torres","27/06/2012","8/20","29/06/2012"
"paseo de san jose 30","02/07/2012","8/12","02/07/2012"
"general Jose antonio gutierrez mellado, s/n","","9-13",""
"varias calles","04/07/2012","22-6,00",""
"blas de lezo  123","16/07/2012","9,30-13,30",""
"pasion  34","29/06/2012","8,30-12,30",""
"antonio martel rodriguez  5","11/07/2012","8-18","11/07/2012"
"realidad  11","11/07/2012","9-13",""
"realidad  11","12/07/2012","9-13","13/07/2012"
"luis antunez manuel g. martin anexo plaza de l. antunez","17/07/2012","24- 4,00","17/07/2012"
"toledo  s/n","10/07/2012","8-12",""
"rosario  s/n","10/07/2012","8-12",""
"tomas de iriarte  4","13/07/2012","8-12",""
"paseo de san jose interior","17/07/2012","9-13",""
"JOAQUIN BLUME  105","02/08/2012","11-15",""
"COLMEMENARES ENTRE ALONSO ALVARADO Y LEON Y CASTILLO","06/08/2012","8-12",""
"ROSARIO  4","08/08/2012","8-12",""
"TOLEDO, 4","09/08/2012","11-14",""
"PAVIA (ENTRE NUMANCIA Y LA AVDA INDUSTRIAL JOSE SANCHEZ PEÑATE) BARRIO DE GUANARTE","14/08/2012","",""
"la naval, 24-28 (entre faro y lujan perez)","13/08/2012","24","17/08/2012"
"cirilo ,oreno17","15/08/2012","8-12",""
"carretera de almatriche  132","17/08/2012","9-12",""
"garcia tello  5","21/08/2012","15-19",""
"gabriel miro  26","28/08/2012","9-13",""
"rosario  4","29/08/2012","8-12",""
"becquer  2","04/09/2012","9-13",""
"panama 31altura velarde","30/08/2012","9-13",""
"tomas de iriarte obispo rabadan niñez de la peña","29/08/2012","8-18",""
"tomas de iriarte entre obispo rabadan nuñez de la peña","28/08/2012","8-12",""
"blasco ibañez  10","30/08/2012","8-12",""
"adelfa, s/n","31/08/2012","8-12","31/08/2012"
"realidad, 11","31/08/2012","15-19",""
"LA NAVAL, ENTRE ARTEMI SEMIDAN Y BENECHARO 143","31/08/2012","8-20",""
"santiago rusiñol (entre pio XII y brasil)","07/09/2012","",""
"el salvador","06/09/2012","8-12",""
"PERU ALTURA DE SIMANCAS 38","11/09/2012","8 A 12","12/09/2012"
"obispo rabadán, 58","13/09/2012","",""
"pintor felo monzon entre j. carlos 1 y borreras","14/09/2012","24 horas","18/09/2012"
"cirilo moreno","19/09/2012","",""
"domingo j. navarro  3040m2","24/09/2012","8,30 a 12,30","24/09/2012"
"doctor grau bassas 18-20","29/09/2012","9 a 17 horas","29/09/2012"
"domingo guerra del rio","27/09/2012","10a12","27/09/2012"
"franchy roca entre grAU BASAS Y TOMAS MILLER","26/09/2012","8 A 12","28/09/2012"
"montevideo (altura de secretario artiles 41-45","01/10/2012","9 a 13","01/10/2012"
"lopez botas 48","27/09/2012","",""
"maestro francisco vicente gonzalez 52","04/10/2012","10 a 14","04/10/2012"
"doña pura de bascaran (entre angel guimera y paseo de tomas morales)","08/10/2012","8 a 12",""
"alejandro hidalgo","03/10/2012","16 a 20",""
"obispo cervera","10/10/2012","8,30 a 12",""
"tomas miller esquina alfredo l. jones","06/10/2012","8 a 20","06/10/2012"
"tomas miller (tramo alfredo l. jones-fernando guanarteme)","08/10/2012","22 a 6","15/10/2012"
"bernardo de la torre (luis morote-fgernando guanarteme)","08/10/2012","",""
"tomas miller (fernando guanarteme-montevideo)","08/10/2012","22 a 6 horas","15/10/2012"
"galicia 28 entre netor de la torre v avda jose mesa y lopez","09/10/2012","8-20",""
"galicia entre nestor de la torre avda josr mesa y lopez","09/10/2012","6-22",""
"aguadulce entre luis dorestes silva y leon y castillo","09/10/2012","14-18",""
"terrero 9 - 13","16/10/2012","",""
"obispo ravira  27","16/10/2012","8-12",""
"","18/10/2012","a partir de las 22,30",""
"ISLA DE CUBA ENTRE JOAQUIN COSTA Y TOMAS MILEER","23/10/2012","10-14",""
"ALARCON  7","25/10/2012","8-12",""
"alemania entre manuel gozalea martin ingeniero salinas","25/10/2012","15-19",""
"interseccion colombia gravina","26/10/2012","8-12",""
"dolores de la rocha clinica san roque","27/10/2012","8-12",""
"aristides briand entre kant y galileo","01/11/2012","",""
"peru nº38","31/10/2012","",""
"hortensia","02/11/2012","",""
"reina mercedes trasera","","",""
"bravo murillo","14/11/2012","23,00-6,00",""
"faya  8","13/11/2012","22,006,00",""
"fernando guanarteme  202-204","13/11/2012","22,00-6,00",""
"agustin millares sall esq. Mahon","13/11/2012","22,00-6,00",""
"doña pura de bascaran entre paseo de tomas morales angel guimera 9","15/11/2012","8,30-12,30",""
"aguadulce entre molino de viento y leon y castillo alfred nobel  27","01/01/2013","variado",""
"vergara enrte el salvador u peru  9","19/11/2012","8-12",""
"pacho guerra  35","20/11/2012","8-12",""
"doña perfecta nº 98","21/11/2012","08:30-12:30","21/11/2012"
"pilarillo seco entre mayor de triana y francisco gourie","23/11/2012","8-12",""
"PORTUGAL 53","26/11/2012","22,00-6,00",""
"AGUSTIN MILLARES SALL ESQ. MAHON","26/11/2012","22,00-6,00",""
"29 de abril entre cirilo moreno y wenceslao perdomo","24/11/2012","11-15",""
"reyes catolicos tramo entre espiritu santo doctor chil","26/11/2012","24",""
"doctor chil tramo reyes catolicos alcalde francisco gonzalez","26/11/2012","24",""
"la perla 29","","",""
"padre cueto entre albareda y eduardo benot n 6","27/11/2012","08.30 a 12.30","27/11/2012"
"alfredo l. jones entre albareda y eduardo benot","13/01/2013","08.30 a 12.30","13/01/2013"
"EL SALVADOR, 33","30/11/2012","",""
"avda de alcalde  francisco hernandez gonzalez juan e. dorestes 12-16","30/11/2012","10-14",""
"VICTOR HUGO, 34","30/11/2012","",""
"italia 52-63","01/12/2012","22,00-6,00",""
"republica dominicana  15","05/12/2012","22,00-6,00",""
"PANAMÁ, 16","","11-15H",""
"SAGASTA ENTRE ALFREDO L. JONES Y PADRE CUETO","22/12/2012","8-12",""
"SAGASTA ENTRE PADRE CUETO Y SALVADOR CUYAS","22/12/2012","8-12",""
"DULCINEA DEL TOBOSO ENTRE ALONSO QUIJANO Y SANSO CARRASCO","10/12/2012","8-12",""
"leon y castillo esq. Avda jose mesa y lopez  traseroa l y cas 290","01/12/2012","22-,,0-6,00",""
"victor hugo  34","12/12/2012","9-13",""
"cirilo moreno entre leon y castillo y presidente alvear","21/03/2015","8-12","21/03/2015"
"general vives entre nicolas estevanez y ripoche 78","21/03/2015","8 a 12","21/03/2015"
"bernardo de la torre entre luis morote  nicolas estevanez","19/01/2013","8-12",""
"mas de gaminde 27esq. Victor hugo","05/12/2012","22,00-6,00",""
"varias calles de guanarteme e isleta","14/09/2013","",""
"varias calles isleta y guanarteme","06/09/2013","20,30 21,30",""
"jose franchy roca entre joaquin costa y tomas milloer  28","27/08/2013","9-13",""
"voluntad a la altura pio coronado  17","26/08/2013","9-13",""
"tenteniguada  30","26/08/2013","8-12","29/08/2013"
"camino de viejo de san lorenzo","20/12/2012","10-12",""
"vergara  9","26/12/2012","8-12",""
"isla de montaña de clara 5","27/12/2012","9/13","27/12/2012"
"cayetana manrique  entre fernando guanarteme y luchana","26/12/2012","9-13",""
"cirilo moreno  17","28/12/2012","",""
"profesor lozano  14","12/01/2013","",""
"calle trasversales calleleon castillo plaza la feria","29/12/2012","8-12",""
"simancas 84","20/12/2012","24","22/12/2012"
"FRANCISCO HERNANDEZ GONZALEZ 16","04/01/2013","09/13","04/01/2013"
"dolores de la rocha","05/01/2013","",""
"EL CALLAO( FRENTE FERNANDO GUANARTEME Y REPUBLICA DOMINICANA7)","09/01/2013","9/13","09/01/2013"
"alemania ( entre ingeniero salinas y alfreda calderon )","11/01/2013","11:30a15:30","11/01/2013"
"CAMINO DE TENOYA ( PLAZA DE NUESTRA SEÑORA DE LA ENCARNACION )72AL 3","16/01/2013","8/20",""
"pavia 28","24/01/2013","",""
"francisco de espinosa 16","23/01/2013","09 a 13",""
"nispero residencia el palmeral","24/01/2013","",""
"EUSEBIO NAVARRO","24/01/2013","",""
"HOYA DEL ROSARIO","30/01/2013","",""
"29 de abril (entre nicolas estevanezy ripoche) (","04/02/2013","9/14","04/02/2013"
"GAMONAL 7","01/02/2013","9/13",""
"rosario( acceso desde la calle por la calle garcia tello)","04/02/2013","8/12",""
"cayetana manrique","04/02/2013","",""
"VALENCIA ( ENTRE VICTOR HUGO Y PI Y MARGAL)46","06/02/2013","9/13","06/02/2013"
"umiaga entre betartemi y malfu","04/02/2013","24","31/12/2013"
"goya 15","05/02/2013","8:30/12:30",""
"goya entre miguel angel y juan de juani","05/02/2013","14/18","05/02/2013"
"paseo de madrid entre leon  y castillo angel guimera 4","08/02/2013","8,30-12,30",""
"Diego Miguel nº10","13/02/2013","9-13",""
"los martinez de escobar  uruguay","12/02/2013","8-20",""
"vacaguare andamana roque nublo","12/02/2013","8-20",""
"francisco de espinosa  16","19/02/2013","9-13",""
"cirilo moreno entre gral vives y secretario artiles 21","18/02/2013","16-20",""
"hoya del rosario","20/02/2013","9/13","21/02/2013"
"leon xiio con dulce nombre","25/02/2013","",""
"cayetana manrique","25/02/2013","",""
"domingo guerra del rio","01/03/2013","8-15",""
"abogado manuel hernandez gonzalez  39","04/03/2013","10-14",""
"domingo doreste","04/03/2013","24horas","04/06/2013"
"santiago 17","05/03/2013","09 a 13","08/03/2013"
"valencia (a la altura de victor hugo), 46","","09-13",""
"domingo j. navarro 30","08/03/2013","8 18","08/03/2013"
"san agustin  6-7","11/03/2013","8-12",""
"terrero  9-13","12/03/2013","",""
"cirilo moreno, 20","18/03/2013","9-13","18/03/2013"
"Portugal (entre galileo y viriato)","13/03/2013","24",""
"benecharo entre la naval y juan rejon","16/03/2013","8-15","16/03/2013"
"gamonal entre faeo y lujan perez","20/03/2013","",""
"alfredo calderon entre mas de gaminde y concepcion arenal","21/03/2013","9-13",""
"GARCIA MORARTO Nº29","20/03/2013","09:00 A 13:00",""
"tenteniguada entre coronel rocha y rosiana  23","21/03/2013","9-13",""
"san agustin  3-5","25/03/2013","14-18","25/03/2013"
"parraco francisco rodriguez rodridrguez  15","01/04/2013","8-12",""
"colmenares  3","03/04/2013","8-12",""
"Don Quijote de La Mancha","03/04/2013","",""
"eusebio navarro (entre jaime balmes y murga)","09/04/2013","",""
"marques de muni  9","15/04/2013","9-13",""
"emilio zola, 16 (Entre cirilo moreno y montevideo)","10/04/2013","8:30-12:30",""
"suarez naranjo entre pamochamoso y carvajal","12/04/2013","",""
"olof palme entre secretario padilla y fdo. Guanarteme","16/04/2013","24 horas",""
"camino a tenoya  s/n","17/04/2013","8,30-20","16/05/2013"
"ramon y cajal, 15","19/04/2013","9/13","19/04/2013"
"RAMAL SALIDA A PRIMERO DE MAYO POR BENARDINO CORREA VIERA","18/04/2013","",""
"arauz 11","24/04/2013","8/20","26/04/2013"
