APARCAMIENTO,"PRECIO MINUTO","PÉRDIDA TICKET"
TEJON,"0,0106","7,6076"
ALCAZABA,"0,0106","7,6076"
CAMAS,"0,0106","7,6076"
ANDALUCIA,"0,0106","7,6076"
CERVANTES,"0,0106","7,6076"
SALITRE,"0,0106","7,6076"
