EJERCICIO,PROGRAMA,DESCRIPCIÓN
2014,"0","DEUDA PÚBLICA"
2014,"01","DEUDA PúBLICA"
2014,"011","DEUDA PúBLICA"
2014,"0110","DEUDA PÚBLICA"
2014,"1","SERVICIOS PÚBLICOS BÁSICOS"
2014,"13","SEGURIDAD Y MOVILIDAD CIUDADANA"
2014,"130","ADMóN GRAL DE LA SEGURIDAD Y PROTECCIóN CIVIL"
2014,"132","SEGURIDAD Y ORDEN PúBLICO"
2014,"1320","POLICIA LOCAL"
2014,"133","ORDENACION DEL TRAFICO Y DEL ESTACIONAMIENTO"
2014,"1330","CONTROL DE TRAFICO"
2014,"1331","SDAD. MUNICIPAL DE APARCAMIENTOS Y SERVICIOS,S.A."
2014,"134","PROTECCIóN CIVIL"
2014,"1340","SERVICIOS DE PROTECCION CIVIL"
2014,"135","SERVICIO DE EXTINCION DE INCENDIOS"
2014,"1350","SERVICIO DE EXTINCION DE INCENDIOS Y SALVAMENTO"
2014,"15","VIVIENDA Y URBANISMO"
2014,"150","ADMINISTRACIóN GENERAL DE VIVIENDA Y URBANISMO"
2014,"1500","ADMINISTRACION GENERAL DE VIVIENDA"
2014,"1501","ADMINISTRACION GENERAL DE URBANISMO"
2014,"151","URBANISMO"
2014,"1510","GERENCIA MPAL.  URBANISMO, OBRAS E INFRAEST."
2014,"1511","OBRAS Y PROYECTOS"
2014,"1512","SERV.CONSERVACION Y MANTENIMIENTO DE CARACTER GRAL"
2014,"152","VIVIENDA."
2014,"1520","INSTITUTO MUNICIPAL DE LA VIVIENDA"
2014,"1521","SOCIEDAD MUNICIPAL DE VIVIENDAS DE MALAGA SL"
2014,"153","ACCESO A LA VIVIENDA"
2014,"1530","ACCESO A LA VIVIENDA"
2014,"154","FOMENTO DE LA EDIFICACION PROTEGIDA"
2014,"1540","FOMENTO DE LA EDIFICACION PROTEGIDA"
2014,"155","VIAS PUBLICAS"
2014,"1550","VIAS PUBLICAS"
2014,"16","BIENESTAR COMUNITARIO"
2014,"161","SANEAMIENTO, ABASTECIMIENTO Y DISTRIBUCIóN AGUA"
2014,"1610","ABASTECIMIENTO Y DISTRIBUCION DE AGUAS"
2014,"1611","SANEAMIENTO Y AGUAS RESIDUALES"
2014,"162","RECOGIDA, ELIMINACIóN, TRATAMIENTO DE RESIDUOS"
2014,"1620","RECOGIDA DE BASURAS"
2014,"1621","ELIMINACION DE RESIDUOS(VERTEDERO MUNICIPAL)"
2014,"163","LIMPIEZA VIARIA."
2014,"1630","LIMPIEZA URBANA"
2014,"164","CEMENTERIO Y SERVICIOS FUNERARIOS"
2014,"1640","CEMENTERIOS Y SERVICIOS FUNERARIOS"
2014,"165","ALUMBRADO PúBLICO"
2014,"1650","ALUMBRADO PUBLICO"
2014,"169","OTROS SERVICIOS DE BIENESTAR COMUNITARIO"
2014,"1690","MATADEROS"
2014,"17","MEDIO AMBIENTE"
2014,"170","ADMINISTRACION GENERAL DE MEDIO AMBIENTE"
2014,"1700","ADMINISTRACION GENERAL DE MEDIO AMBIENTE"
2014,"171","PARQUES Y JARDINES"
2014,"1710","PARQUES Y JARDINES"
2014,"1711","PATRONATO BOTANICO MPAL. CIUDAD DE MALAGA"
2014,"172","PROTECCIóN Y MEJORA DEL MEDIO AMBIENTE"
2014,"1720","PROTECCION DEL MEDIO AMBIENTE"
2014,"179","OTRAS ACTUACIONES RELACIONADAS CON MEDIO AMBIENTE"
2014,"1790","MANTENIMIENTO DE PLAYAS"
2014,"1799","OTRAS ACTUACIONES RELACIONADAS CON MEDIO AMBIENTE"
2014,"2","ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL"
2014,"21","PENSIONES"
2014,"211","PENSIONES Y OTRAS PRESTACIONES"
2014,"2110","PENSIONES AL PERSONAL PASIVO"
2014,"22","OTRAS PREST ECONóMICAS A FAVOR DEL EMPLEADO"
2014,"221","OTRAS PREST ECONóMICAS A FAVOR DEL EMPLEADO"
2014,"2210","OTRAS PREST. ECONóMICAS A FAVOR DEL EMPLEADO"
2014,"23","SERVICIOS SOCIALES Y PROMOCIóN SOCIAL"
2014,"230","ADMINISTRACION GENERAL DE SERVICIOS SOCIALES"
2014,"2300","ADMINISTRACION GENERAL DE BIENESTAR SOCIAL"
2014,"231","ACCIóN SOCIAL"
2014,"2310","ASISTENCIA MEDICO-FARMACEUTICA DE BENEFICENCIA"
2014,"2311","ATENCIONES DOMICILIARIAS"
2014,"2312","PROG. SECTORIALES Y OTRAS PREST. DE ASIST. SOCIAL"
2014,"2313","PROG. COMUNITARIOS Y GENERALES DE ACCION SOCIAL"
