FECHA, PRODUCCION
2013-01-01, 28.34
2013-01-02, 40.33
2013-01-03, 45.37
2013-01-04, 43.98
2013-01-05, 45.82
2013-01-06, 47.04
2013-01-07, 47.1
2013-01-08, 45.97
2013-01-09, 37.96
2013-01-10, 35.61
2013-01-11, 42.5
2013-01-12, 41.04
2013-01-13, 47.39
2013-01-14, 48.89
2013-01-15, 44.14
2013-01-16, 10.34
2013-01-17, 44.23
2013-01-18, 22.37
2013-01-19, 20.52
2013-01-20, 33.64
2013-01-21, 49.56
2013-01-22, 19.38
2013-01-23, 53.24
2013-01-24, 11.14
2013-01-25, 8.43
2013-01-26, 48.79
2013-01-27, 40.04
2013-01-28, 39.25
2013-01-29, 51.67
2013-01-30, 50.42
2013-01-31, 52.02
2013-02-01, 53.38
2013-02-02, 52.6
2013-02-03, 53.82
2013-02-04, 53.86
2013-02-05, 51.83
2013-02-06, 54.82
2013-02-07, 55.9
2013-02-08, 56.77
2013-02-09, 56.2
2013-02-10, 50.59
2013-02-11, 34.28
2013-02-12, 50.86
2013-02-13, 56.79
2013-02-14, 53.97
2013-02-15, 55.74
2013-02-16, 52.04
2013-02-17, 28.93
2013-02-18, 34.18
2013-02-19, 4.32
2013-02-20, 32.31
2013-02-21, 48.05
2013-02-22, 13.2
2013-02-23, 48.11
2013-02-24, 59.53
2013-02-25, 61.62
2013-02-26, 58.76
2013-02-27, 47.84
2013-02-28, 36.45
2013-03-01, 54.67
2013-03-02, 30.8
2013-03-03, 34.55
2013-03-04, 12.82
2013-03-05, 23.16
2013-03-06, 35
2013-03-07, 21.66
2013-03-08, 54.99
2013-03-09, 18.4
2013-03-10, 33.34
2013-03-11, 43.62
2013-03-12, 15.14
2013-03-13, 62.33
2013-03-14, 67.79
2013-03-15, 60.72
2013-03-16, 10.85
2013-03-17, 23.22
2013-03-18, 65.55
2013-03-19, 8.35
2013-03-20, 62.36
2013-03-21, 63.85
2013-03-22, 24.14
2013-03-23, 24.05
2013-03-24, 37.47
2013-03-25, 33.89
2013-03-26, 42.06
2013-03-27, 38.64
2013-03-28, 52.34
2013-03-29, 41.66
2013-03-30, 61.79
2013-03-31, 18.6
2013-04-01, 55.39
2013-04-02, 53.29
2013-04-03, 18.5
2013-04-04, 28.38
2013-04-05, 30.21
2013-04-06, 70.15
2013-04-07, 61.36
2013-04-08, 62.18
2013-04-09, 47.03
2013-04-10, 64.04
2013-04-11, 58.57
2013-04-12, 59.24
2013-04-13, 64.56
2013-04-14, 63.01
2013-04-15, 58.5
2013-04-16, 62.73
2013-04-17, 44.58
2013-04-18, 53.34
2013-04-19, 41.42
2013-04-20, 44.35
2013-04-21, 60.46
2013-04-22, 52.55
2013-04-23, 63.06
2013-04-24, 60.75
2013-04-25, 52.85
2013-04-26, 46.54
2013-04-27, 50.28
2013-04-28, 37.63
2013-04-29, 30.79
2013-04-30, 51.66
2013-05-01, 66.99
2013-05-02, 52.01
2013-05-03, 39.61
2013-05-04, 64.74
2013-05-05, 64.22
2013-05-06, 58.42
2013-05-07, 53.72
2013-05-08, 55.4
2013-05-09, 57.22
2013-05-10, 44.17
2013-05-11, 46.44
2013-05-12, 21.2
2013-05-13, 42.39
2013-05-14, 50.83
2013-05-15, 44.56
2013-05-16, 49.9
2013-05-17, 34
2013-05-18, 42.18
2013-05-19, 43.92
2013-05-20, 48.79
2013-05-21, 39.17
2013-05-22, 56.98
2013-05-23, 57.14
2013-05-24, 57.77
2013-05-25, 60.87
2013-05-26, 51.46
2013-05-27, 46.97
2013-05-28, 57.78
2013-05-29, 64.61
2013-05-30, 63.12
2013-05-31, 62.09
2013-06-01, 62.6
2013-06-02, 62.62
2013-06-03, 62.11
2013-06-04, 60.13
2013-06-05, 59.4
2013-06-06, 53.71
2013-06-07, 49.32
2013-06-08, 41.55
2013-06-09, 58.82
2013-06-10, 57.51
2013-06-11, 57.74
2013-06-12, 57.77
2013-06-13, 57.28
2013-06-14, 56.73
2013-06-15, 56.57
2013-06-16, 56.82
2013-06-17, 38.47
2013-06-18, 54.59
2013-06-19, 55.46
2013-06-20, 58.32
2013-06-21, 48.3
2013-06-22, 58.04
2013-06-23, 57.52
2013-06-24, 57.35
2013-06-25, 35.41
2013-06-26, 57.14
2013-06-27, 57.6
2013-06-28, 57.46
2013-06-29, 56.78
2013-06-30, 55.07
2013-07-01, 55.48
2013-07-02, 55.38
2013-07-03, 54.83
2013-07-04, 54.78
2013-07-05, 56.62
2013-07-06, 57.74
2013-07-07, 57.89
2013-07-08, 56.76
2013-07-09, 55.45
2013-07-10, 54.27
2013-07-11, 55.45
2013-07-12, 36.12
2013-07-13, 58.18
2013-07-14, 55.96
2013-07-15, 54.89
2013-07-16, 56.75
2013-07-17, 55.78
2013-07-18, 55.85
2013-07-19, 55.28
2013-07-20, 54.54
2013-07-21, 54.24
2013-07-22, 54.99
2013-07-23, 55.68
2013-07-24, 55.05
2013-07-25, 53.65
2013-07-26, 54.76
2013-07-27, 39.47
2013-07-28, 49.44
2013-07-29, 56.54
2013-07-30, 55.46
2013-07-31, 54
2013-08-01, 52.04
2013-08-02, 55.89
2013-08-03, 54.08
2013-08-04, 55.53
2013-08-05, 54.88
2013-08-06, 56.47
2013-08-07, 58.43
2013-08-08, 60.2
2013-08-09, 59.83
2013-08-10, 60.33
2013-08-11, 60.22
2013-08-12, 58.48
2013-08-13, 56.76
2013-08-14, 56.29
2013-08-15, 58.69
2013-08-16, 57.52
2013-08-17, 55.79
2013-08-18, 55.17
2013-08-19, 57.55
2013-08-20, 57.04
2013-08-21, 56.02
2013-08-22, 52.88
2013-08-23, 54.5
2013-08-24, 55.31
2013-08-25, 53.6
2013-08-26, 54.07
2013-08-27, 49.52
2013-08-28, 51.94
2013-08-29, 42.63
2013-08-30, 54.14
2013-08-31, 58.14
2013-09-01, 59.12
2013-09-02, 60.17
2013-09-03, 60.23
2013-09-04, 59.34
2013-09-05, 59.51
2013-09-06, 55.12
2013-09-07, 14.86
2013-09-08, 52.4
2013-09-09, 59.33
2013-09-10, 59.09
2013-09-11, 59.7
2013-09-12, 58.22
2013-09-13, 27.45
2013-09-14, 33.36
2013-09-15, 57.75
2013-09-16, 45.94
2013-09-17, 56.84
2013-09-18, 57.33
2013-09-19, 56.4
2013-09-20, 55.96
2013-09-21, 56.04
2013-09-22, 57.23
2013-09-23, 57.3
2013-09-24, 54.15
2013-09-25, 57.04
2013-09-26, 54.26
2013-09-27, 27.76
2013-09-28, 18.11
2013-09-29, 31.98
2013-09-30, 45.57
2013-10-01, 56.46
2013-10-02, 54.44
2013-10-03, 37.68
2013-10-04, 44.74
2013-10-05, 57.25
2013-10-06, 48.49
2013-10-07, 51.59
2013-10-08, 55.53
2013-10-09, 54.76
2013-10-10, 53.9
2013-10-11, 55.11
2013-10-12, 53.62
2013-10-13, 56.12
2013-10-14, 45.84
2013-10-15, 49.65
2013-10-16, 53.88
2013-10-17, 39.34
2013-10-18, 48.78
2013-10-19, 45.88
2013-10-20, 52.18
2013-10-21, 49.7
2013-10-22, 8.76
2013-10-23, 23.26
2013-10-24, 40.1
2013-10-25, 32.26
2013-10-26, 9.84
2013-10-27, 49.61
2013-10-28, 47.74
2013-10-29, 53.59
2013-10-30, 52.34
2013-10-31, 52.93
2013-11-01, 53.12
2013-11-02, 52.73
2013-11-03, 42.51
2013-11-04, 34.62
2013-11-05, 52.21
2013-11-06, 49.88
2013-11-07, 41.79
2013-11-08, 41.71
2013-11-09, 50.99
2013-11-10, 44.06
2013-11-11, 48.02
2013-11-12, 48.19
2013-11-13, 36.68
2013-11-14, 44.99
