FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa6,127,Sala de exposiciones del Archivo Municipal,"En términos generales, la sala se programa con exposiciones relativas a las actividades del Área de Cultura (Feria del Libro, Feria de Málaga, Festival de Cine de Málaga exposiciones didácticas, fotográficas, conmemorativas de temas históricos de Málaga, de colecciones de interés, etc.). También hace como mínimo una exposición al año de fondos documentales del Archivo Municipal.
Recibe exposiciones itinerantes del Ministerio de Cultura, y otras instituciones.
En ningún caso entrará en el terreno propio de las galerías de arte, por ser un espacio gratuito y sin ánimo de lucro. Sólo se programan exposiciones de artistas plásticos o de fotógrafos que sean de verdadero interés (artístico , histórico etc.) para la ciudad a juicio del Área de Cultura del Ayuntamiento
",POINT (372900.72209541994 4064442.811560362)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa5,6228,Sala de exposiciones GAIA Museum,"Sala de exposiciones permanente. La Evolución de la Vida. Un viaje en el tiempo, descubriendo los dinosaurios, el mar prehistórico, la evolución humana, los neandertales, ...",POINT (367262.16460434406 4065549.3045419487)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa4,261,"Biblioteca Pública Municipal ""Salvador Rueda"" (Ciudad Jardín)","Biblioteca Pública Municipal que se encuentra en el distrito 3. Es un  centro vivo de cultura que pretende:

- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (372904.14740904985 4066837.331299235)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa3,109,"Biblioteca Pública Municipal ""Emilio Prados"" (Palo)","Biblioteca Pública Municipal que se encuentra en el distrito 2. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (378873.47320958116 4064766.7297324687)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa2,111,"Biblioteca Pública Municipal ""Alberto Jiménez Fraud"" (Palma-Palmilla)","Biblioteca Pública Municipal que se encuentra en el distrito 5. Es un centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (372416.8705934638 4066920.0432417816)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa1,112,"Biblioteca Pública Municipal ""Dámaso Alonso"" (Jardín de Málaga)","Biblioteca Pública Municipal que se encuentra en el distrito 3. Es un  centro vivo de cultura que pretende:<br>
- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>

- Información general.
- Referencia e información bibliográfica.
- Préstamo individual.
- Préstamo interbibliotecario.
- Lectura en sala: Infantil-Adultos.
- Hemeroteca. 
- Reserva de documentos.
- Reprografía.
- Disideratas.
- Consulta CD-ROM.
- Sección Local.
- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
- Multimedia.
- Formación de usuarios.
- Actividades de dinamización y fomento a la lectura.",POINT (373460.65434503835 4067991.96417877)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-aa0,118,"Biblioteca Pública Municipal ""José Moreno Villa"" (Churriana)","Biblioteca Pública Municipal que se encuentra en el Distrito 8 - Churriana. Es un  centro vivo de cultura que <b>pretende:</b>
<li>Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<li> Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<li> Estimular el interés en el conocimiento y favorecer el aprendizaje.


<b>Se ofrece:</b>
<li>Información general.
<li>Referencia e información bibliográfica.
<li>Préstamo individual.
<li>Préstamo interbibliotecario.
<li>Lectura en sala: Infantil-Adultos.
<li>Hemeroteca. 
<li>Reserva de documentos.
<li>Reprografía.
<li>Disideratas.
<li>Consulta CD-ROM.
<li>Sección Local.
<li>Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<li> Multimedia.
<li>Formación de usuarios
<li>Actividades de dinamización y fomento a la lectura.",POINT (365918.27060296136 4058785.81914414)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9f,117,"Biblioteca Pública Municipal ""María Zambrano"" (Huelin)","Biblioteca Pública Municipal que se encuentra en el distrito 7. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (371584.11059096677 4062725.900569583)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9e,110,"Biblioteca Pública Municipal ""Miguel de Cervantes"" (Bailén-Las Chapas)","Biblioteca Pública Municipal que se encuentra en el distrito 4. Es un  centro vivo de cultura que pretende:<br>
<br>- Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<br>- Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<br>- Estimular el interés en el conocimiento y favorecer el aprendizaje.
<br><br>
<b>Se ofrece:</b>
<br>
<br>- Información general.
<br>- Referencia e información bibliográfica.
<br>- Préstamo individual.
<br>- Préstamo interbibliotecario.
<br>- Lectura en sala: Infantil-Adultos.
<br>- Hemeroteca. 
<br>- Reserva de documentos.
<br>- Reprografía.
<br>- Disideratas.
<br>- Consulta CD-ROM.
<br>- Sección Local.
<br>- Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<br>- Multimedia.
<br>- Formación de usuarios
<br>- Actividades de dinamización y fomento a la lectura.",POINT (371660.2315424113 4064941.796866115)
da_salaExposiciones.fid--7b4b556b_15ed4cde20f_-a9d,115,"Biblioteca Pública Municipal ""Narciso Díaz de Escovar"" (El Torcal)","Biblioteca Pública Municipal que se encuentra en el distrito 7. Es un  centro vivo de cultura que <b>pretende</b>:
<li>Ofertar servicios que garanticen la igualdad de oportunidades en las fuentes de información, formación y ocio.
<li>Crear y consolidar los hábitos de lectura y fomentar entre la población infantil y adulta el uso de las bibliotecas.
<li> Estimular el interés en el conocimiento y favorecer el aprendizaje.

<b>Se ofrece:</b>
<li>Información general.
<li>Referencia e información bibliográfica.
<li>Préstamo individual.
<li>Préstamo interbibliotecario.
<li>Lectura en sala: Infantil-Adultos.
<li>Hemeroteca. 
<li>Reserva de documentos.
<li>Reprografía.
<li>Disideratas.
<li>Sección Local.
<li>Audiovisuales (DVD, Videos, CDs musicales, CD-Rom...)
<li>Multimedia.
<li>Formación de usuarios
<li>Actividades de dinamización y fomento a la lectura.",POINT (370574.983377698 4062643.448142146)
