Nombre,Función,Twitter,Linkedin
D. Francisco de la Torre Prados,Excmo. Sr. Alcalde - Presidente,@pacodelatorrep,franciscodelatorreprados
D. Elí­as Bendodo Benasayag,Concejal,@eliasbendodo,eliasbendodo
D. Damián Caneda Morales,Tte. de Alcalde Delegado del Área de Gobierno de Cultura - Turismo - Deportes - Educación y Juventud,@canedadamian,damián-caneda-morales
Dña. María. del Mar Martí­n Rojo,Tte. de Alcalde Delegada del Área de Economí­a - Hacienda y Personal,@marmartinrojo,
D. Julio Andrade Ruiz,Tte. de Alcalde Delegado del Área de Gobierno Seguridad y Relaciones Institucionales Internacionales,@julioandrade_ru,julio-andrade-ruiz
D. María. Victoria Romero Pérez,Tte. de Alcalde Concejala del Distrito n. 3 - Ciudad Jardí­n,@mariviromero,mariví­-romero-perez
D. Francisco Javier Pomares Fuertes,Teniente de Alcalde Delegado del Área de Gobierno de Derechos Sociales,@fjpomares,francisco-javier-pomares-fuertes
Dña. María. del Mar Torres Casado de Amezúa,Concejala del Distrito n. 5 - Palma-Palmilla,@martorrescasado,mar-torres-casado-de-amezúa
D. Mario Cortés Carballo,Tte. de Alcalde  Delegado del Área de Innovación y Nuevas Tecnologí­as,@mariocortesc,mario-cortés-carballo
Dña. Elisa Pérez de Siles Calvo,Concejala del Distrito n. 4 Bailén-Miraflores,@elisabailen,
D. Carlos Conde O´Donnell,Concejal,@carlosmconde,carlosmconde
D. Luis Verde Godoy,Concejal Delegado de Juventud y Concejal del Distrito n. 9 - Campanillas y del Distrito n. 10 - Puerto de la Torre,@luis_verde,luis-verde-godoy
Dña. Carmen Casero Navarro,Concejala del Distrito n. 2 - Este,@carmen_casero,carmen-casero-navarro
Dña. Gemma del Corral Parra,Concejala de los Distritos n. 1 Centro y n. 11 Teatinos-Universidad,@gemmadelcorral,
D. Raúl Jiménez Jiménez,Teniente de Alcalde Delegado del Área de Gobierno de Medio Ambiente y Sostenibilidad y Concejal del Distrito n. 7. Carretera de Cádiz,@rauljimenezj,raúl-jiménez-jiménez
D. José del Rio Escobar,Concejal del Distrito n. 8 Churriana,@escobar_del,
D. Maria Gámez Gámez,Portavoz del Grupo Municipal Socialista,@maria2gamez,mariagamezgamez
D. Carlos Hernández Pezzi,Concejal,@chpezzi,
D. Francisco Javier Conejo Rueda,Concejal,@paconejo,francisco-javier-conejo-rueda
D. Manuel Hurtado Quero,Concejal,@manuelhurtado08,
D. María. Begoña Medina Sánchez,Concejala,@mariabegoamed,
D. Sergio Jesús Brenes Cobos,Concejal,@sebrenes,
Dña. Lorena Doña Morales,Concejala,@lorena_dona,lorena-málaga
D. Eduardo Zorrilla Díaz,Portavoz del Grupo Municipal de Izquierda Unida,@zorrillaeduardo,
Dña. María. Antonia Morillas González,Concejala,@antoniamorillas,
Dña. Ana García Sempere,Concejala,@anagsempere,
