Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
11/04/2014,ESTE,HACIENDA PAREDES,CL ARCANGELES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,ESTE,PARQUE CLAVERO,CL ANITA DELGADO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,ESTE,CASTILLO SANTA CATALINA,CL MIGUEL INDURAIN Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,ESTE,SANTA PAULA MIRAMAR,CL MONTE MIRAMAR Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,ESTE,CLAVERO,CMNO SANTA PAULA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,BAILEN-MIRAFLORES,LA CORTA,CL FAUNO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,PALMA-PALMILLA,LAS VIRREINAS,CL DEBUSSY Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,PALMA-PALMILLA,,Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
11/04/2014,CENTRO,ENSANCHE CENTRO,AV CERVANTES Nr: 4,Actuación Programada,Otro Edificio de Depdencia Mun,Desinsectación,Cucarachas
11/04/2014,BAILEN-MIRAFLORES,PARQUE ARROYO DEL CUARTO,CL JUANITA REINA Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
11/04/2014,CARRETERA DE CADIZ,EL BULTO,PSO ANTONIO MACHADO Nr: 1,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
11/04/2014,CENTRO,OLLETAS,CL ZURBARAN Nr: 32,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
11/04/2014,ESTE,EL MORLACO,CMNO DESVIACION DE LA Nr: 16,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
11/04/2014,TEATINOS-UNIVERSIDAD,EL ROMERAL,CL CARMEN LAFORET Nr: 6,Actuación Programada,PARQUE CANINO,Desinsectación,Indeterminado
11/04/2014,CRUZ DE HUMILLADERO,POL ALAMEDA,CL HONDURAS Nr: 1,Linea 900,Colégio Público,Desratización,Ratas
14/04/2014,ESTE,CERRADO DE CALDERON,CL ALCAPARRON Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
14/04/2014,ESTE,EL MORLACO,PSO CERRADO DE CALDERON Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
14/04/2014,ESTE,EL ROCIO,CL ROCIO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
14/04/2014,ESTE,HACIENDA MIRAMAR,AV MAYORAZGO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
14/04/2014,ESTE,LA TORRECILLA,CL TORRECILLA LA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
14/04/2014,CHURRIANA,POL IND MI MALAGA,CL EMILIO HURTADO Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
14/04/2014,CHURRIANA,SAN JULIAN,CL SITUACION Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
14/04/2014,CHURRIANA,GUADALMAR,CL ROGELIO OLIVA Nr: 1,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
14/04/2014,PALMA-PALMILLA,503 VIVIENDAS,CL DOCTOR BURGOS BRAVO Nr: 55,Ciudadano,Vía Pública,Desinsectación,Pulgas
14/04/2014,CRUZ DE HUMILLADERO,CAMINO DE ANTEQUERA,CL PEDRO ESPINOSA Nr: 18,Linea 900,Vía Pública,Desinsectación,Cucarachas
14/04/2014,ESTE,PINARES DE SAN ANTON,AV SAN ISIDRO Nr: 38,Linea 900,Vía Pública,Desratización,Ratas
14/04/2014,CENTRO,LAGUNILLAS,CL CARRASCO Nr: 10,Linea 900,Vía Pública,Desratización,Ratas
14/04/2014,CAMPANILLAS,COLMENAREJO,CL DUBLIN Nr: 9,Linea 900,Vía Pública,Desinsectación,Moscas
14/04/2014,CIUDAD JARDIN,CIUDAD JARDIN,CL SAN MATIAS Nr: 1,Linea 900,Vía Pública,Desinsectación,Abejas
15/04/2014,PALMA-PALMILLA,LAS ERIZAS,CMNO ERIZAS DE LAS Nr: 5,Actuación Programada,Otro Edificio de Depdencia Mun,Desratización,Ratones;Ratas
