APARCAMIENTO,"DEL MINUTO 0 AL 30","DEL MINUTO 31 AL 60","DEL MINUTO 61 AL 720","DEL MINUTO 721 AL 1440","A PARTIR DE LA HORA 24 A LA HORA 36","A PARTIR DE LA HORA 37 A LA HORA 48","PÉRDIDA TICKET"
"CENTRAL","0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
"SAN JUAN","0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
"C. HAYA","0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
"HUMILLADERO","0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
"EL PALO","0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
