ID;NOMBRE;DESCRIPCION;BAJA
68138;CM01001;1001 SN3990507007-n;0
69840;CM01358;1358 Avda Andalucia;0
70452;CM01407;1407 Nazareno del Paso;0
70605;CM01408;1408 Armengual de la Mota;0
70911;CM01411;1411 Bustamante;0
76458;CM01532;1532 Subida Gibralfaro 9;0
76920;CM01535;1535 Actriz Rosario Pino - Pedro Antonio Alarcón;0
77228;CM01543;1543 Iglesia Buen Pastor - Plaza de la Crucifixión;0
73378;CM01428;1428 Juan de Austria - Ventura Rodriguez;0
73532;CM01430;1430 Doctor Galvez Ginachero - Sevilla;0
73686;CM01432;1432 Alemania - Navalón;0
73994;CM01436;1436 Casas de Campos 1;0
74148;CM01440;1440 Panaderos 31;0
74302;CM01447;1447 Esparteros 2;0
74610;CM01452;1452 Concejal Agustín Moreno 1;0
74764;CM01453;1453 Plaza de la Goleta;0
75226;CM01458;1458 Carrera de Capuchinos 4;0
75688;CM01466;1466 Plaza de las cofradias - Hernán Ruiz;0
70299;CM01406;1406 Hilera;0
71222;CM01401;1401 Comp. Lehmberg Ruiz 28 CC;0
71684;CM01414;1414 Ancha del Carmen 2 - CT743;0
72146;CM01418;1418 Pasillo Mataderos - Cuarteles;0
72300;CM01419;1419 Canales 8;0
75842;CM01526;1526 Lotos;0
75996;CM01528;1528 Camino del Colmenar 71;0
76150;CM01530;1530 Julio Mathias 9;0
76304;CM01531;1531 Ventaja Alta 16;0
76612;CM01533;1533 Camino Gibralfaro 11;0
76766;CM01534;1534 Huerto de los Claveles 15;0
77074;CM01536;1536 Emilio Díaz 4;0
77382;CM01544;1544 Decano Ignacio Alaminos;0
77536;CM01545;1545 Zurbarán 22;0
77690;CM01546;1546 Antonio Linares Pezzi - Parque;0
77998;CM01557;1557 Jardines de Puerta Oscura;0
78152;CM01559;1559 La Coracha - Museo;0
78614;CM01566;1566 Paseo Salvador Rueda 27;0
78768;CM01649;1649 Ovando 1;0
99142;CM02575;2575 Torre de San Telmo 4;0
99604;CM02585;25845 Eugenio Selles 34;0
99912;CM02588;2588 Juan Valera 40;0
101760;CM02618;2618 Rodrigo de Saavedra - Ctra. Almeria;0
101914;CM02619;2619 Algarrobo;0
102068;CM02623;2623 Jardines Alberto Suárez Pipi;0
102222;CM02629;2629 Adolfo Marsillach 5;0
102376;CM02634;2634 Lingüista Manuel Seco;0
102838;CM02643;2643 Carmen López Fernández - 11;0
103146;CM02647;2647 Arq. Alonso Carbonell - CT Sevillana;0
43824;CM01421;1421 Góngora;0
49205;CM01437;1437 Alam.Principal - Pta del Mar;0
43467;CM01399;1399 Peso de la Harina - Mármoles;0
48491;CM01434;1434 Manuel - Agustín Heredia;0
48848;CM01435;1435 Duquesa de Parcent;0
49562;CM01438;1438 Alam.Principal - Torregorda;0
49919;CM01439;1439 Alam.Principal - Tomás Heredia;0
50276;CM01470;1470 Beatas - Casablanca;0
50633;CM01490;1490 San Millán;0
50990;CM01492;1492 Federniz;0
51347;CM01493;1493 Barcenillas;0
51704;CM01514;1514 Rojas;0
52061;CM01515;1515 San Juan Bosco;0
52418;CM01549;1549 Cmno. de los Almendrales ;0
52775;CM01422;1422 Plaza de la Marina;0
70146;CM01405;1405 Jardines de Picasso;0
69993;CM01400;1400 Peso de la Harina 25;0
70758;CM01410;1410 Cerrojo - Hta. del Obispo;0
71376;CM01402;1402 Comp. Lehmberg Ruiz 28 CG;0
71530;CM01412;1412 Avda. Aurora 12;0
71838;CM01415;1415 Eslava - Callejones del Perchel;0
71992;CM01417;1417 Salitre - Aparcamiento;0
72454;CM01420;1420 Virgen de Africa 5;0
72608;CM01542;1542 Cerrojo - Torrecillas;0
72762;CM01423;1423 San Pablo 23;0
72916;CM01424;1424 Zamorano 58;0
73070;CM01425;1425 Jaboneros 13;0
73224;CM01426;1426 Carboneros - Carril;0
73840;CM01433;1433 Manuel Agustín Heredia ;0
74456;CM01448;1448 Escritora Rosa Chacel 14;0
74918;CM01456;1456 Cruz del Molinillo 1;0
75072;CM01457;1457 Tirso de Molina - Alderete;0
75380;CM01462;1462 Refino 2;0
75534;CM01463;1463 Plaza Los Cristos;0
77844;CM01552;1552 Plaza de Bailén;0
78306;CM01563;1563 Las Mimosas 10;0
78460;CM01564;1564 Apamares - CT Sevillana;0
78922;CM01467;1467 Plaza Jesús de la Pasión;0
79076;CM01469;1469 Muro de San Julián;0
79230;CM01474;1474 Cañon 7;0
79384;CM01476;1476 San Juan de Dios - Sancha de Lara;0
79538;CM01481;1481 Paseo de los Curas 1;0
79692;CM01485;1485 La Victoria 64;0
79846;CM01494;1494 Pinosol 18;0
80000;CM01495;1495 Pinosol 32;0
80154;CM01498;1498 General Ibañez 14;0
80308;CM01500;1500 Cristo de la Epidemia 65;0
80462;CM01504;1504 Paco Miranda 18;0
80616;CM01510;1510 Avda Manuel Gorría 26;0
