CONCEPTO,ACUMUILADO
"Nº Cuentas",533
Descargas,4587
"Nº Pagos Rotación Multipark",403
"Nº Pagos Rotación Tarjeta",1957
"Nº Pagos SARE Multipark",1658
"Nº Pagos SARE Tarjeta",12778
