MES,VEHÍCULOS,MOTOS,"DESENGANCHES COBRADOS"
ENERO,1094,39,32
FEBRERO,1038,39,32
MARZO,1220,140,41
ABRIL,1221,44,29
MAYO,1142,50,33
JUNIO,741,63,21
JULIO,968,41,22
AGOSTO,1125,63,27
SEPTIEMBRE,884,49,19
OCTUBRE,1413,40,42
NOVIEMBRE,1079,35,30
DICIEMBRE,832,31,24
