FECHA, PRODUCCION
2013-01-01, 14.06
2013-01-02, 19.24
2013-01-03, 22.09
2013-01-04, 21.25
2013-01-05, 21.53
2013-01-06, 21.97
2013-01-07, 22.11
2013-01-08, 21.92
2013-01-09, 17.89
2013-01-10, 17.05
2013-01-11, 19.52
2013-01-12, 20.35
2013-01-13, 23.42
2013-01-14, 23.45
2013-01-15, 21.98
2013-01-16, 5.39
2013-01-17, 21.73
2013-01-18, 12.97
2013-01-19, 9.19
2013-01-20, 17.83
2013-01-21, 20.87
2013-01-22, 10.55
2013-01-23, 27.01
2013-01-24, 11.16
2013-01-25, 4.8
2013-01-26, 23.08
2013-01-27, 21.2
2013-01-28, 20.3
2013-01-29, 26.46
2013-01-30, 25.87
2013-01-31, 14.89
2013-02-01, 26.88
2013-02-02, 27.74
2013-02-03, 28.02
2013-02-04, 27.59
2013-02-05, 26.89
2013-02-06, 29.17
2013-02-07, 29.05
2013-02-08, 29.34
2013-02-09, 29.15
2013-02-10, 26.99
2013-02-11, 18.36
2013-02-12, 22.51
2013-02-13, 29.58
2013-02-14, 28.54
2013-02-15, 29.24
2013-02-16, 27.61
2013-02-17, 15.64
2013-02-18, 17.8
2013-02-19, 3.05
2013-02-20, 17.61
2013-02-21, 24.54
2013-02-22, 6.57
2013-02-23, 23.51
2013-02-24, 31.37
2013-02-25, 32.1
2013-02-26, 31.45
2013-02-27, 23.56
2013-02-28, 18.77
2013-03-01, 32.05
2013-03-02, 17.64
2013-03-03, 17.06
2013-03-04, 8.1
2013-03-05, 11.19
2013-03-06, 15.22
2013-03-07, 8.82
2013-03-08, 28.24
2013-03-09, 10.86
2013-03-10, 17.16
2013-03-11, 24.96
2013-03-12, 5.93
2013-03-13, 35.5
2013-03-14, 35.96
2013-03-15, 33.41
2013-03-16, 6.45
2013-03-17, 11.17
2013-03-18, 35.21
2013-03-19, 4.34
2013-03-20, 34.1
2013-03-21, 33.89
2013-03-22, 15.65
2013-03-23, 14.43
2013-03-24, 18.98
2013-03-25, 20.51
2013-03-26, 20.03
2013-03-27, 16.98
2013-03-28, 26.34
2013-03-29, 22.08
2013-03-30, 29.51
2013-03-31, 9.2
2013-04-01, 28.44
2013-04-02, 24.78
2013-04-03, 8.63
2013-04-04, 16.31
2013-04-05, 13.87
2013-04-06, 37.5
2013-04-07, 33.33
2013-04-08, 34.18
2013-04-09, 29.42
2013-04-10, 34.34
2013-04-11, 31.6
2013-04-12, 32.4
2013-04-13, 34.85
2013-04-14, 33.73
2013-04-15, 29.98
2013-04-16, 33.78
2013-04-17, 20.7
2013-04-18, 29.15
2013-04-19, 27.94
2013-04-20, 16.14
2013-04-21, 23
2013-04-22, 24.58
2013-04-23, 31.56
2013-04-24, 33.8
2013-04-25, 27.22
2013-04-26, 25.39
2013-04-27, 28.02
2013-04-28, 20.51
2013-04-29, 18.17
2013-04-30, 25.66
2013-05-01, 35.99
2013-05-02, 29.25
2013-05-03, 19.73
2013-05-04, 34.7
2013-05-05, 34.37
2013-05-06, 32.12
2013-05-07, 28.28
2013-05-08, 30.56
2013-05-09, 31.96
2013-05-10, 24.52
2013-05-11, 27.64
2013-05-12, 8.63
2013-05-13, 22.75
2013-05-14, 27.49
2013-05-15, 26.98
2013-05-16, 24.8
2013-05-17, 17.56
2013-05-18, 25.57
2013-05-19, 27.18
2013-05-20, 26.43
2013-05-21, 19.89
2013-05-22, 34.05
2013-05-23, 31.55
2013-05-24, 30.94
2013-05-25, 30.65
2013-05-26, 20.88
2013-05-27, 24.76
2013-05-28, 33.53
2013-05-29, 35.72
2013-05-30, 35.02
2013-05-31, 34.45
2013-06-01, 34.83
2013-06-02, 34.63
2013-06-03, 34.46
2013-06-04, 33.67
2013-06-05, 32.78
2013-06-06, 29.93
2013-06-07, 27.78
2013-06-08, 24.96
2013-06-09, 30.96
2013-06-10, 32.43
2013-06-11, 32.29
2013-06-12, 32.19
2013-06-13, 31.98
2013-06-14, 31.52
2013-06-15, 31.33
2013-06-16, 31.28
2013-06-17, 23.72
2013-06-18, 28.21
2013-06-19, 32.47
2013-06-20, 32.52
2013-06-21, 28.15
2013-06-22, 32.5
2013-06-23, 32.35
2013-06-24, 32.26
2013-06-25, 19.2
2013-06-26, 30.57
2013-06-27, 32.4
2013-06-28, 32.08
2013-06-29, 31.54
2013-06-30, 30.51
2013-07-01, 30.47
2013-07-02, 30.67
2013-07-03, 30.46
2013-07-04, 30.95
2013-07-05, 31.7
2013-07-06, 32.26
2013-07-07, 31.59
2013-07-08, 31.75
2013-07-09, 30.71
2013-07-10, 29.95
2013-07-11, 30.54
2013-07-12, 21.64
2013-07-13, 32.4
2013-07-14, 31.05
2013-07-15, 31.58
