FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_331d,2685,POINT (372656.7960856811 4065069.7279283656),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Pasillo Guimbarda,1<br /> <div style='width: 400px'> <b>Desde:</b> 17-11-2015 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte sentido SUR obras metro. Itinerarios alternativos: 1)Av. Fátima,c/Mármoles,c/Armengual de la Mota; y 2)Av. Arroyo de los Ángeles,c/Mazarredo,c/Don Juan de Austria,c/Jaboneros,c/Armengual de la Mota<br /> <b>Notas:</b> UTE Metro Atarazanas </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_331e,2686,POINT (372685.82311944675 4064445.132096627),AFECTACION," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Manuel josé García Caparrós,1<br /> <div style='width: 400px'> <b>Desde:</b> 17-11-2015 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte sentido NORTE obras metro. Alternativa por Alameda Colón,Puente Tetuán,Nazareno del Paso,Hilera,Pte. Esperanza y Pasillo Santa Isabel.<br /> <b>Notas:</b> UTE Metro Atarazanas </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_331f,2687,POINT (372345.3288543428 4064423.906813421),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Puente de Tetuán ,<br /> <div style='width: 400px'> <b>Desde:</b> 17-11-2015 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte sentido ESTE por obras metro.Permitido BUS y TAXI.Itinerario alternativo por Av.Aurora,Pasillo Matadero,Av.Manuel Agustín Heredia,Paseo de los Curas. RESIDENTES por Puente de la Misericorida y Pasaje Linaje.<br /> <b>Notas:</b> UTE Metro Atarazanas </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3320,2688,POINT (372745.8952390688 4064411.8375089266),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Alameda Principal,<br /> <div style='width: 400px'> <b>Desde:</b> 17-11-2015 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> -- - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de la Alameda Principal sentido este por obras de Metro. Permitido Bus,Taxi. Itinerario alternativo: Av. Aurora,Psillo Matadero,Pte Carmen,Muelle Heredia,Pso Curas y los residentes por Pte Misericordia,Pasaje Linaje<br /> <b>Notas:</b> Ute Metro Atarazana </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3321,2689,POINT (371409.097393711 4064006.2787207924),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Gerona,43<br /> <div style='width: 400px'> <b>Desde:</b> 05-10-2017 - <b>Hora inicio:</b> 09:00 <br /> <b>Hasta:</b> 05-10-2018 - <b>Hora fin:</b> 14:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Ocupación de estacionamiento y parte de calzada en c/Gerona,nº43 y en c/Cameros,nº5,para realizar operaciones de carga y descarga de materiales y hormigonado.<br /> <b>Notas:</b> Trabajos de hormigonado: 3 días a la semana. de 09:00 a 14:00. Se deberá habilitar como carril de circulación en c/ Cameros,la zona de estacionamiento de las fincas pares. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3322,2690,POINT (362028.5654364496 4065748.096293565),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Diego Rapela,3<br /> <div style='width: 400px'> <b>Desde:</b> 31-10-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 06-11-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de la calle Diego Rapela a la altura de la finca nº3 para realizar obras de saneamiento<br /> <b>Notas:</b> EMASA </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3323,2691,POINT (373776.5411626716 4065890.3420700766),AFECTACION," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> María,4<br /> <div style='width: 400px'> <b>Desde:</b> 23-06-2016 - <b>Hora inicio:</b> 09:30 <br /> <b>Hasta:</b> 23-02-2018 - <b>Hora fin:</b> 13:30 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de tráfico calle María nº 4 para realizar operaciones de hormigonado y carga y descarga.<br /> <b>Notas:</b> 3 días a la semana,de martes a jueves </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3324,2692,POINT (371224.4730852955 4063741.522787863),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Alfambra,5<br /> <div style='width: 400px'> <b>Desde:</b> 18-01-2017 - <b>Hora inicio:</b> 08:00 <br /> <b>Hasta:</b> 01-02-2017 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Aprovechamiento de los recursos subterráneos,distrito municipal nº 6,cruz de humilladero. Fase II. Ampliación de la red de baldeo de la Unión a c/Reboul y Santa Julia.<br /> <b>Notas:</b> EMASA. Corte de Calle entre el camino de san Rafael y La unión. Prohibición de aparcamiento en ambos lados. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3325,2693,POINT (372510.77201165387 4065748.553078743),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Toledo,1<br /> <div style='width: 400px'> <b>Desde:</b> 17-07-2017 - <b>Hora inicio:</b> <br /> <b>Hasta:</b> 17-03-2018 - <b>Hora fin:</b> <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de tráfico en c/Toledo por motivos de obra Sector Sunc R-R.5 Martiricos.<br /> <b>Notas:</b> Particular. Corte total de calle Toledo y prohibido estacionamiento en línea existente a ambos lados. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3326,2694,POINT (372814.8066999305 4064708.7468899703),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Plaza Enrique García-Herrera,11<br /> <div style='width: 400px'> <b>Desde:</b> 05-05-2017 - <b>Hora inicio:</b> 07:00 <br /> <b>Hasta:</b> 05-01-2018 - <b>Hora fin:</b> 13:00 <br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Autorización de acceso a Plaza Enrique García-Herrera con calle Marqués,para realizar operaciones de carga y descarga. 8061GYP,MA7991CN,0687CJK,4332BYW,4784FGG,MA4835BP.<br /> <b>Notas:</b> Itinerario: Sebastián Souvirón,Moreno Carbonero,Plaza Enrique García-Herrera y salida por Moreno Carbonero. 8 Meses,4 días a la semana,de L a J. Plaza Enrique García: de 7 a 11h. Moreno Carbonero: de 7 a 13h. </hr> ",,,,,-1,-1,-1,0,
da_cortesTrafico.fid--295bdb9_15f6ffaea6c_3327,2695,POINT (372307.3349068872 4064673.473827489),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Don Cristián,10<br /> <div style='width: 400px'> <b>Desde:</b> 16-10-2017 - <b>Hora inicio:</b> 15:00 <br /> <b>Hasta:</b> 16-02-2018 - <b>Hora fin:</b> 20:00 <br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Corte de c/Don Cristián en el tramos comprendido entre c/DOn Ricardo y c/Armengual de la Mota para operaciones de carga y descarga. 4 meses,1 día a la semana,5 horas.<br /> <b>Notas:</b> ROFEZ CONSTRUCCIONES,SL </hr> ",,,,,-1,-1,-1,0,
