FECHA, PRODUCCION
2013-01-01, 10.49
2013-01-02, 14.45
2013-01-03, 15.75
2013-01-04, 15.14
2013-01-05, 15.82
2013-01-06, 16.21
2013-01-07, 16.21
2013-01-08, 15.8
2013-01-09, 13.83
2013-01-10, 13.49
2013-01-11, 14.86
2013-01-12, 13.26
2013-01-13, 16.93
2013-01-14, 16.9
2013-01-15, 15.34
2013-01-16, 4.04
2013-01-17, 15.38
2013-01-18, 6.64
2013-01-19, 7.58
2013-01-20, 10.68
2013-01-21, 17.86
2013-01-22, 6.67
2013-01-23, 18.16
2013-01-24, 4.77
2013-01-25, 3.11
2013-01-26, 17.05
2013-01-27, 13.43
2013-01-28, 12.7
2013-01-29, 17.61
2013-01-30, 17
2013-01-31, 17.33
2013-02-01, 17.59
2013-02-02, 18.27
2013-02-03, 17.24
2013-02-04, 17.69
2013-02-05, 17.13
2013-02-06, 17.27
2013-02-07, 18.26
2013-02-08, 18.47
2013-02-09, 18.18
2013-02-10, 16.05
2013-02-11, 11.22
2013-02-12, 18.58
2013-02-13, 18.57
2013-02-14, 17.65
2013-02-15, 18.47
2013-02-16, 16.84
2013-02-17, 10.18
2013-02-18, 12.27
2013-02-19, 1.62
2013-02-20, 12.25
2013-02-21, 16.45
2013-02-22, 5.1
2013-02-23, 17.97
2013-02-24, 19.73
2013-02-25, 20.71
2013-02-26, 19.73
2013-02-27, 15.57
2013-02-28, 12.49
2013-03-01, 20.37
2013-03-02, 11.28
2013-03-03, 12.69
2013-03-04, 4.31
2013-03-05, 8.83
2013-03-06, 11.93
2013-03-07, 11.44
2013-03-08, 19
2013-03-09, 6.48
2013-03-10, 11.7
2013-03-11, 13.09
2013-03-12, 5.08
2013-03-13, 19.48
2013-03-14, 22.7
2013-03-15, 19.9
2013-03-16, 4.25
2013-03-17, 8.71
2013-03-18, 22.73
2013-03-19, 4.17
2013-03-20, 21.07
2013-03-21, 22.25
2013-03-22, 8.23
2013-03-23, 8.2
2013-03-24, 13.2
2013-03-25, 13.78
2013-03-26, 15.79
2013-03-27, 0
2013-03-28, 0
2013-03-29, 13.13
2013-03-30, 22.48
2013-03-31, 7.02
2013-04-01, 21.67
2013-04-02, 19.69
2013-04-03, 7.02
2013-04-04, 1.62
2013-04-05, 6.89
2013-04-06, 24.7
2013-04-07, 22.42
2013-04-08, 22.97
2013-04-09, 19.23
2013-04-10, 23.14
2013-04-11, 21.29
2013-04-12, 21.66
2013-04-13, 23.3
2013-04-14, 22.86
2013-04-15, 21.19
2013-04-16, 22.85
2013-04-17, 16.04
2013-04-18, 19.26
2013-04-19, 15.62
2013-04-20, 16.67
2013-04-21, 21.88
2013-04-22, 19.2
2013-04-23, 22.97
2013-04-24, 22.21
2013-04-25, 18.89
2013-04-26, 16.5
2013-04-27, 17.92
2013-04-28, 13.59
2013-04-29, 10.77
2013-04-30, 17.8
2013-05-01, 23.98
2013-05-02, 18.29
2013-05-03, 13.17
2013-05-04, 23.1
2013-05-05, 23.21
2013-05-06, 21.44
2013-05-07, 19.25
2013-05-08, 20.9
2013-05-09, 20.34
2013-05-10, 16.19
2013-05-11, 17.24
2013-05-12, 7.68
2013-05-13, 15.98
2013-05-14, 19.08
2013-05-15, 15.58
2013-05-16, 17.39
2013-05-17, 12.29
2013-05-18, 15.55
2013-05-19, 15.5
2013-05-20, 17.14
2013-05-21, 14.22
2013-05-22, 19.36
2013-05-23, 19.93
2013-05-24, 21.01
2013-05-25, 22.49
2013-05-26, 18.81
2013-05-27, 20.23
2013-05-28, 20.55
2013-05-29, 23.58
2013-05-30, 22.88
2013-05-31, 3.18
2013-06-01, 22.85
2013-06-02, 22.79
2013-06-03, 22.53
2013-06-04, 21.84
