FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_papelCarton.fid--295bdb9_15f5b982349_-e76,PAPEL/CARTON,CARGA LATERAL,3200,1,2015-11-26T10:45:26.74,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (371755.0377317434 4064927.886007805)
da_papelCarton.fid--295bdb9_15f5b982349_-e75,PAPEL/CARTON,CARGA LATERAL,3200,1,2015-12-02T10:41:32.257,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (373086.22112045955 4067774.498007259)
da_papelCarton.fid--295bdb9_15f5b982349_-e74,PAPEL/CARTON,CAMPANA,3000,1,2017-01-17T10:41:56.18,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (371752.4339951486 4063381.125226559)
da_papelCarton.fid--295bdb9_15f5b982349_-e73,PAPEL/CARTON,CAMPANA,3000,1,2017-01-26T11:18:02.447,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (367591.5001166384 4067077.1835739613)
da_papelCarton.fid--295bdb9_15f5b982349_-e72,PAPEL/CARTON,CAMPANA,3000,1,2017-03-17T16:44:44.353,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (378839.54091513646 4065458.52753862)
da_papelCarton.fid--295bdb9_15f5b982349_-e71,PAPEL/CARTON,CARGA LATERAL,3200,1,2017-03-17T16:46:20.61,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (370615.9061979197 4061964.522012085)
da_papelCarton.fid--295bdb9_15f5b982349_-e70,PAPEL/CARTON,CAMPANA,3000,1,2017-03-17T20:47:40.513,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (373812.55146086775 4067189.3359595267)
da_papelCarton.fid--295bdb9_15f5b982349_-e6f,PAPEL/CARTON,CARGA LATERAL,3200,1,2017-03-21T10:10:17.643,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (370372.3886595738 4062030.4998298967)
da_papelCarton.fid--295bdb9_15f5b982349_-e6e,PAPEL/CARTON,CAMPANA,3000,1,2017-03-21T10:24:21.68,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (371271.3939899429 4063114.600813098)
da_papelCarton.fid--295bdb9_15f5b982349_-e6d,PAPEL/CARTON,CAMPANA,3000,1,2017-03-21T10:41:35.127,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (371949.6831410049 4063575.1087453957)
da_papelCarton.fid--295bdb9_15f5b982349_-e6c,PAPEL/CARTON,CAMPANA,3000,1,2017-03-21T10:45:20.06,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (371707.03069955466 4063223.787705791)
da_papelCarton.fid--295bdb9_15f5b982349_-e6b,PAPEL/CARTON,CAMPANA,3000,1,2017-05-26T08:26:21.783,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (362022.8694226301 4065302.110774269)
da_papelCarton.fid--295bdb9_15f5b982349_-e6a,PAPEL/CARTON,CAMPANA,3000,1,2017-05-26T08:26:21.783,Contenedor de PAPEL/CARTON de tipo CAMPANA,POINT (362022.8694226301 4065302.110774269)
da_papelCarton.fid--295bdb9_15f5b982349_-e69,PAPEL/CARTON,CARGA LATERAL,3200,1,2017-03-09T21:30:37.19,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (371670.031148049 4065013.0746520143)
da_papelCarton.fid--295bdb9_15f5b982349_-e68,PAPEL/CARTON,CARGA LATERAL,3200,1,2015-11-26T10:48:10.08,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (372006.8038266449 4064936.640410356)
da_papelCarton.fid--295bdb9_15f5b982349_-e67,PAPEL/CARTON,CARGA LATERAL,3200,1,2017-08-31T10:42:30.12,Contenedor de PAPEL/CARTON de tipo CARGA LATERAL,POINT (371940.8812102176 4064938.3723729113)
