FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b1e,1567,Galería Alfredo Viñas,<br>,POINT (373231.93393476773 4065031.545879797)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b1d,1568,Galería Benedito,<br>,POINT (373268.07290768117 4064998.8314282773)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b1c,1569,Galería Cartel Fine Art,<br>,POINT (373281.1200477176 4064673.519069588)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b1b,1573,Taller Gravura,<br>,POINT (372865.3942402019 4064770.675254497)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b1a,1575,Galería JM (Javier Marín),<br>,POINT (372848.804024474 4064135.10772728)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b19,6148,Galería de Arte Isabel Hurley,Galería de arte.,POINT (374175.12458483793 4064843.4122047056)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b18,1571,GACMA,<br>,POINT (369201.603391053 4061471.456961252)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b17,1579,Galería Arte y Diseño,<br>,POINT (373348.0405854381 4064789.0384296332)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b16,6388,Galería Javier Román,<br>,POINT (373339.05021222035 4065207.498812493)
da_galeriaArte.fid--7b4b556b_15ed4cde20f_-b15,6149,Galería de Arte La Casa Rosa,Galería de arte.,POINT (375061.82943700464 4065617.1332596885)
