FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1b1c,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:07:13.9,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367472.32166809705 4061589.9444234576)
da_industria.fid--295bdb9_15f5b982349_-1b1b,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:08:02.9,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367475.1600729188 4061593.301429103)
da_industria.fid--295bdb9_15f5b982349_-1b1a,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:08:02.9,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367475.1600729188 4061593.301429103)
da_industria.fid--295bdb9_15f5b982349_-1b19,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:09:16.98,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367477.18281652126 4061598.1626897124)
da_industria.fid--295bdb9_15f5b982349_-1b18,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:09:16.98,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367477.18281652126 4061598.1626897124)
da_industria.fid--295bdb9_15f5b982349_-1b17,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:10:13.097,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367479.4551420763 4061593.9807850574)
da_industria.fid--295bdb9_15f5b982349_-1b16,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:10:13.097,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367479.4551420763 4061593.9807850574)
da_industria.fid--295bdb9_15f5b982349_-1b15,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:11:59.317,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367483.76812701137 4061591.9450907605)
da_industria.fid--295bdb9_15f5b982349_-1b14,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:11:59.317,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367483.76812701137 4061591.9450907605)
da_industria.fid--295bdb9_15f5b982349_-1b13,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:13:00.387,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367486.18381071737 4061589.2824351555)
da_industria.fid--295bdb9_15f5b982349_-1b12,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:13:00.387,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367486.18381071737 4061589.2824351555)
da_industria.fid--295bdb9_15f5b982349_-1b11,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:19:05.65,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367488.78526248573 4061588.9438566803)
da_industria.fid--295bdb9_15f5b982349_-1b10,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:19:05.65,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367488.78526248573 4061588.9438566803)
da_industria.fid--295bdb9_15f5b982349_-1b0f,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:26:34.75,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367491.0650176615 4061587.178286256)
da_industria.fid--295bdb9_15f5b982349_-1b0e,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:26:34.75,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367491.0650176615 4061587.178286256)
da_industria.fid--295bdb9_15f5b982349_-1b0d,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:27:27.903,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367494.1235984841 4061585.4006662047)
da_industria.fid--295bdb9_15f5b982349_-1b0c,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:27:27.903,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367494.1235984841 4061585.4006662047)
da_industria.fid--295bdb9_15f5b982349_-1b0b,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:28:04.58,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367496.5227134688 4061583.6034171847)
da_industria.fid--295bdb9_15f5b982349_-1b0a,INDUSTRIA,CARGA TRASERA,5000,1,2017-03-13T10:28:04.58,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367496.5227134688 4061583.6034171847)
da_industria.fid--295bdb9_15f5b982349_-1b09,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:35:47.99,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368311.8786048425 4063533.5810013185)
da_industria.fid--295bdb9_15f5b982349_-1b08,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:39:04.903,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368355.3867117924 4063653.2580479076)
da_industria.fid--295bdb9_15f5b982349_-1b07,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:41:20.927,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368242.44604631973 4063677.7826199327)
da_industria.fid--295bdb9_15f5b982349_-1b06,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:44:12.363,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368122.87223285506 4063695.5808643615)
da_industria.fid--295bdb9_15f5b982349_-1b05,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:52:07.053,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368469.77775694843 4063498.911220235)
da_industria.fid--295bdb9_15f5b982349_-1b04,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T06:53:18.747,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (368463.7009624687 4063582.993989347)
