FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,domicilio,tipo
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6719,4839,POINT (372386.84287478885 4064968.7661467767),,,,,,,-1,-1,-1,0,,C/ Jaboneros_  3_ Local 1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671a,4840,POINT (371944.9241519596 4063542.799657665),,,,,,,-1,-1,-1,0,,C/ Héroe de Sostoa_ 31,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671b,4841,POINT (371475.68025686574 4063149.5838147085),,,,,,,-1,-1,-1,0,,C/ Héroe de Sostoa_ 130,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671c,4842,POINT (372548.01348891517 4064440.512389644),,,,,,,-1,-1,-1,0,,Av. De Andalucía (Kiosco Prensa entre Hacienda y ECI,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671d,4843,POINT (370444.66167269537 4061948.23661004),,,,,,,-1,-1,-1,0,,Plaza de Mozart_ Bloque 9. Bda. La Paz,4
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671e,4844,POINT (377903.851957539 4064964.7006073245),,,,,,,-1,-1,-1,0,,Av. Juan Sebastian Elcano_ 129,3
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_671f,4845,POINT (370274.9845659135 4064764.43303306),,,,,,,-1,-1,-1,0,,C/ Juan de Valdés_ 20,4
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6720,4846,POINT (370564.4486735414 4064764.7712267716),,,,,,,-1,-1,-1,0,,Av. Santa Rosa de Lima_ 22,3
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6721,4847,POINT (368306.4764983498 4064387.4314565877),,,,,,,-1,-1,-1,0,,Boulevard Louis Pasteur_  33,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6722,4848,POINT (370633.3104670718 4065085.3887973637),,,,,,,-1,-1,-1,0,,Av. Carlos de Haya_ 82,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6723,4849,POINT (373723.3341978409 4065837.093221064),,,,,,,-1,-1,-1,0,,C/ Gordón_  8,4
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_6724,4850,POINT (367849.5202252563 4066819.331789603),,,,,,,-1,-1,-1,0,,Av. Lope de Rueda_ 100,3
