FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,domicilio,tipo
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e2,4784,POINT (369896.78482937487 4062266.74420637),,,,,,,-1,-1,-1,0,,Plaza Larita_ 8-10,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e3,4785,POINT (371186.94295595423 4065410.0383089273),,,,,,,-1,-1,-1,0,,C/ José Iturbi_ esquina C/ Maestro Pablo Luna,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e4,4786,POINT (371308.58053323964 4062416.705004291),,,,,,,-1,-1,-1,0,,Av. Sor Teresa Prat_ 32,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e5,4787,POINT (370784.3219254429 4063794.076054799),,,,,,,-1,-1,-1,0,,Av. Ortega y Gasset_ 41,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e6,4788,POINT (368124.2421358448 4064953.6195760528),,,,,,,-1,-1,-1,0,,Av. Plutarco_ 24,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e7,4789,POINT (371812.6835358304 4065337.680636156),,,,,,,-1,-1,-1,0,,C/ Carlos Falguera_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e8,4790,POINT (375952.766685068 4065575.8193786032),,,,,,,-1,-1,-1,0,,C/ Federico Fellini_ 29,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e9,4791,POINT (378311.2876075523 4064721.0774823404),,,,,,,-1,-1,-1,0,,Av. Pio Baroja 21,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ea,4792,POINT (372134.00970864494 4066834.3437269293),,,,,,,-1,-1,-1,0,,C/ Deva_ 6,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66eb,4793,POINT (370331.69381814665 4064275.106653716),,,,,,,-1,-1,-1,0,,C/ Corregidor Nicolas Isidro_ 12,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ec,4794,POINT (370786.3129609011 4062497.3577402267),,,,,,,-1,-1,-1,0,,Avda Velazquez_ 14,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ed,4795,POINT (371624.42463299795 4064627.734758885),,,,,,,-1,-1,-1,0,,C/ Ingeniero de la Torre Acosta_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ee,4796,POINT (362662.00486439763 4065270.244800608),,,,,,,-1,-1,-1,0,,C/ Matisse 4 Urb. El Brillante,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ef,4797,POINT (361693.5811281508 4065825.9451851007),,,,,,,-1,-1,-1,0,,C/ Jacob,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f0,4798,POINT (372144.89270738646 4065210.6308374237),,,,,,,-1,-1,-1,0,,Plaza de Bailen_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f1,4799,POINT (370892.3936152387 4062811.5726781823),,,,,,,-1,-1,-1,0,,Av. de la Paloma_ 43,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f2,4800,POINT (371315.84258312377 4062660.8634827523),,,,,,,-1,-1,-1,0,,C/ Comandante Roman_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f3,4801,POINT (375249.6926894684 4066014.285381629),,,,,,,-1,-1,-1,0,,Av. Mayorazgo_ 21,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f4,4802,POINT (371341.725713859 4063879.4810495884),,,,,,,-1,-1,-1,0,,Plaza Cruz de Humilladero,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f5,4803,POINT (378552.9724781436 4064830.3304307708),,,,,,,-1,-1,-1,0,,C/ Villafuerte_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f6,4804,POINT (373010.959216764 4064247.580313023),,,,,,,-1,-1,-1,0,,Av. Manuel Agustín Heredia_ 12,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66f7,4805,POINT (367534.11566296755 4064873.497638073),,,,,,,-1,-1,-1,0,,Av. Plutarco_  6,2
