ID;MARCA;MODELO;FABRICANTE;DESCRICION;NIVEL;FECHA_TOMA_DATO
1;Cesva;LRF-04;CESVA;Limitadores;89.1;24-FEB-11 12.06.29,273261 PM
1;Cesva;LRF-04;CESVA;Limitadores;60.8;24-FEB-11 12.06.29,284452 PM
1;Cesva;LRF-04;CESVA;Limitadores;88.4;24-FEB-11 12.06.29,429317 PM
1;Cesva;LRF-04;CESVA;Limitadores;87.4;24-FEB-11 12.06.29,441818 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.7;24-FEB-11 12.06.29,446764 PM
1;Cesva;LRF-04;CESVA;Limitadores;90.3;24-FEB-11 12.07.09,313701 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.2;24-FEB-11 12.07.09,383643 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.2;24-FEB-11 12.07.09,797747 PM
1;Cesva;LRF-04;CESVA;Limitadores;96.6;24-FEB-11 12.07.09,869255 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.8;24-FEB-11 12.07.09,945400 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.4;24-FEB-11 12.07.10,171507 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.7;24-FEB-11 12.07.51,594051 PM
1;Cesva;LRF-04;CESVA;Limitadores;68.2;24-FEB-11 12.07.51,646266 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.2;24-FEB-11 12.07.51,860144 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.5;24-FEB-11 12.07.51,870201 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.5;24-FEB-11 12.07.51,874326 PM
1;Cesva;LRF-04;CESVA;Limitadores;97;24-FEB-11 12.07.51,879662 PM
1;Cesva;LRF-04;CESVA;Limitadores;76.3;24-FEB-11 12.08.31,415736 PM
1;Cesva;LRF-04;CESVA;Limitadores;52.2;24-FEB-11 12.08.31,438148 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.2;24-FEB-11 12.08.31,487400 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.9;24-FEB-11 12.08.31,545609 PM
1;Cesva;LRF-04;CESVA;Limitadores;74.8;24-FEB-11 12.08.31,980058 PM
1;Cesva;LRF-04;CESVA;Limitadores;77.5;24-FEB-11 12.08.31,992159 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.5;24-FEB-11 12.08.32,005326 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.4;24-FEB-11 12.08.32,016229 PM
1;Cesva;LRF-04;CESVA;Limitadores;84.1;24-FEB-11 12.09.15,260495 PM
1;Cesva;LRF-04;CESVA;Limitadores;52;24-FEB-11 12.09.15,383119 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.5;24-FEB-11 12.09.15,392856 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.9;24-FEB-11 12.09.15,436827 PM
1;Cesva;LRF-04;CESVA;Limitadores;79.9;24-FEB-11 12.09.16,387525 PM
1;Cesva;LRF-04;CESVA;Limitadores;78.2;24-FEB-11 12.09.16,462763 PM
1;Cesva;LRF-04;CESVA;Limitadores;77.8;24-FEB-11 12.09.16,533271 PM
1;Cesva;LRF-04;CESVA;Limitadores;74.4;24-FEB-11 12.10.11,111888 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.7;24-FEB-11 12.10.11,122453 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.9;24-FEB-11 12.10.11,128130 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;24-FEB-11 12.10.11,133798 PM
1;Cesva;LRF-04;CESVA;Limitadores;77.4;24-FEB-11 12.10.11,628085 PM
1;Cesva;LRF-04;CESVA;Limitadores;85.7;24-FEB-11 12.10.11,632974 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.2;24-FEB-11 12.10.11,645058 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.2;24-FEB-11 12.10.57,909009 PM
1;Cesva;LRF-04;CESVA;Limitadores;70.3;24-FEB-11 12.10.58,038568 PM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;24-FEB-11 12.10.58,060358 PM
1;Cesva;LRF-04;CESVA;Limitadores;61.4;24-FEB-11 12.10.58,083473 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.4;24-FEB-11 12.10.58,571607 PM
1;Cesva;LRF-04;CESVA;Limitadores;87.2;24-FEB-11 12.10.58,591567 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.1;24-FEB-11 12.10.58,607404 PM
1;Cesva;LRF-04;CESVA;Limitadores;85.4;24-FEB-11 12.11.41,019240 PM
1;Cesva;LRF-04;CESVA;Limitadores;66.3;24-FEB-11 12.11.41,033485 PM
1;Cesva;LRF-04;CESVA;Limitadores;87.1;24-FEB-11 12.11.41,199501 PM
1;Cesva;LRF-04;CESVA;Limitadores;88.4;24-FEB-11 12.11.41,207604 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.9;24-FEB-11 12.11.41,218058 PM
1;Cesva;LRF-04;CESVA;Limitadores;85.6;24-FEB-11 12.12.29,157750 PM
1;Cesva;LRF-04;CESVA;Limitadores;51;24-FEB-11 12.12.29,266470 PM
1;Cesva;LRF-04;CESVA;Limitadores;95.7;24-FEB-11 12.12.30,165452 PM
1;Cesva;LRF-04;CESVA;Limitadores;95.6;24-FEB-11 12.12.30,181164 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.5;24-FEB-11 12.12.30,192347 PM
1;Cesva;LRF-04;CESVA;Limitadores;91.4;24-FEB-11 12.12.30,214079 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.7;24-FEB-11 12.13.24,673187 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.6;24-FEB-11 12.13.24,680477 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.5;24-FEB-11 12.13.24,823015 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.8;24-FEB-11 12.13.24,833137 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.4;24-FEB-11 12.13.24,840332 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.2;24-FEB-11 12.13.24,844899 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.5;24-FEB-11 12.14.06,072334 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.3;24-FEB-11 12.14.06,134667 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.5;24-FEB-11 12.14.06,176920 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.6;24-FEB-11 12.14.06,293951 PM
1;Cesva;LRF-04;CESVA;Limitadores;52;24-FEB-11 12.14.06,809532 PM
1;Cesva;LRF-04;CESVA;Limitadores;63.7;24-FEB-11 12.14.06,824867 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.2;24-FEB-11 12.14.06,837450 PM
1;Cesva;LRF-04;CESVA;Limitadores;81.5;24-FEB-11 12.14.06,873212 PM
1;Cesva;LRF-04;CESVA;Limitadores;82.8;24-FEB-11 12.14.46,766805 PM
1;Cesva;LRF-04;CESVA;Limitadores;66.7;24-FEB-11 12.14.46,834560 PM
1;Cesva;LRF-04;CESVA;Limitadores;52.1;24-FEB-11 12.14.46,878510 PM
1;Cesva;LRF-04;CESVA;Limitadores;52;24-FEB-11 12.14.46,887524 PM
