Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
04/09/2017,CAMPANILLAS,SEGOVIA,CL CIUDAD DE ZACATECAS Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,ROQUERO,CL FAUSTO Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,EL PRADO,CL CRISTOBALINA FERNANDEZ Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,EL BRILLANTE,CL CEZANNE Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,MAQUEDA,CL TOTALAN Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,SANTA ROSALIA,CL AZAHAR Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,LA FABRICA,CL AZULEJO Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,PILAR DEL PRADO,CL AMATISTA Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CENTRO,LA MALAGUETA,PSO MARITIMO PABLO RUIZ PICASSO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CARRETERA DE CADIZ,SACABA BEACH,PSO IBERICO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/09/2017,CIUDAD JARDIN,JARDIN DE MALAGA,CL ALCALDE JOAQUIN QUILES Nr: 19,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,CRUZ DE HUMILLADERO,LA UNION,AV JUAN XXIII Nr: 28,GECOR,Vía Pública,Desratización,Ratas
04/09/2017,CIUDAD JARDIN,ALEGRIA DE LA HUERTA,CL COPO EL Nr: 5,Quejas y Sugerencias,Vía Pública,Desratización,Ratas
04/09/2017,CHURRIANA,GUADALMAR,CL ACACIAS DE GUADALMAR Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Mosquitos
04/09/2017,CARRETERA DE CADIZ,FINCA EL PATO,Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Mosquitos
04/09/2017,CAMPANILLAS,COLMENAREJO,CL ARLEQUIN Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CAMPANILLAS,HUERTECILLA MAÑAS,CL CUARZO Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Moscas
04/09/2017,CRUZ DE HUMILLADERO,POL CTRA DE CARTAMA,CL CORREGIDOR NICOLAS ISIDRO Nr: 23,ALTA DE OFICIO,Vía Pública,Desratización,Ratas
